#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
2.000000E+04 5.970744E+36 2.136199E+37 2.568175E+37 2.445204E+37
1.992230E+04 6.077581E+36 2.164450E+37 2.636977E+37 2.507954E+37
1.984521E+04 6.181319E+36 2.198452E+37 2.730221E+37 2.548046E+37
1.976871E+04 6.285709E+36 2.234955E+37 2.812336E+37 2.616014E+37
1.969279E+04 6.396253E+36 2.268863E+37 2.893915E+37 2.705540E+37
1.961746E+04 6.501553E+36 2.303331E+37 2.959852E+37 2.766154E+37
1.954270E+04 6.597728E+36 2.339280E+37 3.001940E+37 2.808549E+37
1.946851E+04 6.690147E+36 2.374348E+37 3.056342E+37 2.830718E+37
1.939488E+04 6.784209E+36 2.404937E+37 3.113345E+37 2.876575E+37
1.932180E+04 6.877223E+36 2.437671E+37 3.156810E+37 2.908839E+37
1.924928E+04 6.959317E+36 2.472641E+37 3.229313E+37 2.927770E+37
1.917729E+04 7.049592E+36 2.510009E+37 3.308864E+37 2.981412E+37
1.910585E+04 7.135301E+36 2.554335E+37 3.370779E+37 3.013861E+37
1.903493E+04 7.212657E+36 2.593225E+37 3.437497E+37 3.057901E+37
1.896454E+04 7.296956E+36 2.622774E+37 3.495913E+37 3.072936E+37
1.889466E+04 7.372220E+36 2.657740E+37 3.561381E+37 3.095507E+37
1.882530E+04 7.451049E+36 2.694874E+37 3.630909E+37 3.140077E+37
1.875645E+04 7.534082E+36 2.728423E+37 3.679052E+37 3.147932E+37
1.868810E+04 7.612106E+36 2.762812E+37 3.719781E+37 3.194357E+37
1.862024E+04 7.679044E+36 2.801931E+37 3.773477E+37 3.258416E+37
1.855288E+04 7.747372E+36 2.843953E+37 3.838462E+37 3.318734E+37
1.848600E+04 7.821314E+36 2.883184E+37 3.900550E+37 3.373466E+37
1.841960E+04 7.876418E+36 2.919882E+37 3.945167E+37 3.432907E+37
