#Magnitudes for spectra_ddc10_artis calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-03-04 17:08:01 UTC
#and had md5 hash: 87efd4f43fe5bea31e88c909522f059f
#
#NTIMES: 145
#NBANDS: 8
#time[d] U B V R I J H K
4.140000e+00 -14.219841 -15.419153 -16.378365 -16.603994 -16.549850 -16.690552 -16.750033 -16.625488
4.220000e+00 -14.354940 -15.424639 -16.421918 -16.731712 -16.492203 -16.759976 -16.851861 -16.538999
4.310000e+00 -14.508058 -15.544159 -16.507075 -16.752396 -16.620020 -16.882191 -16.726748 -16.678036
4.400000e+00 -14.486468 -15.614983 -16.536615 -16.812193 -16.652996 -16.941986 -16.756035 -17.023410
4.490000e+00 -14.674673 -15.677518 -16.587200 -16.873409 -16.677662 -16.883715 -16.992899 -17.047262
4.580000e+00 -14.713159 -15.781151 -16.673856 -16.953336 -16.845980 -17.016573 -17.006374 -16.822036
4.680000e+00 -14.788532 -15.843714 -16.670997 -16.996577 -16.740906 -16.991945 -16.868141 -17.333206
4.770000e+00 -14.844543 -15.883610 -16.747085 -17.069945 -16.887315 -17.105339 -17.180211 -17.098479
4.870000e+00 -14.854455 -15.892866 -16.808951 -17.081694 -16.931913 -17.167056 -17.121350 -16.969605
4.970000e+00 -14.961547 -16.017928 -16.919371 -17.170637 -16.999376 -17.193893 -17.108443 -17.161332
5.080000e+00 -15.087530 -16.031477 -16.931034 -17.213003 -17.048578 -17.288366 -17.099073 -17.146143
5.180000e+00 -15.139661 -16.127824 -17.029786 -17.290081 -17.168528 -17.397198 -17.196171 -17.188589
5.290000e+00 -15.204553 -16.198307 -17.036986 -17.324494 -17.208469 -17.383269 -17.211783 -17.284973
5.400000e+00 -15.285545 -16.251621 -17.098480 -17.404757 -17.176771 -17.343465 -17.312430 -17.494459
5.510000e+00 -15.394763 -16.351323 -17.137568 -17.447882 -17.292550 -17.392435 -17.383057 -17.334494
5.620000e+00 -15.551630 -16.425558 -17.206325 -17.511685 -17.325742 -17.489039 -17.365903 -17.356856
5.740000e+00 -15.595656 -16.483921 -17.246186 -17.545141 -17.415093 -17.533261 -17.434639 -17.555961
5.860000e+00 -15.655265 -16.541547 -17.318211 -17.593680 -17.474355 -17.514347 -17.498853 -17.449085
5.980000e+00 -15.749154 -16.618963 -17.346620 -17.652888 -17.518700 -17.563589 -17.447697 -17.507137
6.100000e+00 -15.742682 -16.656790 -17.452671 -17.711159 -17.597018 -17.648191 -17.581191 -17.660375
6.230000e+00 -15.919195 -16.720128 -17.489323 -17.776195 -17.642472 -17.706162 -17.553926 -17.538711
6.360000e+00 -15.925909 -16.776376 -17.479633 -17.815712 -17.675643 -17.728816 -17.709705 -17.648238
6.490000e+00 -16.011496 -16.863050 -17.544443 -17.890801 -17.731801 -17.718827 -17.639299 -17.609213
6.620000e+00 -16.093614 -16.938874 -17.625328 -17.920012 -17.801083 -17.792500 -17.615956 -17.573251
6.760000e+00 -16.185444 -16.987424 -17.651739 -17.968813 -17.853581 -17.887525 -17.671003 -17.773504
6.900000e+00 -16.209612 -17.053951 -17.706827 -18.042806 -17.880858 -17.909465 -17.693596 -17.632847
7.040000e+00 -16.338836 -17.134408 -17.774501 -18.078659 -17.991762 -17.954856 -17.839203 -17.668935
7.190000e+00 -16.381052 -17.188766 -17.827239 -18.139282 -18.043123 -17.878265 -17.909795 -17.759721
7.340000e+00 -16.486773 -17.247986 -17.875069 -18.178474 -18.091543 -17.997683 -17.819909 -17.762421
7.490000e+00 -16.580865 -17.322425 -17.915405 -18.233913 -18.152164 -18.012925 -17.815889 -17.940062
7.650000e+00 -16.638987 -17.379741 -17.957237 -18.274661 -18.192974 -18.050886 -17.820407 -17.861039
7.800000e+00 -16.705431 -17.421139 -18.002370 -18.328104 -18.286961 -18.096937 -17.982494 -17.842035
7.960000e+00 -16.821402 -17.504811 -18.056629 -18.363864 -18.328532 -18.041823 -17.946261 -17.893033
8.130000e+00 -16.861257 -17.582709 -18.110276 -18.414777 -18.358534 -18.134018 -18.025531 -17.952251
8.300000e+00 -16.895385 -17.606194 -18.142846 -18.465978 -18.437282 -18.193228 -17.965432 -17.948804
8.470000e+00 -16.959688 -17.663156 -18.203970 -18.511339 -18.477406 -18.136549 -17.993978 -17.957510
8.640000e+00 -17.052274 -17.728062 -18.264678 -18.550978 -18.516862 -18.193618 -18.028651 -17.984645
8.820000e+00 -17.131033 -17.799118 -18.303849 -18.578117 -18.577368 -18.244261 -18.057527 -18.089686
9.010000e+00 -17.160721 -17.850070 -18.344289 -18.635855 -18.620183 -18.228859 -18.021061 -18.115813
9.190000e+00 -17.232818 -17.892302 -18.393145 -18.665472 -18.641293 -18.265210 -18.098981 -18.001970
9.380000e+00 -17.331093 -17.954844 -18.439052 -18.723493 -18.670491 -18.304860 -18.150621 -18.078771
9.580000e+00 -17.395686 -18.015797 -18.482572 -18.745977 -18.744009 -18.309400 -18.067370 -18.027271
9.770000e+00 -17.423027 -18.067093 -18.520505 -18.788183 -18.782772 -18.322105 -18.115473 -18.065350
9.980000e+00 -17.500274 -18.116098 -18.563273 -18.834707 -18.795147 -18.293033 -18.064673 -18.075586
1.018000e+01 -17.563452 -18.159348 -18.600817 -18.873115 -18.851520 -18.359412 -18.060248 -18.035788
1.039000e+01 -17.615852 -18.214834 -18.644585 -18.891882 -18.868669 -18.387910 -18.093255 -17.953375
1.061000e+01 -17.653421 -18.271430 -18.689947 -18.926948 -18.924156 -18.346495 -18.108904 -17.992559
1.083000e+01 -17.708353 -18.311148 -18.729294 -18.961250 -18.944238 -18.360704 -18.150902 -18.107144
1.105000e+01 -17.793090 -18.352196 -18.766719 -18.987896 -18.969952 -18.377671 -18.100175 -18.063959
1.128000e+01 -17.839119 -18.402325 -18.815908 -19.024889 -18.977316 -18.354175 -18.154186 -18.136624
1.151000e+01 -17.847924 -18.441354 -18.843061 -19.048705 -19.000922 -18.366443 -18.072696 -18.125532
1.175000e+01 -17.917622 -18.487445 -18.889661 -19.082490 -19.048463 -18.318061 -18.169272 -18.016060
1.199000e+01 -17.952256 -18.535992 -18.924927 -19.112062 -19.068844 -18.366447 -18.067117 -18.164828
1.224000e+01 -17.992964 -18.571485 -18.967786 -19.138715 -19.083753 -18.337412 -18.105981 -18.104445
1.250000e+01 -18.030760 -18.602852 -19.009973 -19.168627 -19.105318 -18.377868 -18.049180 -18.095950
1.275000e+01 -18.062848 -18.641340 -19.045625 -19.188324 -19.124313 -18.386553 -18.035948 -18.020558
1.302000e+01 -18.108199 -18.675029 -19.074430 -19.214690 -19.150503 -18.337131 -18.037288 -18.037803
