#Magnitudes for spectra_ddc10_artisnebular calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-02-15 08:18:16 UTC
#and had md5 hash: 76a1181480848229b5d2cd30647bf9ba
#
#NTIMES: 50
#NBANDS: 8
#time[d] U B V R I J H K
1.991600e+02 -13.080534 -13.830134 -13.903336 -13.634821 -13.847707 -11.972673 -12.717645 -13.789461
2.020300e+02 -13.023333 -13.777896 -13.850455 -13.583512 -13.805558 -11.947556 -12.669649 -13.739780
2.049300e+02 -12.950388 -13.728014 -13.799966 -13.532420 -13.769250 -11.928798 -12.646738 -13.722962
2.078700e+02 -12.878548 -13.676203 -13.744260 -13.477097 -13.734227 -11.881106 -12.638620 -13.688622
2.108600e+02 -12.819784 -13.624126 -13.688885 -13.429560 -13.696741 -11.869580 -12.625739 -13.662174
2.138900e+02 -12.753867 -13.572638 -13.635787 -13.377119 -13.658390 -11.863396 -12.594067 -13.605596
2.169700e+02 -12.680888 -13.515389 -13.577934 -13.329423 -13.616660 -11.824092 -12.571156 -13.556228
2.200900e+02 -12.614661 -13.467833 -13.524173 -13.275578 -13.579276 -11.805625 -12.535432 -13.537015
2.232500e+02 -12.539146 -13.410810 -13.469921 -13.226752 -13.546913 -11.788942 -12.525203 -13.506942
2.264600e+02 -12.476096 -13.356064 -13.414812 -13.170663 -13.503456 -11.762524 -12.517821 -13.466390
2.297100e+02 -12.408901 -13.303394 -13.358129 -13.123441 -13.457631 -11.732695 -12.498165 -13.436264
2.330100e+02 -12.338152 -13.246653 -13.300094 -13.070208 -13.419200 -11.741101 -12.469872 -13.367003
2.363600e+02 -12.272227 -13.188533 -13.243230 -13.016657 -13.380683 -11.723252 -12.465785 -13.341372
2.397600e+02 -12.199426 -13.135058 -13.181804 -12.965678 -13.334539 -11.705993 -12.436386 -13.309172
2.432100e+02 -12.128267 -13.080760 -13.125293 -12.913399 -13.292187 -11.617459 -12.372978 -13.318686
2.467000e+02 -12.064483 -13.020478 -13.061810 -12.866799 -13.259862 -11.625536 -12.356475 -13.283782
2.502500e+02 -11.984447 -12.958745 -12.999378 -12.817170 -13.222959 -11.641609 -12.354250 -13.228449
2.538500e+02 -11.909934 -12.897834 -12.938982 -12.764923 -13.177180 -11.640457 -12.341348 -13.212921
2.575000e+02 -11.838823 -12.835580 -12.879313 -12.709859 -13.145106 -11.671870 -12.345278 -13.153876
2.612000e+02 -11.774468 -12.775319 -12.816526 -12.649151 -13.093089 -11.620615 -12.342665 -13.080477
2.649500e+02 -11.686872 -12.720816 -12.754765 -12.593733 -13.044424 -11.579049 -12.311177 -13.083471
2.687600e+02 -11.615227 -12.653841 -12.694465 -12.547061 -13.005917 -11.551071 -12.269294 -13.038883
2.726200e+02 -11.550755 -12.597801 -12.627241 -12.491537 -12.962998 -11.536194 -12.258294 -12.972989
2.765400e+02 -11.481293 -12.532688 -12.562954 -12.438069 -12.923128 -11.529902 -12.226733 -12.924559
2.805100e+02 -11.408298 -12.464002 -12.487224 -12.381286 -12.875568 -11.578506 -12.261618 -12.865903
2.845500e+02 -11.337644 -12.398756 -12.424223 -12.310822 -12.816523 -11.520141 -12.212356 -12.839869
2.886400e+02 -11.269421 -12.348259 -12.366908 -12.258991 -12.767214 -11.476374 -12.151256 -12.815065
2.927900e+02 -11.197711 -12.275147 -12.292513 -12.214405 -12.729815 -11.474890 -12.173190 -12.753034
2.969900e+02 -11.114687 -12.208584 -12.223878 -12.148896 -12.681728 -11.485682 -12.161440 -12.740832
3.012600e+02 -11.048293 -12.135559 -12.157450 -12.086847 -12.625718 -11.474961 -12.166799 -12.652557
3.055900e+02 -10.960010 -12.071890 -12.082117 -12.026957 -12.562007 -11.459126 -12.138184 -12.603689
3.099900e+02 -10.883827 -12.007297 -12.020042 -11.975720 -12.513304 -11.423102 -12.102187 -12.569247
3.144400e+02 -10.824537 -11.949105 -11.959211 -11.906668 -12.458925 -11.398833 -12.062606 -12.548437
3.189600e+02 -10.749050 -11.870570 -11.877886 -11.855510 -12.411941 -11.384623 -12.061414 -12.490557
3.235500e+02 -10.659299 -11.795960 -11.808202 -11.789059 -12.357517 -11.375097 -12.049236 -12.392876
3.281900e+02 -10.579773 -11.729982 -11.735680 -11.724692 -12.302826 -11.350330 -12.048477 -12.368346
3.329100e+02 -10.508859 -11.653969 -11.653735 -11.653698 -12.240943 -11.334703 -12.007676 -12.307119
3.377000e+02 -10.439800 -11.571880 -11.576143 -11.600338 -12.185592 -11.337576 -12.028722 -12.213398
3.425500e+02 -10.368557 -11.515337 -11.514634 -11.542284 -12.124864 -11.310219 -11.947650 -12.175201
3.474800e+02 -10.264130 -11.435918 -11.442676 -11.472939 -12.067651 -11.307949 -11.964773 -12.126203
3.524700e+02 -10.202165 -11.365930 -11.375414 -11.400819 -12.007918 -11.270610 -11.952644 -12.087843
3.575400e+02 -10.121396 -11.287940 -11.288754 -11.328775 -11.946424 -11.273283 -11.956217 -12.010118
3.626800e+02 -10.040370 -11.214299 -11.221250 -11.273570 -11.893546 -11.220993 -11.916125 -11.922328
3.678900e+02 -9.945805 -11.120454 -11.129889 -11.191256 -11.813300 -11.210776 -11.896386 -11.883777
3.731800e+02 -9.880253 -11.050873 -11.039672 -11.119742 -11.745589 -11.168866 -11.918069 -11.788534
3.785400e+02 -9.815521 -10.984221 -10.965370 -11.056727 -11.685322 -11.106763 -11.799558 -11.778959
3.839800e+02 -9.714168 -10.877970 -10.882904 -10.980793 -11.610706 -11.117246 -11.836041 -11.681893
3.895000e+02 -9.636744 -10.793946 -10.794615 -10.902367 -11.541358 -11.124097 -11.829424 -11.595545
3.951000e+02 -9.550537 -10.718509 -10.719842 -10.825092 -11.461726 -11.074229 -11.783633 -11.495795
4.007800e+02 -9.464878 -10.649309 -10.662642 -10.750655 -11.400910 -11.009720 -11.710928 -11.474953
