#Magnitudes for spectra_ddc10_cmfgen calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#
#NTIMES: 59
#NBANDS: 8
#time[d] U B V R I J H K
9.760000e-01 -6.209807 -8.581820 -10.600195 -11.830135 -11.681006 -12.693192 -12.751794 -12.870219
1.074000e+00 -6.392984 -9.108486 -11.132335 -12.291523 -12.134281 -12.992076 -13.064330 -13.158464
1.181000e+00 -6.878666 -9.698621 -11.651885 -12.728104 -12.572047 -13.277948 -13.361450 -13.434925
1.300000e+00 -7.547322 -10.339529 -12.184060 -13.128842 -12.969345 -13.588572 -13.683250 -13.751488
1.430000e+00 -8.455183 -11.002389 -12.694818 -13.496153 -13.322064 -13.885406 -13.980611 -14.043502
1.573000e+00 -9.420224 -11.631429 -13.175386 -13.838659 -13.650165 -14.168346 -14.257482 -14.318319
1.730000e+00 -10.312358 -12.199741 -13.631656 -14.151071 -13.963723 -14.458418 -14.542080 -14.603925
1.900000e+00 -11.072946 -12.705209 -14.041320 -14.433738 -14.258360 -14.719814 -14.795468 -14.859347
2.090000e+00 -11.745986 -13.174494 -14.423405 -14.710302 -14.548336 -14.990147 -15.055630 -15.124828
2.300000e+00 -12.372542 -13.617142 -14.774466 -14.987170 -14.826039 -15.260178 -15.316838 -15.392170
2.530000e+00 -12.980758 -14.045960 -15.099381 -15.264703 -15.095451 -15.526872 -15.573726 -15.656552
2.783000e+00 -13.569150 -14.480350 -15.421509 -15.557949 -15.372814 -15.808910 -15.844260 -15.933348
3.061000e+00 -14.137569 -14.921950 -15.727246 -15.845307 -15.645487 -16.068939 -16.095036 -16.187310
3.367000e+00 -14.676555 -15.376880 -16.032791 -16.146287 -15.922624 -16.343845 -16.357395 -16.445577
3.704000e+00 -15.170829 -15.825444 -16.328191 -16.447067 -16.196663 -16.617134 -16.615618 -16.691896
4.074000e+00 -15.633099 -16.250061 -16.613255 -16.749472 -16.469411 -16.902379 -16.887082 -16.944332
4.481000e+00 -16.095274 -16.647203 -16.883652 -17.031464 -16.731688 -17.156017 -17.121773 -17.158195
4.929000e+00 -16.571832 -17.020462 -17.145534 -17.303064 -17.004563 -17.393401 -17.336559 -17.351019
5.422000e+00 -17.057126 -17.366877 -17.395338 -17.566263 -17.308707 -17.610125 -17.528716 -17.522931
5.964000e+00 -17.529407 -17.681080 -17.633072 -17.817928 -17.619566 -17.802834 -17.697997 -17.674693
6.560000e+00 -17.959161 -17.966988 -17.859330 -18.052148 -17.892829 -17.975641 -17.842588 -17.807150
7.216000e+00 -18.333455 -18.223315 -18.073918 -18.263861 -18.117896 -18.127432 -17.960841 -17.918712
7.938000e+00 -18.664879 -18.447959 -18.275058 -18.452357 -18.300765 -18.257215 -18.050753 -18.006746
8.732000e+00 -18.958024 -18.646713 -18.465105 -18.619382 -18.449234 -18.363254 -18.106880 -18.065619
9.600000e+00 -19.200585 -18.819725 -18.638752 -18.762958 -18.563744 -18.439288 -18.128781 -18.091584
1.056000e+01 -19.392202 -18.973468 -18.799578 -18.886996 -18.645892 -18.482024 -18.114695 -18.081291
1.162000e+01 -19.520844 -19.101663 -18.952693 -19.016160 -18.731989 -18.537279 -18.109603 -18.074687
