#Magnitudes for spectra_ddc10_supernu calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-05-09 14:12:03 UTC
#and had md5 hash: 7af5d9729eb82fba3e2111f4b4270a1d
#
#NTIMES: 186
#NBANDS: 8
#time[d] U B V R I J H K
9.869000e-01 -6.517466 -8.263863 -10.207612 -11.413612 -12.275036 -13.684973 -14.322273 -14.717180
1.008900e+00 -6.029175 -7.851054 -9.951125 -11.239922 -12.136373 -13.611027 -14.240091 -14.687643
1.031300e+00 -5.687616 -7.347195 -9.697878 -11.051977 -11.978862 -13.499424 -14.171776 -14.643257
1.054300e+00 -5.104051 -7.027516 -9.342457 -10.833021 -11.792746 -13.337772 -14.068347 -14.541814
1.077800e+00 -4.537149 -6.501273 -9.016851 -10.572149 -11.586623 -13.147024 -13.885480 -14.386240
1.101800e+00 -4.493318 -6.060048 -8.608092 -10.285851 -11.331425 -12.945640 -13.710133 -14.169141
1.126300e+00 -3.656967 -5.459009 -8.323861 -10.097323 -11.112579 -12.725309 -13.459287 -13.972191
1.151400e+00 -3.548176 -5.266373 -7.824215 -9.771850 -10.822475 -12.490429 -13.153076 -13.600515
1.177100e+00 -2.758632 -4.787716 -7.581435 -9.605769 -10.703440 -12.182697 -12.767724 -13.081381
1.203300e+00 -2.478493 -4.321699 -7.330967 -9.501277 -10.630087 -12.170330 -12.642694 -12.943047
1.230100e+00 -1.923204 -4.067329 -7.288785 -9.388456 -10.591703 -12.180096 -12.676608 -13.020969
1.257500e+00 -1.125169 -3.706511 -7.044069 -9.418960 -10.622163 -12.145422 -12.734490 -12.987581
1.285500e+00 -1.393720 -3.701364 -7.267048 -9.578842 -10.672132 -12.261442 -12.720723 -13.037517
1.314200e+00 -1.493463 -4.007079 -7.329723 -9.579467 -10.719851 -12.289565 -12.892297 -13.200941
1.343400e+00 -2.592386 -4.648483 -7.280576 -9.653889 -10.997935 -12.389025 -12.946165 -13.255473
1.373400e+00 -4.141191 -4.448812 -7.596600 -9.804946 -10.975555 -12.471426 -12.893316 -13.400949
1.403900e+00 -2.369977 -5.090677 -7.752470 -9.920566 -11.113367 -12.474550 -12.929152 -13.262928
1.435200e+00 -1.655865 -4.664331 -7.795101 -10.071013 -11.062890 -12.622438 -13.236655 -13.355235
1.467200e+00 -1.975355 -5.011758 -8.074217 -10.324059 -11.328092 -12.657843 -13.255991 -13.398624
1.499900e+00 -2.039970 -4.763027 -8.106293 -10.375714 -11.420022 -12.712730 -13.323324 -13.497811
1.533300e+00 -1.447714 -4.442867 -8.249938 -10.601831 -11.568715 -12.916191 -13.391629 -13.750633
1.567400e+00 -1.814010 -5.723583 -8.774806 -10.888615 -11.613364 -13.019159 -13.356512 -13.877918
1.602400e+00 -2.018324 -5.419654 -8.926430 -11.103570 -11.988678 -13.135736 -13.639903 -13.997542
1.638100e+00 -2.902901 -5.791871 -9.494051 -11.398283 -11.949722 -13.186814 -13.664439 -13.918882
1.674500e+00 -3.017480 -6.065038 -9.704883 -11.643767 -12.255716 -13.307582 -13.685616 -14.128893
1.711800e+00 -3.171556 -6.493469 -10.052946 -11.802068 -12.428604 -13.504287 -13.904945 -14.009562
1.750000e+00 -4.198057 -7.485262 -10.426607 -12.138891 -12.602160 -13.656127 -13.906354 -14.139975
1.789000e+00 -4.354262 -7.358585 -10.862704 -12.450787 -12.853672 -13.650471 -14.006878 -14.260407
1.828800e+00 -5.540474 -7.946388 -11.055436 -12.586960 -12.959018 -13.766829 -14.258709 -14.283409
1.869600e+00 -5.595449 -8.432832 -11.365197 -12.803911 -13.051185 -13.906335 -14.158687 -14.538505
1.911200e+00 -5.889325 -8.940039 -11.590201 -12.960398 -13.117001 -14.114436 -14.334450 -14.568533
1.953800e+00 -7.956654 -9.230895 -11.880897 -13.191890 -13.413695 -14.066750 -14.443286 -14.612190
1.997300e+00 -6.584043 -9.732676 -12.240054 -13.399454 -13.508539 -14.268643 -14.521192 -14.621720
2.041800e+00 -7.504070 -10.189823 -12.369958 -13.510066 -13.549887 -14.263524 -14.611260 -14.752657
