#Magnitudes for spectra_ddc10_urilight calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2021-12-09 12:54:17 UTC
#and had md5 hash: a9f2e902a04b05bb582dfadabebf6139
#
#NTIMES: 108
#NBANDS: 8
#time[d] U B V R I J H K
2.037028e+00 NaN -3.512764 -11.010384 -12.526268 -13.055097 -13.499330 -14.673557 -14.155353
2.112455e+00 NaN -10.489348 -12.387236 -13.435544 -13.541185 -14.119691 -14.389773 -14.034745
2.190675e+00 NaN -11.127452 -12.452800 -13.771310 -14.144417 -14.099709 -14.478559 -14.868812
2.271792e+00 -7.601084 -11.502050 -13.106104 -14.078184 -14.120973 -14.367891 -15.168204 -15.188700
2.355913e+00 -10.317008 -12.787047 -13.817996 -14.355067 -14.364278 -14.790286 -15.212274 -15.316684
2.443148e+00 -11.672019 -13.117763 -14.173480 -14.684529 -14.767296 -15.153138 -15.288497 -15.881521
2.533613e+00 -12.641864 -13.424204 -14.181009 -14.499312 -14.794587 -15.397172 -15.045351 -15.285464
2.627428e+00 -12.503999 -13.575638 -14.537512 -14.826131 -14.919626 -15.299035 -15.284907 -15.700093
2.724717e+00 -13.163296 -13.989412 -14.669432 -15.085832 -15.136043 -15.524417 -15.860849 -15.915183
2.825608e+00 -13.776977 -14.130409 -14.899445 -15.192387 -15.145956 -15.593407 -15.907694 -15.450548
2.930235e+00 -14.119980 -14.245382 -15.113859 -15.377659 -15.306847 -15.683817 -15.762812 -16.005698
3.038736e+00 -14.433822 -14.486029 -15.207954 -15.457474 -15.435466 -15.817325 -16.170524 -15.906367
3.151255e+00 -14.798144 -14.650396 -15.428938 -15.588201 -15.648860 -15.839801 -15.948901 -16.010076
3.267940e+00 -15.033193 -14.837573 -15.472588 -15.694313 -15.664812 -15.988782 -16.288591 -16.298856
3.388946e+00 -15.252922 -14.936491 -15.603305 -15.851713 -15.941018 -16.053662 -16.156550 -16.527209
3.514432e+00 -15.471318 -15.118227 -15.700190 -15.985037 -16.046923 -16.340909 -16.370412 -16.422869
3.644565e+00 -15.822664 -15.351043 -15.918847 -16.131790 -16.063347 -16.297334 -16.465167 -16.588691
3.779516e+00 -16.003324 -15.457959 -15.973276 -16.251093 -16.216149 -16.516419 -16.528960 -16.658201
3.919465e+00 -16.198686 -15.603581 -16.147971 -16.345512 -16.357119 -16.650771 -16.587588 -16.578598
4.064595e+00 -16.429020 -15.788893 -16.314455 -16.520690 -16.482184 -16.704289 -16.833499 -16.988131
4.215100e+00 -16.594633 -15.933517 -16.417245 -16.606624 -16.650138 -16.878215 -16.947837 -16.914547
4.371177e+00 -16.795144 -16.061063 -16.506646 -16.743423 -16.754050 -16.956492 -17.012639 -17.223348
4.533034e+00 -16.937467 -16.227195 -16.649302 -16.862147 -16.854099 -17.022431 -16.997800 -17.059337
4.700883e+00 -17.094466 -16.380905 -16.751610 -16.997837 -17.018226 -17.203514 -17.082384 -17.301335
4.874948e+00 -17.277368 -16.498323 -16.906905 -17.122571 -17.107586 -17.250199 -17.195300 -17.417758
5.055458e+00 -17.425596 -16.686914 -16.986345 -17.218161 -17.244352 -17.322265 -17.401700 -17.428182
5.242653e+00 -17.579114 -16.804025 -17.127853 -17.303503 -17.376825 -17.404124 -17.452551 -17.451597
5.436778e+00 -17.698843 -16.924957 -17.226726 -17.429286 -17.467755 -17.523043 -17.555356 -17.613899
5.638092e+00 -17.846259 -17.062050 -17.336933 -17.534193 -17.594209 -17.599272 -17.700002 -17.646037
5.846861e+00 -17.957187 -17.192972 -17.433402 -17.632483 -17.691288 -17.715938 -17.730862 -17.754788
6.063359e+00 -18.066905 -17.322151 -17.548648 -17.732654 -17.798388 -17.812611 -17.807292 -17.828132
6.287873e+00 -18.184048 -17.443349 -17.638297 -17.821034 -17.883168 -17.844230 -17.897386 -17.959865
