#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    8.484663E+02   1.0000E-099   4.2950E-013   9.9269E-006   9.9999E-001
    8.542546E+02   1.0000E-099   4.2950E-013   9.9269E-006   9.9999E-001
    8.718573E+02   1.0000E-099   4.2950E-013   9.9269E-006   9.9999E-001
    9.081584E+02   1.0000E-099   4.2950E-013   9.9269E-006   9.9999E-001
    9.674554E+02   1.0000E-099   4.2951E-013   9.9269E-006   9.9999E-001
    1.028597E+03   1.0000E-099   4.2958E-013   9.9274E-006   9.9999E-001
    1.093605E+03   1.0000E-099   4.2933E-013   9.9208E-006   9.9999E-001
    1.162722E+03   1.0000E-099   4.2832E-013   9.9029E-006   9.9999E-001
    1.236207E+03   1.0000E-099   4.2669E-013   9.9041E-006   9.9999E-001
    1.314336E+03   1.0000E-099   4.1808E-013   1.0029E-005   9.9999E-001
    1.397402E+03   1.0000E-099   2.6635E-013   8.9743E-006   9.9999E-001
    1.485719E+03   1.0000E-099   1.8190E-013   8.1796E-006   9.9999E-001
    1.579618E+03   1.0000E-099   1.7803E-013   8.1483E-006   9.9999E-001
    1.679450E+03   1.0000E-099   1.4133E-013   7.6432E-006   9.9999E-001
    1.785593E+03   1.0000E-099   1.0286E-013   6.9555E-006   9.9999E-001
    1.898443E+03   1.0000E-099   7.6678E-014   6.2164E-006   9.9999E-001
    2.018426E+03   1.0000E-099   5.7303E-014   5.6740E-006   9.9999E-001
    2.145992E+03   1.0000E-099   4.1750E-014   5.0439E-006   9.9999E-001
    2.281620E+03   1.0000E-099   3.0556E-014   4.5310E-006   1.0000E+000
    2.425820E+03   1.0000E-099   2.2368E-014   4.0262E-006   1.0000E+000
    2.579133E+03   1.0000E-099   1.7627E-014   3.6644E-006   1.0000E+000
    2.742135E+03   1.0000E-099   1.4748E-014   3.3800E-006   1.0000E+000
    2.915440E+03   1.0000E-099   1.3276E-014   3.1679E-006   1.0000E+000
    3.099698E+03   1.0000E-099   1.2958E-014   3.0128E-006   1.0000E+000
    3.295601E+03   1.0000E-099   1.5227E-014   3.0483E-006   1.0000E+000
    3.503885E+03   1.0000E-099   2.0273E-014   3.0411E-006   1.0000E+000
    3.725332E+03   1.0000E-099   4.1658E-014   3.9903E-006   1.0000E+000
    3.960775E+03   1.0000E-099   7.8987E-014   5.5112E-006   9.9999E-001
    4.211099E+03   1.0000E-099   9.7542E-014   4.0492E-006   1.0000E+000
    4.477243E+03   1.0000E-099   1.0764E-013   3.8684E-006   1.0000E+000
    4.760207E+03   1.0000E-099   9.7937E-014   3.6162E-006   1.0000E+000
    5.061055E+03   1.0000E-099   7.8146E-014   3.3063E-006   1.0000E+000
    5.380917E+03   1.0000E-099   6.3851E-014   3.0459E-006   1.0000E+000
    5.720994E+03   1.0000E-099   5.6065E-014   2.8351E-006   1.0000E+000
    6.082565E+03   1.0000E-099   5.3818E-014   2.7510E-006   1.0000E+000
    6.466986E+03   1.0000E-099   5.7299E-014   2.7207E-006   1.0000E+000
    6.875704E+03   1.0000E-099   6.3569E-014   2.6954E-006   1.0000E+000
    7.310253E+03   1.0000E-099   7.5471E-014   2.7755E-006   1.0000E+000
    7.772265E+03   1.0000E-099   9.3061E-014   2.8585E-006   1.0000E+000
    8.263477E+03   1.0000E-099   1.3240E-013   3.1232E-006   1.0000E+000
    8.785734E+03   1.0000E-099   2.9491E-013   3.8417E-006   1.0000E+000
    9.340997E+03   1.0000E-099   3.4056E-012   9.9197E-006   9.9999E-001
    9.929841E+03   1.0000E-099   4.4315E-010   1.3551E-004   9.9986E-001
    1.041447E+04   1.0000E-099   1.0095E-007   4.1866E-003   9.9581E-001
    1.083674E+04   1.0000E-099   6.1465E-005   2.1481E-001   7.8513E-001
    1.136786E+04   1.0000E-099   1.4861E-001   8.5123E-001   1.5614E-004
    1.167027E+04   1.0000E-099   5.6020E-001   4.3980E-001   5.1768E-006
    1.185735E+04   1.0000E-099   7.7042E-001   2.2958E-001   7.0426E-007
