#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 1.8093e-02 5.9202e-01 3.5168e-01 3.8207e-02
1919.29 2.0209e-02 6.1913e-01 3.2880e-01 3.1859e-02
2581.60 1.0077e-02 5.3669e-01 4.0258e-01 5.0652e-02
3084.17 2.5367e-03 3.4769e-01 5.6211e-01 8.7665e-02
3472.46 4.7805e-04 1.4731e-01 7.1466e-01 1.3755e-01
3909.64 1.7523e-04 9.8061e-02 7.2322e-01 1.7854e-01
4148.46 2.0170e-04 1.1006e-01 7.0812e-01 1.8162e-01
4670.75 2.7049e-04 1.3557e-01 6.8892e-01 1.7523e-01
4956.05 1.0273e-04 8.4822e-02 7.1527e-01 1.9981e-01
5258.79 1.9451e-05 3.5611e-02 7.2837e-01 2.3600e-01
5580.02 2.5818e-06 1.1827e-02 7.2637e-01 2.6180e-01
5920.87 5.9065e-07 5.5610e-03 7.1159e-01 2.8285e-01
6282.54 2.4060e-07 3.4008e-03 6.8517e-01 3.1142e-01
6666.30 2.1330e-07 3.1727e-03 6.7867e-01 3.1816e-01
7073.50 2.2421e-07 3.6037e-03 6.6902e-01 3.2738e-01
7505.58 2.0313e-07 3.5638e-03 6.5460e-01 3.4184e-01
7964.05 3.2640e-07 4.3404e-03 6.5830e-01 3.3736e-01
8450.53 1.4350e-06 9.9977e-03 6.6887e-01 3.2113e-01
8966.72 6.2434e-06 2.4826e-02 6.7104e-01 3.0413e-01
9514.44 2.5954e-05 5.0602e-02 6.6227e-01 2.8710e-01
10095.62 7.6408e-05 8.8876e-02 6.5224e-01 2.5881e-01
10712.30 1.7525e-04 1.3416e-01 6.2830e-01 2.3737e-01
11366.65 3.7794e-04 1.7111e-01 6.0634e-01 2.2217e-01
12061.10 3.8034e-04 1.8423e-01 5.9205e-01 2.2333e-01
12793.43 5.2792e-04 2.2705e-01 5.5826e-01 2.1416e-01
13528.61 4.4296e-04 1.8843e-01 5.8141e-01 2.2972e-01
14194.74 1.7912e-04 1.3283e-01 6.1149e-01 2.5551e-01
14757.77 3.6472e-04 1.1966e-01 6.1038e-01 2.6960e-01
15240.48 1.1382e-04 4.3713e-02 6.9805e-01 2.5812e-01
15646.99 1.0331e-04 4.4546e-02 7.6147e-01 1.9388e-01
15960.30 1.6954e-04 4.8034e-02 8.1404e-01 1.3776e-01
16187.41 1.6068e-04 4.9627e-02 8.3509e-01 1.1512e-01
16354.17 2.0827e-04 4.6904e-02 8.3576e-01 1.1713e-01
16484.18 1.0863e-04 4.7425e-02 8.3222e-01 1.2025e-01
16593.12 2.7037e-05 2.2488e-02 8.5850e-01 1.1899e-01
16691.99 1.0538e-05 1.7914e-02 8.3433e-01 1.4774e-01
16788.59 1.3148e-05 1.3113e-02 8.2928e-01 1.5760e-01
16888.37 1.2076e-05 1.7827e-02 8.1498e-01 1.6718e-01
16998.79 2.6748e-05 2.4386e-02 8.0444e-01 1.7115e-01
17146.37 5.2841e-06 8.8446e-03 8.2114e-01 1.7001e-01
17415.23 3.0080e-06 8.7797e-03 8.0442e-01 1.8680e-01
17888.12 2.7426e-06 7.5293e-03 7.5317e-01 2.3929e-01
18532.37 1.1252e-06 3.9341e-03 7.2825e-01 2.6782e-01
19260.76 4.3476e-07 2.6572e-03 6.9356e-01 3.0379e-01
20034.10 2.6992e-07 2.4307e-03 6.5035e-01 3.4722e-01
20838.00 1.6686e-07 1.8353e-03 6.3677e-01 3.6139e-01
21647.97 3.1272e-07 1.5667e-03 5.9608e-01 4.0235e-01
22447.94 9.4179e-08 9.3911e-04 5.1544e-01 4.8362e-01
23245.88 2.2785e-07 1.7806e-03 4.5152e-01 5.4670e-01
24052.47 3.7677e-07 1.2951e-03 4.2830e-01 5.7040e-01
24867.72 7.9427e-08 5.5413e-04 3.6973e-01 6.2971e-01
25698.86 1.3862e-07 9.6677e-04 3.4540e-01 6.5363e-01
26587.16 5.2828e-08 5.3908e-04 3.1462e-01 6.8485e-01
27637.54 3.0164e-08 4.5849e-04 2.8332e-01 7.1622e-01
28986.97 7.4200e-08 9.7889e-04 2.7821e-01 7.2081e-01
#TIME: 202.02
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 2.1076e-02 5.8589e-01 3.5445e-01 3.8585e-02
1919.29 1.5815e-02 6.1415e-01 3.3637e-01 3.3662e-02
2581.60 9.2984e-03 5.3887e-01 4.0147e-01 5.0364e-02
3084.17 2.9242e-03 3.5302e-01 5.5720e-01 8.6856e-02
3472.46 5.1702e-04 1.4932e-01 7.1326e-01 1.3691e-01
3909.64 1.5364e-04 9.8587e-02 7.2215e-01 1.7911e-01
4148.46 1.9101e-04 1.0637e-01 7.1110e-01 1.8234e-01
4670.75 2.4899e-04 1.2736e-01 6.9525e-01 1.7714e-01
4956.05 1.0604e-04 8.7070e-02 7.1185e-01 2.0098e-01
5258.79 1.8778e-05 3.5172e-02 7.2843e-01 2.3638e-01
5580.02 2.5695e-06 1.1900e-02 7.2538e-01 2.6271e-01
5920.87 5.5228e-07 5.2005e-03 7.1049e-01 2.8431e-01
6282.54 2.8529e-07 3.9358e-03 6.8829e-01 3.0777e-01
6666.30 1.9957e-07 3.2843e-03 6.7792e-01 3.1880e-01
7073.50 2.4049e-07 3.5910e-03 6.7386e-01 3.2255e-01
7505.58 2.4522e-07 3.6863e-03 6.6348e-01 3.3283e-01
7964.05 3.2389e-07 4.3943e-03 6.5848e-01 3.3712e-01
8450.53 1.3398e-06 9.3228e-03 6.7261e-01 3.1807e-01
8966.72 5.7480e-06 2.1828e-02 6.7535e-01 3.0281e-01
9514.44 2.6012e-05 4.7968e-02 6.6537e-01 2.8664e-01
10095.62 8.3891e-05 8.8368e-02 6.4854e-01 2.6301e-01
10712.30 1.8248e-04 1.3651e-01 6.2538e-01 2.3793e-01
11366.65 2.9933e-04 1.9068e-01 5.9070e-01 2.1832e-01
12061.10 3.7140e-04 1.9274e-01 5.8795e-01 2.1894e-01
12793.43 4.1964e-04 1.9767e-01 5.8175e-01 2.2016e-01
13528.61 4.4354e-04 2.0665e-01 5.6453e-01 2.2838e-01
14194.74 2.9208e-04 1.3375e-01 6.1001e-01 2.5595e-01
14757.77 3.1086e-04 1.2265e-01 6.1531e-01 2.6173e-01
15240.48 2.1145e-04 1.0355e-01 6.5234e-01 2.4389e-01
15646.99 1.5271e-04 6.8263e-02 7.4393e-01 1.8765e-01
15960.30 1.6101e-04 4.9094e-02 8.1521e-01 1.3554e-01
16187.41 2.2281e-04 7.6146e-02 8.1086e-01 1.1277e-01
16354.17 1.2207e-04 5.4378e-02 8.4455e-01 1.0095e-01
16484.18 4.7359e-05 2.6215e-02 8.5440e-01 1.1934e-01
