#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ar0           ar1           ar2           ar3
    8.484663E+02   1.0113E-019   4.3119E-012   1.7169E-005   9.9998E-001
    8.542546E+02   1.0113E-019   4.3119E-012   1.7169E-005   9.9998E-001
    8.718573E+02   1.0113E-019   4.3119E-012   1.7169E-005   9.9998E-001
    9.081584E+02   1.0114E-019   4.3119E-012   1.7169E-005   9.9998E-001
    9.674554E+02   1.0114E-019   4.3120E-012   1.7169E-005   9.9998E-001
    1.028597E+03   1.0117E-019   4.3128E-012   1.7170E-005   9.9998E-001
    1.093605E+03   1.0114E-019   4.3117E-012   1.7162E-005   9.9998E-001
    1.162722E+03   1.0087E-019   4.3036E-012   1.7137E-005   9.9998E-001
    1.236207E+03   1.0000E-019   4.2803E-012   1.7121E-005   9.9998E-001
    1.314336E+03   9.3886E-020   4.1186E-012   1.7132E-005   9.9998E-001
    1.397402E+03   4.0578E-020   2.3984E-012   1.4527E-005   9.9999E-001
    1.485719E+03   1.9944E-020   1.5189E-012   1.2720E-005   9.9999E-001
    1.579618E+03   1.9122E-020   1.4787E-012   1.2637E-005   9.9999E-001
    1.679450E+03   1.2584E-020   1.1289E-012   1.1631E-005   9.9999E-001
    1.785593E+03   7.1359E-021   7.8247E-013   1.0353E-005   9.9999E-001
    1.898443E+03   4.3777E-021   5.6847E-013   9.1521E-006   9.9999E-001
    2.018426E+03   2.6212E-021   4.0793E-013   8.2153E-006   9.9999E-001
    2.145992E+03   1.5406E-021   2.8840E-013   7.2186E-006   9.9999E-001
    2.281620E+03   9.0111E-022   2.0358E-013   6.3979E-006   9.9999E-001
    2.425820E+03   5.3546E-022   1.4493E-013   5.6296E-006   9.9999E-001
    2.579133E+03   3.6182E-022   1.1213E-013   5.0922E-006   9.9999E-001
    2.742135E+03   2.7376E-022   9.3254E-014   4.6888E-006   1.0000E+000
    2.915440E+03   2.3794E-022   8.4722E-014   4.4104E-006   1.0000E+000
    3.099698E+03   2.4207E-022   8.5065E-014   4.2389E-006   1.0000E+000
    3.295601E+03   3.3961E-022   1.0521E-013   4.3732E-006   1.0000E+000
    3.503885E+03   6.3966E-022   1.5619E-013   4.5674E-006   1.0000E+000
    3.725332E+03   2.1325E-021   3.4313E-013   6.1800E-006   9.9999E-001
    3.960775E+03   5.5409E-021   6.4895E-013   8.5169E-006   9.9999E-001
    4.211099E+03   1.3733E-020   1.1132E-012   7.7025E-006   9.9999E-001
    4.477243E+03   1.8311E-020   1.3323E-012   7.8763E-006   9.9999E-001
    4.760207E+03   1.6380E-020   1.2339E-012   7.4813E-006   9.9999E-001
    5.061055E+03   1.1277E-020   9.6467E-013   6.7181E-006   9.9999E-001
    5.380917E+03   8.0977E-021   7.7536E-013   6.1019E-006   9.9999E-001
    5.720994E+03   6.7291E-021   6.8476E-013   5.7089E-006   9.9999E-001
    6.082565E+03   6.4201E-021   6.6286E-013   5.5805E-006   9.9999E-001
    6.466986E+03   7.5142E-021   7.3253E-013   5.7070E-006   9.9999E-001
    6.875704E+03   9.6346E-021   8.5892E-013   5.9600E-006   9.9999E-001
    7.310253E+03   1.3596E-020   1.0750E-012   6.4757E-006   9.9999E-001
    7.772265E+03   2.0964E-020   1.4267E-012   7.2274E-006   9.9999E-001
    8.263477E+03   4.1063E-020   2.2248E-012   8.8029E-006   9.9999E-001
    8.785734E+03   1.9324E-019   6.2952E-012   1.4884E-005   9.9999E-001
    9.340997E+03   1.6121E-017   1.4128E-010   9.5755E-005   9.9990E-001
    9.929841E+03   8.9319E-014   1.5357E-007   7.6228E-003   9.9238E-001
    1.041447E+04   6.1719E-010   3.8684E-004   5.8221E-001   4.1741E-001
    1.083674E+04   4.5242E-007   4.1872E-002   9.5653E-001   1.5997E-003
    1.136786E+04   3.0578E-003   9.9562E-001   1.3197E-003   1.9362E-012
    1.167027E+04   1.8023E-002   9.8189E-001   8.7415E-005   3.2812E-015
    1.185735E+04   4.1814E-002   9.5816E-001   2.2764E-005   1.4068E-016
    1.198132E+04   1.7155E-001   8.2845E-001   1.0399E-006   7.7640E-020
    1.207995E+04   4.5142E-001   5.4858E-001   4.4633E-008   5.0437E-023
    1.216774E+04   6.4510E-001   3.5490E-001   5.6661E-009   5.1089E-025
    1.225420E+04   8.0463E-001   1.9537E-001   5.9284E-010   4.0929E-027
    1.234075E+04   9.0471E-001   9.5286E-002   5.4327E-011   2.8516E-029
    1.244043E+04   9.5098E-001   4.9024E-002   6.7588E-012   3.9956E-031
    1.256653E+04   9.6627E-001   3.3729E-002   2.0494E-012   3.3518E-032
    1.291944E+04   9.5713E-001   4.2869E-002   3.2688E-012   6.5495E-032
    1.356464E+04   8.6120E-001   1.3880E-001   8.3810E-011   3.1284E-029
    1.414194E+04   7.8626E-001   2.1374E-001   2.6775E-010   2.5946E-028
    1.463678E+04   8.3485E-001   1.6515E-001   9.0977E-011   2.2462E-029
    1.515385E+04   8.7734E-001   1.2266E-001   3.1513E-011   2.3111E-030
    1.570238E+04   9.3754E-001   6.2458E-002   3.7206E-012   2.9793E-032
    1.628316E+04   9.8675E-001   1.3247E-002   3.5010E-014   2.3253E-036
    1.695591E+04   9.9698E-001   3.0194E-003   5.8465E-016   8.4211E-040
    1.773545E+04   9.9921E-001   7.8942E-004   1.2787E-017   4.5122E-043
    1.852426E+04   9.9970E-001   3.0076E-004   6.6564E-019   1.2480E-045
    1.933673E+04   9.9984E-001   1.5579E-004   1.1021E-019   4.5707E-046
    2.006825E+04   9.9986E-001   1.4034E-004   8.9583E-020   2.2075E-045
    2.082304E+04   9.9985E-001   1.4740E-004   1.5161E-019   9.2129E-045
    2.162788E+04   9.9988E-001   1.2365E-004   1.5922E-019   1.1352E-044
    2.248295E+04   9.9983E-001   1.6667E-004   4.1692E-019   3.7234E-044
    2.340334E+04   9.9985E-001   1.4922E-004   3.9474E-019   2.7991E-044
    2.427003E+04   9.9979E-001   2.0701E-004   7.6480E-019   5.0610E-044
    2.528269E+04   9.9976E-001   2.3980E-004   9.5760E-019   5.0347E-044
    2.627013E+04   9.9978E-001   2.1804E-004   8.0229E-019   3.2480E-044
    2.723040E+04   9.9962E-001   3.7556E-004   1.7959E-018   7.0179E-044
    2.827004E+04   9.9951E-001   4.8769E-004   2.4924E-018   8.3615E-044
    2.934273E+04   9.9925E-001   7.5471E-004   4.6298E-018   1.4730E-043
    3.052012E+04   9.9888E-001   1.1187E-003   8.1055E-018   2.4134E-043
    3.176086E+04   9.9851E-001   1.4860E-003   1.2190E-017   3.3359E-043
    3.295538E+04   9.9833E-001   1.6706E-003   1.4070E-017   3.4002E-043
    3.403161E+04   9.9807E-001   1.9299E-003   1.7421E-017   3.8732E-043
    3.500379E+04   9.9760E-001   2.3950E-003   2.5339E-017   5.4645E-043
    3.593430E+04   9.9703E-001   2.9728E-003   3.8498E-017   8.1409E-043
    3.686142E+04   9.9646E-001   3.5355E-003   5.6754E-017   1.1677E-042
    3.781660E+04   9.9603E-001   3.9734E-003   7.8880E-017   1.5657E-042
    3.881204E+04   9.9579E-001   4.2099E-003   1.0125E-016   1.9278E-042
    3.984228E+04   9.9570E-001   4.3038E-003   1.2430E-016   2.2888E-042
    4.090108E+04   9.9569E-001   4.3140E-003   1.4861E-016   2.6931E-042
    4.198933E+04   9.9572E-001   4.2754E-003   1.7319E-016   3.1479E-042
    4.310952E+04   9.9578E-001   4.2150E-003   1.9675E-016   3.6487E-042
    4.426353E+04   9.9584E-001   4.1559E-003   2.1860E-016   4.1933E-042
    4.545322E+04   9.9587E-001   4.1275E-003   2.4024E-016   4.8274E-042
    4.667980E+04   9.9584E-001   4.1585E-003   2.6493E-016   5.6445E-042
    4.794258E+04   9.9575E-001   4.2493E-003   2.9392E-016   6.6768E-042
    4.924062E+04   9.9561E-001   4.3862E-003   3.2679E-016   7.8923E-042
    5.057272E+04   9.9544E-001   4.5614E-003   3.6368E-016   9.2719E-042
    5.193717E+04   9.9524E-001   4.7592E-003   4.0327E-016   1.0744E-041
    5.333235E+04   9.9505E-001   4.9484E-003   4.4101E-016   1.2111E-041
    5.475676E+04   9.9490E-001   5.1003E-003   4.7178E-016   1.3156E-041
    5.620758E+04   9.9480E-001   5.1985E-003   4.9212E-016   1.3731E-041
    5.768166E+04   9.9476E-001   5.2363E-003   5.0047E-016   1.3788E-041
    5.917412E+04   9.9478E-001   5.2210E-003   4.9816E-016   1.3415E-041
    6.067730E+04   9.9484E-001   5.1576E-003   4.8641E-016   1.2692E-041
    6.217708E+04   9.9495E-001   5.0476E-003   4.6592E-016   1.1675E-041
    6.366086E+04   9.9510E-001   4.8976E-003   4.3852E-016   1.0459E-041
    6.510379E+04   9.9528E-001   4.7160E-003   4.0629E-016   9.1543E-042
