#NTIMES: 200
#NSTAGES: 5
#TIMES[d]: 1.31352774879 1.34086478482 1.36877075709 1.39725750625 1.4263371194 1.45602193516 1.48632454897 1.51725781839 1.54883486857 1.58106909784 1.61397418335 1.6475640869 1.68185306088 1.71685565429 1.75258671891 1.78906141564 1.82629522088 1.86430393314 1.90310367972 1.94271092358 1.98314247027 2.02441547513 2.06654745052 2.10955627325 2.15346019222 2.19827783609 2.24402822123 2.29073075979 2.3384052679 2.38707197411 2.43675152798 2.48746500882 2.53923393462 2.59208027122 2.64602644162 2.70109533547 2.7573103188 2.81469524393 2.87327445961 2.9330728213 2.99411570179 3.0564290019 3.1200391615 3.18497317073 3.25125858145 3.31892351891 3.38799669372 3.458507414 3.53048559784 3.60396178597 3.67896715474 3.75553352933 3.83369339728 3.91347992225 3.99492695808 4.07806906321 4.16294151528 4.24958032614 4.33802225711 4.42830483457 4.52046636593 4.61454595581 4.71058352271 4.80861981588 4.90869643266 5.01085583611 5.11514137302 5.2215972923 5.33026876379 5.44120189738 5.55444376261 5.67004240861 5.78804688453 5.90850726031 6.03147464794 6.15700122315 6.28514024756 6.41594609124 6.54947425584 6.68578139809 6.82492535384 6.96696516263 7.11196109274 7.25997466672 7.41106868754 7.56530726521 7.72275584402 7.88348123025 8.04755162055 8.21503663089 8.38600732606 8.56053624988 8.73869745591 8.92056653893 9.10622066697 9.2957386141 9.48920079382 9.68668929318 9.88828790763 10.0940821766 10.3041594196 10.5186087737 10.7375212308 10.9609896768 11.1891089304 11.421975784 11.6596890442 11.902349574 12.1500603357 12.4029264342 12.661055162 12.9245560446 13.1935408868 13.4681238204 13.7484213523 14.0345524144 14.3266384136 14.6248032836 14.9291735374 15.2398783209 15.5570494679 15.8808215559 16.211331963 16.5487209267 16.8931316029 17.244710127 17.6036056756 17.9699705301 18.3439601411 18.7257331944 19.1154516784 19.5132809528 19.9193898187 20.3339505904 20.7571391682 21.1891351133 21.630121724 22.0802861133 22.5398192884 23.0089162317 23.4877759837 23.9766017271 24.4756008733 24.9849851505 25.5049706931 26.0357781339 26.5776326973 27.1307642952 27.6954076244 28.271802266 28.8601927875 29.4608288462 30.0739652952 30.6998622917 31.3387854071 31.9910057402 32.6568000314 33.3364507809 34.0302463683 34.7384811748 35.4614557083 36.1994767308 36.9528573888 37.7219173456 38.5069829176 39.3083872125 40.1264702705 40.9615792085 41.8140683681 42.6842994648 43.5726417426 44.4794721299 45.4051753997 46.3501443331 47.3147798855 48.299491357 49.3046965661 50.3308220268 51.3783031297 52.4475843269 53.53911932 54.6533712535 55.7908129104 56.9519269135 58.1372059297 59.3471528795 60.5822811498 61.8431148124 63.1301888459 64.4440493627 65.7852538411 67.1543713615 68.5519828478 69.9786813143 71.4350721169 72.9217732101 74.4394154093 75.9886426585 77.5701123031 79.1844953693
#
#TIME: 1.31352774879
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] c0 c1 c2 c3 c4
4.2577e+02 7.2782e+04 1.7105e+12 1.2798e-30 5.5029e-22 1.1658e-13 1.9629e-06 1.0000e+00
8.5779e+02 7.3261e+04 1.3658e+14 5.2015e-23 2.8010e-16 7.4318e-10 1.5671e-04 9.9984e-01
8.7843e+02 7.3230e+04 1.3656e+14 5.1962e-23 2.7987e-16 7.4275e-10 1.5666e-04 9.9984e-01
9.1772e+02 7.3267e+04 1.3660e+14 5.1848e-23 2.7930e-16 7.4144e-10 1.5650e-04 9.9984e-01
9.7304e+02 7.3290e+04 1.3655e+14 5.1052e-23 2.7565e-16 7.3376e-10 1.5557e-04 9.9984e-01
1.0350e+03 7.3404e+04 1.3668e+14 4.9128e-23 2.6656e-16 7.1407e-10 1.5312e-04 9.9985e-01
1.1000e+03 7.3702e+04 1.3687e+14 4.3843e-23 2.4153e-16 6.5949e-10 1.4622e-04 9.9985e-01
1.1690e+03 7.4552e+04 1.3741e+14 3.2389e-23 1.8581e-16 5.3385e-10 1.2935e-04 9.9987e-01
1.2425e+03 7.6492e+04 1.4066e+14 1.7509e-23 1.0847e-16 3.4414e-10 1.0000e-04 9.9990e-01
1.3205e+03 7.9979e+04 1.5134e+14 7.1999e-24 4.9195e-17 1.7833e-10 6.7588e-05 9.9993e-01
1.4033e+03 8.4543e+04 1.6653e+14 2.5880e-24 1.9825e-17 8.3872e-11 4.3010e-05 9.9996e-01
1.4915e+03 8.9130e+04 1.8058e+14 9.8483e-25 8.4847e-18 4.1870e-11 2.8386e-05 9.9997e-01
1.5852e+03 9.3495e+04 1.9076e+14 3.9664e-25 3.8655e-18 2.2289e-11 1.9529e-05 9.9998e-01
1.6847e+03 9.8163e+04 1.9886e+14 1.5470e-25 1.7291e-18 1.1819e-11 1.3442e-05 9.9999e-01
1.7904e+03 1.0323e+05 2.0278e+14 5.5546e-26 7.2999e-19 6.0740e-12 9.1293e-06 9.9999e-01
1.9028e+03 1.0858e+05 2.0083e+14 1.8320e-26 2.9092e-19 3.0321e-12 6.1367e-06 9.9999e-01
2.0223e+03 1.1445e+05 1.9998e+14 6.1668e-27 1.1810e-19 1.5427e-12 4.1789e-06 1.0000e+00
2.1493e+03 1.2080e+05 1.9932e+14 2.1131e-27 4.8788e-20 8.0032e-13 2.8880e-06 1.0000e+00
2.2843e+03 1.2725e+05 2.0116e+14 8.2039e-28 2.2320e-20 4.4926e-13 2.0923e-06 1.0000e+00
2.4277e+03 1.3287e+05 2.0143e+14 3.7434e-28 1.1712e-20 2.8057e-13 1.6158e-06 1.0000e+00
2.5802e+03 1.3668e+05 1.9796e+14 2.1159e-28 7.3729e-21 2.0118e-13 1.3511e-06 1.0000e+00
2.7422e+03 1.3759e+05 1.8923e+14 1.5757e-28 5.8640e-21 1.7179e-13 1.2452e-06 1.0000e+00
2.9144e+03 1.3494e+05 1.7533e+14 1.6490e-28 6.2165e-21 1.8157e-13 1.2909e-06 1.0000e+00
3.0973e+03 1.2828e+05 1.5517e+14 2.5466e-28 9.1946e-21 2.4697e-13 1.5450e-06 1.0000e+00
3.2918e+03 1.1728e+05 1.2384e+14 5.6657e-28 1.9006e-20 4.4268e-13 2.1965e-06 1.0000e+00
3.4986e+03 1.0532e+05 1.0682e+14 2.8141e-27 7.5286e-20 1.2929e-12 4.1291e-06 1.0000e+00
3.7182e+03 9.5501e+04 1.1447e+14 3.2170e-26 5.6327e-19 5.9163e-12 9.8224e-06 9.9999e-01
3.9517e+03 8.5298e+04 1.0750e+14 3.6930e-25 4.5150e-18 3.0656e-11 2.5733e-05 9.9997e-01
4.1999e+03 7.0756e+04 5.8351e+13 4.5826e-24 5.0576e-17 2.6598e-10 9.8729e-05 9.9990e-01
4.4636e+03 6.1501e+04 4.0585e+13 7.3731e-23 6.8385e-16 2.5239e-09 3.8034e-04 9.9962e-01
4.7438e+03 5.8000e+04 3.6488e+13 3.2307e-22 2.6753e-15 7.9472e-09 7.4597e-04 9.9925e-01
5.0416e+03 5.7076e+04 3.4689e+13 4.4893e-22 3.6864e-15 1.0520e-08 8.8257e-04 9.9912e-01
5.3582e+03 5.7048e+04 3.2866e+13 3.6134e-22 3.1321e-15 9.4355e-09 8.3582e-04 9.9916e-01
5.6947e+03 5.6805e+04 3.0776e+13 3.1986e-22 2.9154e-15 9.1558e-09 8.2948e-04 9.9917e-01
6.0522e+03 5.6099e+04 2.9002e+13 3.8753e-22 3.5772e-15 1.1076e-08 9.3320e-04 9.9907e-01
6.4323e+03 5.4660e+04 2.6726e+13 6.8626e-22 6.2472e-15 1.7988e-08 1.2468e-03 9.9875e-01
6.8362e+03 5.2662e+04 2.4125e+13 1.7326e-21 1.5235e-14 3.8574e-08 1.9588e-03 9.9804e-01
7.2654e+03 5.0491e+04 2.2008e+13 5.7078e-21 4.7233e-14 9.9868e-08 3.4214e-03 9.9658e-01
7.7216e+03 4.8044e+04 2.0005e+13 2.6291e-20 2.0062e-13 3.3322e-07 6.9085e-03 9.9309e-01
8.2065e+03 4.4825e+04 1.7799e+13 2.6956e-19 1.8179e-12 2.0565e-06 1.9828e-02 9.8017e-01
8.7177e+03 3.9811e+04 1.4956e+13 2.2053e-17 1.1886e-10 6.1954e-05 1.3589e-01 8.6405e-01
9.2147e+03 3.3233e+04 1.2760e+13 1.5432e-14 5.3934e-08 6.1624e-03 8.6614e-01 1.2770e-01
