#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3
425.78 4.5517e-08 6.5261e-04 9.0654e-01 9.2804e-02
857.79 2.3117e-07 4.3396e-03 9.2399e-01 7.1671e-02
878.44 3.6511e-07 4.7543e-03 9.2641e-01 6.8834e-02
917.72 2.2191e-07 3.0735e-03 9.2909e-01 6.7837e-02
973.04 5.8823e-08 9.1594e-04 9.0849e-01 9.0596e-02
1034.98 3.6787e-07 7.1621e-03 9.2102e-01 7.1818e-02
1099.97 1.8848e-07 2.7054e-03 9.2748e-01 6.9818e-02
1169.04 1.8146e-07 2.4256e-03 9.3039e-01 6.7189e-02
1242.44 2.1704e-07 2.8233e-03 9.2977e-01 6.7403e-02
1320.45 2.6852e-07 3.0605e-03 9.3259e-01 6.4346e-02
1403.37 7.1234e-07 8.8703e-03 9.2406e-01 6.7070e-02
1491.49 1.1046e-06 1.2889e-02 9.2303e-01 6.4078e-02
1585.14 9.3802e-07 1.3608e-02 9.2172e-01 6.4672e-02
1684.67 9.6764e-07 1.0420e-02 9.2644e-01 6.3136e-02
1790.45 6.8868e-07 9.1860e-03 9.2587e-01 6.4945e-02
1902.87 5.8754e-07 1.3524e-02 9.1984e-01 6.6638e-02
2022.36 3.3230e-08 6.6102e-04 9.0882e-01 9.0523e-02
2149.34 7.6198e-08 1.4059e-03 9.3018e-01 6.8411e-02
2284.30 6.8193e-08 1.4366e-03 9.2557e-01 7.2990e-02
2427.74 5.5009e-08 1.3494e-03 9.1936e-01 7.9294e-02
