#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ca0           ca1           ca2           ca3           ca4
    8.484663E+02   1.0000E-099   2.3277E-017   8.7178E-012   1.3517E-005   9.9999E-001
    8.542546E+02   1.0000E-099   2.3277E-017   8.7178E-012   1.3517E-005   9.9999E-001
    8.718573E+02   1.0000E-099   2.3277E-017   8.7178E-012   1.3517E-005   9.9999E-001
    9.081584E+02   1.0000E-099   2.3277E-017   8.7180E-012   1.3517E-005   9.9999E-001
    9.674554E+02   1.0000E-099   2.3278E-017   8.7183E-012   1.3517E-005   9.9999E-001
    1.028597E+03   1.0000E-099   2.3287E-017   8.7208E-012   1.3519E-005   9.9999E-001
    1.093605E+03   1.0000E-099   2.3327E-017   8.7308E-012   1.3527E-005   9.9999E-001
    1.162722E+03   1.0000E-099   2.3349E-017   8.7350E-012   1.3531E-005   9.9999E-001
    1.236207E+03   1.0000E-099   2.2931E-017   8.6220E-012   1.3441E-005   9.9999E-001
    1.314336E+03   1.0000E-099   1.9288E-017   7.6241E-012   1.2624E-005   9.9999E-001
    1.397402E+03   1.0000E-099   5.1221E-018   2.9317E-012   7.8493E-006   9.9999E-001
    1.485719E+03   1.0000E-099   1.6627E-018   1.3171E-012   5.3332E-006   9.9999E-001
    1.579618E+03   1.0000E-099   1.5466E-018   1.2518E-012   5.2063E-006   9.9999E-001
    1.679450E+03   1.0000E-099   8.2415E-019   8.0138E-013   4.2130E-006   1.0000E+000
    1.785593E+03   1.0000E-099   3.6040E-019   4.4660E-013   3.2012E-006   1.0000E+000
    1.898443E+03   1.0000E-099   1.9716E-019   2.8923E-013   2.6044E-006   1.0000E+000
    2.018426E+03   1.0000E-099   9.5398E-020   1.7343E-013   2.0558E-006   1.0000E+000
    2.145992E+03   1.0000E-099   4.8745E-020   1.0738E-013   1.6433E-006   1.0000E+000
    2.281620E+03   1.0000E-099   2.3767E-020   6.4694E-014   1.3021E-006   1.0000E+000
    2.425820E+03   1.0000E-099   1.2439E-020   4.0783E-014   1.0516E-006   1.0000E+000
    2.579133E+03   1.0000E-099   7.7907E-021   2.9136E-014   8.9941E-007   1.0000E+000
    2.742135E+03   1.0000E-099   5.8819E-021   2.3596E-014   8.1265E-007   1.0000E+000
    2.915440E+03   1.0000E-099   5.5975E-021   2.2297E-014   7.8528E-007   1.0000E+000
    3.099698E+03   1.0000E-099   7.0170E-021   2.5304E-014   8.2178E-007   1.0000E+000
    3.295601E+03   1.0000E-099   1.3717E-020   3.9137E-014   9.9215E-007   1.0000E+000
    3.503885E+03   1.0000E-099   5.1266E-020   9.4041E-014   1.4620E-006   1.0000E+000
    3.725332E+03   1.0000E-099   2.3284E-019   2.7899E-013   2.4636E-006   1.0000E+000
    3.960775E+03   1.0000E-099   5.2979E-019   5.2193E-013   3.3719E-006   1.0000E+000
    4.211099E+03   1.0000E-099   9.9454E-018   4.1159E-012   9.5348E-006   9.9999E-001
    4.477243E+03   1.0000E-099   2.1325E-017   7.2838E-012   1.3090E-005   9.9999E-001
    4.760207E+03   1.0000E-099   2.1616E-017   7.3526E-012   1.3261E-005   9.9999E-001
    5.061055E+03   1.0000E-099   1.3744E-017   5.2059E-012   1.1053E-005   9.9999E-001
    5.380917E+03   1.0000E-099   9.2875E-018   3.8640E-012   9.4544E-006   9.9999E-001
    5.720994E+03   1.0000E-099   8.1912E-018   3.5093E-012   9.0323E-006   9.9999E-001
    6.082565E+03   1.0000E-099   8.2848E-018   3.5380E-012   9.1028E-006   9.9999E-001
    6.466986E+03   1.0000E-099   1.1983E-017   4.6871E-012   1.0664E-005   9.9999E-001
    6.875704E+03   1.0000E-099   2.0932E-017   7.2080E-012   1.3626E-005   9.9999E-001
    7.310253E+03   1.0000E-099   3.8985E-017   1.1708E-011   1.7933E-005   9.9998E-001
    7.772265E+03   1.0000E-099   8.8449E-017   2.2423E-011   2.6083E-005   9.9997E-001
    8.263477E+03   1.0000E-099   2.7242E-016   5.5425E-011   4.3893E-005   9.9996E-001
    8.785734E+03   1.0000E-099   3.9790E-015   5.2246E-010   1.6304E-004   9.9984E-001
    9.340997E+03   1.0000E-099   4.0278E-012   2.4006E-007   5.5279E-003   9.9447E-001
    9.929841E+03   1.0000E-099   3.7314E-007   1.0744E-002   8.8776E-001   1.0149E-001
    1.041447E+04   1.0000E-099   4.6121E-005   9.0174E-001   9.8213E-002   1.8334E-006
    1.083674E+04   1.0000E-099   9.1047E-005   9.9986E-001   5.0239E-005   3.8645E-014
    1.136786E+04   1.0000E-099   2.0572E-003   9.9794E-001   1.2844E-012   1.2196E-031
    1.167027E+04   1.0000E-099   8.1329E-003   9.9187E-001   1.4706E-014   4.7660E-036
    1.185735E+04   1.0000E-099   1.5814E-002   9.8419E-001   1.6139E-015   3.1512E-038
    1.198132E+04   1.0000E-099   4.1546E-002   9.5845E-001   5.6620E-018   6.2608E-044
    1.207995E+04   1.0000E-099   9.1556E-002   9.0844E-001   2.4813E-020   2.0608E-049
    1.216774E+04   1.0000E-099   1.3870E-001   8.6130E-001   9.0414E-022   2.8487E-052
    1.225420E+04   1.0000E-099   2.0909E-001   7.9091E-001   3.0457E-023   2.2342E-052
    1.234075E+04   1.0000E-099   3.0764E-001   6.9236E-001   9.7649E-025   2.4829E-052
    1.244043E+04   1.0000E-099   4.1091E-001   5.8909E-001   5.0558E-026   2.5200E-052
    1.256653E+04   1.0000E-099   4.6771E-001   5.3229E-001   8.6877E-027   2.5026E-052
    1.291944E+04   1.0000E-099   4.0443E-001   5.9557E-001   1.1682E-026   2.8641E-052
    1.356464E+04   1.0000E-099   2.0196E-001   7.9804E-001   5.8052E-025   3.2662E-052
    1.414194E+04   1.0000E-099   1.3950E-001   8.6050E-001   1.9470E-024   3.4693E-052
    1.463678E+04   1.0000E-099   1.5582E-001   8.4418E-001   3.1340E-025   4.0859E-052
    1.515385E+04   1.0000E-099   1.8269E-001   8.1731E-001   6.2632E-026   4.6590E-052
    1.570238E+04   1.0000E-099   2.6318E-001   7.3682E-001   3.1695E-027   5.2817E-052
    1.628316E+04   1.0000E-099   5.0678E-001   4.9322E-001   4.8421E-030   4.2581E-052
    1.695591E+04   1.0000E-099   7.5076E-001   2.4924E-001   1.9484E-032   2.4040E-052
    1.773545E+04   1.0000E-099   8.8241E-001   1.1759E-001   7.8866E-035   1.4265E-052
    1.852426E+04   1.0000E-099   9.2980E-001   7.0196E-002   8.0044E-037   1.0577E-052
    1.933673E+04   1.0000E-099   9.5324E-001   4.6755E-002   1.0265E-037   8.6501E-053
    2.006825E+04   1.0000E-099   9.5398E-001   4.6017E-002   2.1974E-037   7.9358E-053
    2.082304E+04   1.0000E-099   9.5219E-001   4.7811E-002   6.5129E-037   7.4414E-053
    2.162788E+04   1.0000E-099   9.6000E-001   3.9996E-002   8.7360E-037   6.6555E-053
    2.248295E+04   1.0000E-099   9.5206E-001   4.7942E-002   2.5700E-036   6.7514E-053
    2.340334E+04   1.0000E-099   9.5851E-001   4.1487E-002   2.8455E-036   6.2069E-053
    2.427003E+04   1.0000E-099   9.4877E-001   5.1229E-002   6.0221E-036   6.5812E-053
    2.528269E+04   1.0000E-099   9.4457E-001   5.5427E-002   8.2821E-036   6.7379E-053
    2.627013E+04   1.0000E-099   9.4886E-001   5.1139E-002   7.7591E-036   6.4663E-053
    2.723040E+04   1.0000E-099   9.2547E-001   7.4534E-002   1.6745E-035   7.8438E-053
    2.827004E+04   1.0000E-099   9.0937E-001   9.0628E-002   2.3844E-035   8.8622E-053
    2.934273E+04   1.0000E-099   8.7409E-001   1.2591E-001   4.3498E-035   1.1052E-052
    3.052012E+04   1.0000E-099   8.2806E-001   1.7194E-001   7.5982E-035   1.3940E-052
    3.176086E+04   1.0000E-099   7.8189E-001   2.1811E-001   1.1778E-034   1.6917E-052
    3.295538E+04   1.0000E-099   7.5447E-001   2.4553E-001   1.4547E-034   1.8858E-052
    3.403161E+04   1.0000E-099   7.1707E-001   2.8293E-001   1.9170E-034   2.1408E-052
    3.500379E+04   1.0000E-099   6.5532E-001   3.4468E-001   2.9366E-034   2.5392E-052
    3.593430E+04   1.0000E-099   5.8096E-001   4.1904E-001   4.7097E-034   3.0098E-052
    3.686142E+04   1.0000E-099   5.1094E-001   4.8906E-001   7.3443E-034   3.4511E-052
    3.781660E+04   1.0000E-099   4.5817E-001   5.4183E-001   1.0739E-033   3.7892E-052
    3.881204E+04   1.0000E-099   4.2876E-001   5.7124E-001   1.4364E-033   3.9918E-052
    3.984228E+04   1.0000E-099   4.1668E-001   5.8332E-001   1.8156E-033   4.0926E-052
    4.090108E+04   1.0000E-099   4.1911E-001   5.8089E-001   2.1994E-033   4.1017E-052
    4.198933E+04   1.0000E-099   4.3436E-001   5.6564E-001   2.5537E-033   4.0238E-052
    4.310952E+04   1.0000E-099   4.5956E-001   5.4044E-001   2.8489E-033   3.8737E-052
    4.426353E+04   1.0000E-099   4.8920E-001   5.1080E-001   3.0801E-033   3.6863E-052
    4.545322E+04   1.0000E-099   5.1390E-001   4.8610E-001   3.3057E-033   3.5294E-052
    4.667980E+04   1.0000E-099   5.2521E-001   4.7479E-001   3.6087E-033   3.4664E-052
    4.794258E+04   1.0000E-099   5.2111E-001   4.7889E-001   4.0227E-033   3.5144E-052
    4.924062E+04   1.0000E-099   5.0295E-001   4.9705E-001   4.5426E-033   3.6651E-052
    5.057272E+04   1.0000E-099   4.6980E-001   5.3020E-001   5.1958E-033   3.9289E-052
    5.193717E+04   1.0000E-099   4.2799E-001   5.7201E-001   5.9224E-033   4.2617E-052
    5.333235E+04   1.0000E-099   3.8224E-001   6.1776E-001   6.6308E-033   4.6371E-052
    5.475676E+04   1.0000E-099   3.3404E-001   6.6596E-001   7.2651E-033   5.0576E-052
    5.620758E+04   1.0000E-099   2.9499E-001   7.0501E-001   7.6698E-033   5.4478E-052
    5.768166E+04   1.0000E-099   2.7662E-001   7.2338E-001   7.7132E-033   5.7282E-052
    5.917412E+04   1.0000E-099   2.7872E-001   7.2128E-001   7.3927E-033   5.9065E-052
    6.067730E+04   1.0000E-099   2.9897E-001   7.0103E-001   6.7451E-033   6.0077E-052
