#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 24
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7
1.363340E+04 2.735903E-09 1.544431E-02 9.845557E-01 1.291835E-25 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.401275E+04 1.514626E-09 1.046568E-02 9.895343E-01 1.584017E-24 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.450883E+04 8.727859E-10 7.322976E-03 9.926770E-01 1.713634E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500233E+04 6.150472E-10 5.841664E-03 9.941583E-01 9.397534E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547530E+04 5.354182E-10 5.349532E-03 9.946505E-01 2.459144E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.592370E+04 4.651195E-10 4.992142E-03 9.950079E-01 4.304008E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635565E+04 4.549957E-10 5.043110E-03 9.949569E-01 4.748541E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.677625E+04 6.572789E-10 6.407367E-03 9.935926E-01 2.319659E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.718313E+04 1.201773E-09 9.383051E-03 9.906169E-01 6.581821E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.758045E+04 2.265553E-09 1.427954E-02 9.857205E-01 1.237989E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.799035E+04 4.242464E-09 2.224763E-02 9.777524E-01 1.491185E-24 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.845805E+04 9.057762E-09 3.826141E-02 9.617386E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.908468E+04 2.421901E-08 7.874239E-02 9.212576E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 6.490096E-08 1.761195E-01 8.238804E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.119348E+04 1.325219E-07 3.315866E-01 6.684133E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252870E+04 2.037075E-07 4.867230E-01 5.132767E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.394330E+04 2.040219E-07 5.617251E-01 4.382747E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 1.989788E-07 6.161016E-01 3.838982E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 1.609224E-07 6.313479E-01 3.686519E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 1.001858E-07 5.963555E-01 4.036444E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 6.476709E-08 5.635433E-01 4.364566E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 5.521423E-08 5.734143E-01 4.265856E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 5.051812E-08 5.916270E-01 4.083730E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 3.620972E-08 5.592077E-01 4.407922E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 10.0
#NVEL: 30
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7
1.200363E+04 1.495911E-10 2.355910E-03 9.976441E-01 2.004021E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.205538E+04 9.583377E-11 1.863686E-03 9.981363E-01 3.865628E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.217040E+04 6.839534E-11 1.560350E-03 9.984397E-01 7.706444E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.236090E+04 5.562820E-11 1.420092E-03 9.985799E-01 1.181407E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.267048E+04 4.060613E-11 1.233424E-03 9.987666E-01 2.004996E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.307535E+04 3.120843E-11 1.106455E-03 9.988935E-01 3.133345E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.353053E+04 2.409182E-11 9.914767E-04 9.990085E-01 4.959744E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.401275E+04 1.888288E-11 9.020356E-04 9.990980E-01 6.448210E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.450883E+04 1.613964E-11 8.683927E-04 9.991316E-01 5.968583E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500233E+04 1.620597E-11 9.096580E-04 9.990903E-01 4.461617E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547530E+04 1.916354E-11 1.046798E-03 9.989532E-01 2.371186E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.592370E+04 2.198148E-11 1.199443E-03 9.988006E-01 1.011800E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635565E+04 2.695120E-11 1.429471E-03 9.985705E-01 3.688171E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.677625E+04 4.322293E-11 1.966951E-03 9.980330E-01 9.747043E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.718313E+04 8.504910E-11 3.048339E-03 9.969517E-01 1.748109E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.758045E+04 1.669596E-10 4.796531E-03 9.952035E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.799035E+04 3.075229E-10 7.420856E-03 9.925791E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.845805E+04 6.050461E-10 1.209033E-02 9.879097E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.908468E+04 1.310556E-09 2.165060E-02 9.783494E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 1.940850E-09 3.352916E-02 9.664708E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.119348E+04 2.011650E-09 4.347175E-02 9.565282E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252870E+04 1.907875E-09 5.111162E-02 9.488884E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.394330E+04 1.444715E-09 5.195671E-02 9.480433E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 1.225909E-09 5.451887E-02 9.454811E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 8.936636E-10 5.305567E-02 9.469443E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 4.734185E-10 4.378850E-02 9.562115E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 2.670529E-10 3.687125E-02 9.631288E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 2.113064E-10 3.605778E-02 9.639422E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 1.796523E-10 3.601895E-02 9.639810E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 1.138110E-10 3.052651E-02 9.694735E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 15.0
#NVEL: 41
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7
9.653898E+03 1.830410E-13 4.126546E-05 9.999587E-01 9.647199E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.954100E+03 2.508771E-13 5.139324E-05 9.999486E-01 5.713063E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.024563E+04 3.064595E-13 6.068366E-05 9.999393E-01 2.885560E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.054150E+04 3.697467E-13 7.070027E-05 9.999293E-01 1.541342E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.083998E+04 5.628404E-13 9.218455E-05 9.999078E-01 7.499835E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.111913E+04 9.486867E-13 1.265451E-04 9.998735E-01 3.276474E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.135580E+04 1.950586E-12 1.917078E-04 9.998083E-01 1.259970E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.153978E+04 4.940558E-12 3.205297E-04 9.996795E-01 4.636950E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.167715E+04 1.039066E-11 4.845717E-04 9.995154E-01 2.110266E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.178405E+04 1.646655E-11 6.344672E-04 9.993655E-01 1.110000E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.187585E+04 2.175845E-11 7.529156E-04 9.992471E-01 7.192934E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.196338E+04 2.149102E-11 7.668427E-04 9.992332E-01 6.050823E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.205538E+04 1.546977E-11 6.656175E-04 9.993344E-01 6.136237E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
