#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] cl0 cl1 cl2 cl3 cl4 
440.10 2.65e-17 7.66e-10 5.68e-04 1.88e-01 8.11e-01 
999.11 2.06e-19 9.29e-12 1.90e-05 3.18e-02 9.68e-01 
1267.34 3.63e-21 2.20e-13 9.93e-07 6.20e-03 9.94e-01 
1514.05 2.68e-22 1.88e-14 1.38e-07 2.06e-03 9.98e-01 
1808.80 2.35e-23 2.03e-15 2.35e-08 7.55e-04 9.99e-01 
1919.29 3.83e-24 3.76e-16 6.05e-09 3.41e-04 1.00e+00 
2160.92 6.94e-25 6.33e-17 1.28e-09 1.31e-04 1.00e+00 
2292.92 1.39e-25 1.56e-17 4.45e-10 6.97e-05 1.00e+00 
2432.98 6.66e-26 7.44e-18 2.34e-10 4.85e-05 1.00e+00 
2581.60 4.47e-26 4.86e-18 1.59e-10 3.91e-05 1.00e+00 
2739.29 2.92e-26 3.23e-18 1.13e-10 3.22e-05 1.00e+00 
2906.62 2.13e-26 2.42e-18 8.90e-11 2.85e-05 1.00e+00 
3084.17 1.69e-26 1.97e-18 7.54e-11 2.61e-05 1.00e+00 
3272.56 1.14e-26 1.46e-18 6.20e-11 2.37e-05 1.00e+00 
3472.46 9.02e-27 1.26e-18 5.73e-11 2.30e-05 1.00e+00 
3684.57 7.42e-27 1.13e-18 5.49e-11 2.28e-05 1.00e+00 
3909.64 5.21e-27 9.10e-19 4.86e-11 2.15e-05 1.00e+00 
4148.46 5.27e-27 9.78e-19 5.33e-11 2.28e-05 1.00e+00 
4401.86 7.58e-27 1.39e-18 7.13e-11 2.69e-05 1.00e+00 
4670.75 1.08e-26 1.98e-18 9.74e-11 3.24e-05 1.00e+00 
4956.05 1.04e-26 2.06e-18 1.04e-10 3.40e-05 1.00e+00 
5258.79 8.36e-27 1.84e-18 9.98e-11 3.40e-05 1.00e+00 
5580.02 8.71e-27 2.11e-18 1.19e-10 3.86e-05 1.00e+00 
