#NTIMES:     67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cl0           cl1           cl2           cl3           cl4
    8.484663E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.0002E-07    1.0000E+00
    8.542546E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.0002E-07    1.0000E+00
    8.718573E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.0002E-07    1.0000E+00
    9.081584E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.0002E-07    1.0000E+00
    9.674554E+02    1.0000E-99    1.0000E-99    1.0000E-99    3.0002E-07    1.0000E+00
    1.028597E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.0007E-07    1.0000E+00
    1.093605E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.0032E-07    1.0000E+00
    1.162722E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.0051E-07    1.0000E+00
    1.236207E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.9817E-07    1.0000E+00
    1.314336E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.7625E-07    1.0000E+00
    1.397402E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.5864E-07    1.0000E+00
    1.485719E+03    1.0000E-99    1.0000E-99    1.0000E-99    9.9330E-08    1.0000E+00
    1.579618E+03    1.0000E-99    1.0000E-99    1.0000E-99    9.6364E-08    1.0000E+00
    1.679450E+03    1.0000E-99    1.0000E-99    1.0000E-99    7.4335E-08    1.0000E+00
    1.785593E+03    1.0000E-99    1.0000E-99    1.0000E-99    5.2968E-08    1.0000E+00
    1.898443E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.1570E-08    1.0000E+00
    2.018426E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.0930E-08    1.0000E+00
    2.145992E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.3616E-08    1.0000E+00
    2.281620E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.7674E-08    1.0000E+00
    2.425820E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.3640E-08    1.0000E+00
    2.579133E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.1313E-08    1.0000E+00
    2.742135E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0117E-08    1.0000E+00
    2.915440E+03    1.0000E-99    1.0000E-99    1.0000E-99    9.9275E-09    1.0000E+00
    3.099698E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0885E-08    1.0000E+00
    3.295601E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.4256E-08    1.0000E+00
    3.503885E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.4591E-08    1.0000E+00
    3.725332E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.5121E-08    1.0000E+00
    3.960775E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.1576E-08    1.0000E+00
    4.211099E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.2733E-07    1.0000E+00
    4.477243E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.1956E-07    1.0000E+00
    4.760207E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.2469E-07    1.0000E+00
    5.061055E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.6969E-07    1.0000E+00
    5.380917E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.2987E-07    1.0000E+00
    5.720994E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.1990E-07    1.0000E+00
    6.082565E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.2200E-07    1.0000E+00
    6.466986E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.6159E-07    1.0000E+00
    6.875704E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.3506E-07    1.0000E+00
    7.310253E+03    1.0000E-99    1.0000E-99    1.0000E-99    4.3913E-07    1.0000E+00
    7.772265E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.2878E-07    1.0000E+00
    8.263477E+03    1.0000E-99    1.0000E-99    1.0000E-99    1.0231E-06    1.0000E+00
    8.785734E+03    1.0000E-99    1.0000E-99    1.0000E-99    3.2974E-06    1.0000E+00
    9.340997E+03    1.0000E-99    1.0000E-99    1.0000E-99    6.6093E-05    9.9993E-01
    9.929841E+03    1.0000E-99    1.0000E-99    1.0000E-99    2.5892E-02    9.7411E-01
