#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 
440.10 1.74e-18 3.07e-11 4.05e-05 1.52e-01 8.48e-01 7.15e-05 1.79e-12 
999.11 5.42e-20 1.00e-12 2.45e-06 2.96e-02 9.69e-01 1.50e-03 4.88e-09 
1267.34 1.66e-21 4.32e-14 1.80e-07 6.13e-03 9.78e-01 1.56e-02 6.30e-07 
1514.05 1.82e-22 5.52e-15 3.21e-08 2.12e-03 9.24e-01 7.40e-02 2.88e-05 
1808.80 1.90e-23 6.89e-16 5.54e-09 6.81e-04 7.56e-01 2.43e-01 6.57e-04 
1919.29 2.40e-24 9.81e-17 9.87e-10 2.02e-04 5.10e-01 4.85e-01 4.30e-03 
2160.92 1.14e-25 7.77e-18 1.11e-10 4.34e-05 3.03e-01 6.74e-01 2.28e-02 
2292.92 2.28e-26 1.40e-18 2.26e-11 1.36e-05 1.98e-01 7.55e-01 4.74e-02 
2432.98 5.06e-27 4.13e-19 8.20e-12 6.49e-06 1.30e-01 7.85e-01 8.46e-02 
2581.60 1.77e-27 1.89e-19 4.35e-12 4.09e-06 9.98e-02 7.84e-01 1.16e-01 
2739.29 8.23e-28 9.73e-20 2.46e-12 2.69e-06 7.83e-02 7.73e-01 1.49e-01 
2906.62 4.45e-28 6.08e-20 1.69e-12 2.06e-06 6.74e-02 7.60e-01 1.73e-01 
3084.17 2.51e-28 4.14e-20 1.28e-12 1.72e-06 6.11e-02 7.54e-01 1.85e-01 
3272.56 1.56e-28 2.78e-20 9.53e-13 1.44e-06 5.68e-02 7.54e-01 1.89e-01 
3472.46 1.15e-28 2.30e-20 8.58e-13 1.40e-06 5.73e-02 7.64e-01 1.79e-01 
3684.57 8.65e-29 1.97e-20 8.04e-13 1.41e-06 5.87e-02 7.77e-01 1.65e-01 
3909.64 5.25e-29 1.39e-20 6.42e-13 1.26e-06 5.57e-02 7.86e-01 1.58e-01 
4148.46 5.30e-29 1.55e-20 7.49e-13 1.49e-06 6.20e-02 8.04e-01 1.34e-01 
4401.86 1.01e-28 2.70e-20 1.22e-12 2.17e-06 7.77e-02 8.19e-01 1.03e-01 
4670.75 1.91e-28 4.89e-20 2.10e-12 3.38e-06 1.02e-01 8.25e-01 7.23e-02 
4956.05 1.70e-28 5.16e-20 2.38e-12 3.92e-06 1.13e-01 8.25e-01 6.12e-02 
5258.79 1.39e-28 4.67e-20 2.34e-12 4.06e-06 1.19e-01 8.26e-01 5.52e-02 
5580.02 2.02e-28 6.60e-20 3.33e-12 5.56e-06 1.48e-01 8.13e-01 3.96e-02 
5920.87 2.36e-28 8.67e-20 4.50e-12 7.27e-06 1.74e-01 7.96e-01 2.97e-02 
6282.54 3.19e-28 1.16e-19 6.07e-12 9.49e-06 2.06e-01 7.73e-01 2.07e-02 
6666.30 5.12e-28 1.98e-19 1.02e-11 1.45e-05 2.60e-01 7.27e-01 1.31e-02 
7073.50 1.10e-27 3.88e-19 1.90e-11 2.38e-05 3.42e-01 6.52e-01 6.62e-03 
7505.58 1.55e-27 6.06e-19 2.94e-11 3.41e-05 4.06e-01 5.90e-01 3.89e-03 
7964.05 3.68e-27 1.44e-18 6.56e-11 6.35e-05 5.35e-01 4.64e-01 1.33e-03 
8450.53 1.58e-26 5.71e-18 2.26e-10 1.56e-04 7.31e-01 2.69e-01 2.45e-04 
8966.72 6.84e-26 2.37e-17 7.97e-10 3.71e-04 8.84e-01 1.15e-01 2.70e-05 
9514.44 5.27e-25 1.60e-16 4.11e-09 1.06e-03 9.69e-01 2.96e-02 9.70e-07 
10095.62 9.20e-24 2.45e-15 4.08e-08 4.36e-03 9.92e-01 4.00e-03 8.40e-09 
10712.30 4.91e-22 9.81e-14 9.22e-07 2.91e-02 9.71e-01 2.20e-04 7.72e-12 
11366.65 7.87e-20 1.17e-11 5.12e-05 3.04e-01 6.96e-01 2.74e-06 4.16e-16 
12061.10 8.72e-18 9.98e-10 1.60e-03 9.45e-01 5.33e-02 5.65e-10 3.81e-23 
12793.43 7.93e-16 6.68e-08 3.19e-02 9.68e-01 5.49e-04 3.93e-15 2.23e-32 
13528.61 1.06e-13 5.54e-06 5.36e-01 4.63e-01 1.33e-06 2.49e-21 6.92e-39 
14194.74 1.39e-12 4.83e-05 9.74e-01 2.57e-02 1.77e-10 2.06e-29 1.51e-38 
14757.77 9.64e-12 2.13e-04 9.99e-01 1.15e-03 5.24e-14 8.10e-37 3.28e-38 
15240.48 6.90e-11 8.57e-04 9.99e-01 7.35e-05 3.85e-17 1.53e-36 6.43e-38 
15646.99 6.22e-10 3.62e-03 9.96e-01 8.48e-06 2.52e-19 2.75e-36 1.19e-37 
15960.30 6.48e-09 1.57e-02 9.84e-01 2.12e-07 1.36e-23 4.36e-36 1.94e-37 
16187.41 3.04e-08 4.26e-02 9.57e-01 4.23e-08 5.92e-25 8.28e-36 3.73e-37 
16354.17 1.29e-07 1.12e-01 8.88e-01 2.85e-09 1.87e-28 1.54e-35 7.07e-37 
16484.18 2.15e-07 1.66e-01 8.34e-01 1.83e-09 1.29e-28 2.66e-35 1.23e-36 
16593.12 3.18e-07 2.33e-01 7.67e-01 2.68e-10 1.34e-31 3.80e-35 1.77e-36 
16691.99 5.01e-07 3.16e-01 6.84e-01 8.87e-11 8.41e-33 4.64e-35 2.18e-36 
16788.59 6.66e-07 3.69e-01 6.31e-01 1.21e-09 7.88e-29 5.20e-35 2.46e-36 
16888.37 1.07e-06 5.58e-01 4.42e-01 8.15e-12 2.85e-35 5.68e-35 2.70e-36 
16998.79 1.46e-06 6.34e-01 3.66e-01 2.37e-12 2.96e-36 6.13e-35 2.94e-36 
17146.37 2.24e-06 7.88e-01 2.12e-01 2.03e-13 3.15e-36 6.48e-35 3.12e-36 
17415.23 3.66e-06 9.19e-01 8.14e-02 5.70e-15 3.17e-36 6.46e-35 3.15e-36 
17888.12 6.83e-06 9.84e-01 1.58e-02 3.40e-17 3.05e-36 6.11e-35 3.04e-36 
18532.37 1.25e-05 9.97e-01 2.56e-03 3.41e-20 2.90e-36 5.70e-35 2.90e-36 
19260.76 1.90e-05 9.99e-01 5.86e-04 2.45e-22 3.16e-36 6.10e-35 3.16e-36 
20034.10 1.49e-05 1.00e+00 1.86e-04 1.02e-25 4.11e-36 7.78e-35 4.11e-36 
20838.00 2.55e-05 1.00e+00 3.00e-05 2.41e-28 5.98e-36 1.12e-34 5.98e-36 
21647.97 3.57e-05 1.00e+00 4.20e-06 2.10e-35 8.95e-36 1.65e-34 8.95e-36 
22447.94 5.32e-05 1.00e+00 2.28e-06 3.29e-35 1.41e-35 2.56e-34 1.41e-35 
23245.88 7.25e-05 1.00e+00 5.57e-07 4.91e-35 2.12e-35 3.81e-34 2.12e-35 
24052.47 1.24e-04 1.00e+00 5.98e-08 6.57e-35 2.85e-35 5.08e-34 2.85e-35 
24867.72 9.28e-05 1.00e+00 9.74e-08 8.18e-35 3.56e-35 6.29e-34 3.56e-35 
25698.86 1.22e-04 1.00e+00 4.43e-08 1.04e-34 4.54e-35 7.95e-34 4.54e-35 
26587.16 2.58e-04 1.00e+00 2.10e-09 1.48e-34 6.51e-35 1.13e-33 6.51e-35 
27637.54 2.58e-04 1.00e+00 6.31e-10 2.63e-34 1.16e-34 2.00e-33 1.16e-34 
28986.97 2.39e-04 1.00e+00 2.49e-10 6.82e-34 3.04e-34 5.15e-33 3.04e-34 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 
440.10 1.64e-18 2.41e-11 3.12e-05 1.23e-01 8.77e-01 1.36e-04 1.68e-11 
999.11 3.66e-20 7.72e-13 2.04e-06 2.60e-02 9.72e-01 2.38e-03 1.72e-08 
1267.34 1.42e-21 4.24e-14 1.85e-07 6.14e-03 9.74e-01 1.96e-02 1.78e-06 
1514.05 1.64e-22 5.67e-15 3.44e-08 2.19e-03 9.14e-01 8.34e-02 5.30e-05 
1808.80 1.96e-23 7.64e-16 6.36e-09 7.49e-04 7.57e-01 2.41e-01 7.82e-04 
1919.29 2.50e-24 1.18e-16 1.23e-09 2.35e-04 5.35e-01 4.59e-01 5.18e-03 
2160.92 1.86e-25 1.14e-17 1.60e-10 5.76e-05 3.37e-01 6.45e-01 1.75e-02 
2292.92 2.18e-26 1.49e-18 2.48e-11 1.45e-05 1.97e-01 7.48e-01 5.47e-02 
2432.98 5.79e-27 5.02e-19 1.01e-11 7.63e-06 1.42e-01 7.76e-01 8.27e-02 
2581.60 2.52e-27 2.51e-19 5.73e-12 5.13e-06 1.16e-01 7.84e-01 1.01e-01 
2739.29 1.15e-27 1.44e-19 3.69e-12 3.76e-06 9.66e-02 7.80e-01 1.24e-01 
2906.62 6.64e-28 9.19e-20 2.57e-12 2.94e-06 8.57e-02 7.76e-01 1.39e-01 
3084.17 4.35e-28 6.24e-20 1.90e-12 2.43e-06 7.90e-02 7.77e-01 1.44e-01 
3272.56 2.39e-28 4.20e-20 1.44e-12 2.06e-06 7.31e-02 7.76e-01 1.51e-01 
3472.46 1.74e-28 3.40e-20 1.27e-12 1.98e-06 7.32e-02 7.83e-01 1.44e-01 
3684.57 1.27e-28 2.86e-20 1.17e-12 1.97e-06 7.47e-02 7.95e-01 1.31e-01 
3909.64 7.49e-29 1.99e-20 9.25e-13 1.75e-06 7.06e-02 8.04e-01 1.25e-01 
4148.46 7.77e-29 2.08e-20 1.00e-12 1.95e-06 7.63e-02 8.17e-01 1.06e-01 
4401.86 1.38e-28 3.60e-20 1.63e-12 2.83e-06 9.44e-02 8.23e-01 8.24e-02 
4670.75 2.42e-28 6.39e-20 2.78e-12 4.37e-06 1.22e-01 8.19e-01 5.85e-02 
4956.05 2.51e-28 6.92e-20 3.18e-12 5.07e-06 1.37e-01 8.16e-01 4.66e-02 
5258.79 1.98e-28 6.21e-20 3.11e-12 5.24e-06 1.43e-01 8.15e-01 4.23e-02 
5580.02 2.56e-28 8.65e-20 4.43e-12 7.16e-06 1.75e-01 7.94e-01 3.12e-02 
5920.87 3.45e-28 1.13e-19 5.85e-12 9.17e-06 2.05e-01 7.72e-01 2.23e-02 
6282.54 4.16e-28 1.53e-19 8.07e-12 1.21e-05 2.41e-01 7.43e-01 1.62e-02 
6666.30 7.16e-28 2.60e-19 1.33e-11 1.83e-05 3.03e-01 6.87e-01 9.45e-03 
7073.50 1.37e-27 4.99e-19 2.46e-11 2.97e-05 3.87e-01 6.08e-01 5.14e-03 
7505.58 2.01e-27 7.80e-19 3.79e-11 4.25e-05 4.60e-01 5.38e-01 2.63e-03 
7964.05 4.65e-27 1.86e-18 8.51e-11 7.88e-05 5.93e-01 4.06e-01 8.81e-04 
8450.53 1.99e-26 7.70e-18 3.07e-10 1.98e-04 7.86e-01 2.14e-01 1.37e-04 
8966.72 8.92e-26 3.08e-17 1.02e-09 4.44e-04 9.11e-01 8.89e-02 1.37e-05 
9514.44 6.48e-25 2.06e-16 5.22e-09 1.25e-03 9.75e-01 2.35e-02 5.92e-07 
10095.62 1.29e-23 3.44e-15 5.57e-08 5.33e-03 9.92e-01 2.89e-03 3.75e-09 
10712.30 7.53e-22 1.51e-13 1.37e-06 3.74e-02 9.62e-01 1.47e-04 2.89e-12 
11366.65 1.12e-19 1.69e-11 7.03e-05 3.60e-01 6.40e-01 1.53e-06 1.30e-16 
12061.10 1.16e-17 1.34e-09 2.02e-03 9.60e-01 3.77e-02 1.58e-10 4.12e-24 
12793.43 1.04e-15 8.76e-08 3.88e-02 9.61e-01 3.94e-04 1.61e-15 3.79e-33 
13528.61 1.23e-13 6.51e-06 5.84e-01 4.16e-01 5.09e-07 2.05e-22 7.28e-39 
14194.74 1.54e-12 5.34e-05 9.80e-01 2.02e-02 8.04e-11 7.44e-31 1.59e-38 
14757.77 1.07e-11 2.35e-04 9.99e-01 9.36e-04 2.79e-14 8.48e-37 3.45e-38 
15240.48 7.70e-11 9.41e-04 9.99e-01 7.12e-05 3.97e-17 1.60e-36 6.77e-38 
15646.99 6.67e-10 3.92e-03 9.96e-01 3.14e-06 1.65e-20 2.88e-36 1.25e-37 
15960.30 6.76e-09 1.62e-02 9.84e-01 2.55e-07 4.46e-23 4.59e-36 2.04e-37 
16187.41 2.95e-08 4.29e-02 9.57e-01 3.42e-08 1.88e-25 8.68e-36 3.93e-37 
16354.17 1.27e-07 1.17e-01 8.83e-01 2.11e-09 2.47e-29 1.62e-35 7.45e-37 
16484.18 1.97e-07 1.61e-01 8.39e-01 8.35e-10 1.78e-30 2.80e-35 1.30e-36 
16593.12 2.99e-07 2.26e-01 7.74e-01 2.73e-10 9.13e-32 4.00e-35 1.87e-36 
16691.99 3.96e-07 2.78e-01 7.22e-01 1.22e-10 1.10e-32 4.90e-35 2.30e-36 
16788.59 8.46e-07 4.62e-01 5.38e-01 1.88e-11 1.61e-34 5.50e-35 2.61e-36 
16888.37 9.64e-07 4.99e-01 5.01e-01 1.30e-11 7.00e-35 5.99e-35 2.86e-36 
16998.79 1.40e-06 6.08e-01 3.92e-01 2.80e-12 3.14e-36 6.51e-35 3.11e-36 
17146.37 1.96e-06 7.37e-01 2.63e-01 6.46e-13 3.34e-36 6.88e-35 3.32e-36 
17415.23 3.10e-06 8.76e-01 1.24e-01 2.94e-14 3.37e-36 6.86e-35 3.35e-36 
17888.12 6.08e-06 9.73e-01 2.66e-02 1.47e-16 3.24e-36 6.50e-35 3.23e-36 
18532.37 1.19e-05 9.96e-01 4.35e-03 1.94e-19 3.09e-36 6.07e-35 3.08e-36 
19260.76 1.73e-05 9.99e-01 6.54e-04 2.92e-22 3.36e-36 6.47e-35 3.36e-36 
20034.10 2.45e-05 1.00e+00 6.91e-05 8.96e-26 4.37e-36 8.28e-35 4.37e-36 
20838.00 3.09e-05 1.00e+00 1.91e-05 1.51e-35 6.36e-36 1.19e-34 6.36e-36 
21647.97 4.28e-05 1.00e+00 3.94e-06 2.24e-35 9.51e-36 1.76e-34 9.51e-36 
22447.94 6.36e-05 1.00e+00 7.45e-07 3.51e-35 1.50e-35 2.74e-34 1.50e-35 
23245.88 8.02e-05 1.00e+00 2.98e-07 5.23e-35 2.25e-35 4.06e-34 2.25e-35 
24052.47 6.19e-05 1.00e+00 4.57e-07 6.99e-35 3.03e-35 5.41e-34 3.03e-35 
24867.72 8.96e-05 1.00e+00 1.94e-07 8.70e-35 3.79e-35 6.69e-34 3.79e-35 
25698.86 1.65e-04 1.00e+00 9.07e-09 1.10e-34 4.83e-35 8.45e-34 4.83e-35 
26587.16 1.75e-04 1.00e+00 4.23e-09 1.57e-34 6.92e-35 1.20e-33 6.92e-35 
27637.54 1.27e-04 1.00e+00 2.97e-09 2.80e-34 1.24e-34 2.12e-33 1.24e-34 
28986.97 1.90e-04 1.00e+00 4.84e-10 7.25e-34 3.24e-34 5.47e-33 3.24e-34 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 
440.10 1.89e-18 2.83e-11 3.83e-05 1.40e-01 8.60e-01 1.60e-04 5.97e-11 
999.11 3.24e-20 6.60e-13 1.88e-06 2.53e-02 9.72e-01 2.41e-03 1.93e-08 
1267.34 1.49e-21 3.86e-14 1.76e-07 6.13e-03 9.75e-01 1.85e-02 1.46e-06 
1514.05 1.84e-22 5.62e-15 3.50e-08 2.29e-03 9.23e-01 7.50e-02 3.92e-05 
1808.80 2.11e-23 8.00e-16 6.87e-09 8.17e-04 7.76e-01 2.22e-01 6.30e-04 
1919.29 3.22e-24 1.29e-16 1.33e-09 2.59e-04 5.68e-01 4.28e-01 3.83e-03 
2160.92 2.50e-25 1.53e-17 2.15e-10 7.24e-05 3.67e-01 6.17e-01 1.52e-02 
2292.92 2.71e-26 1.62e-18 2.64e-11 1.57e-05 2.15e-01 7.39e-01 4.52e-02 
2432.98 8.05e-27 6.04e-19 1.18e-11 8.82e-06 1.60e-01 7.72e-01 6.85e-02 
2581.60 3.27e-27 3.12e-19 7.06e-12 6.17e-06 1.31e-01 7.81e-01 8.78e-02 
2739.29 1.84e-27 1.94e-19 4.80e-12 4.75e-06 1.16e-01 7.86e-01 9.80e-02 
2906.62 1.07e-27 1.25e-19 3.40e-12 3.74e-06 1.03e-01 7.85e-01 1.12e-01 
3084.17 5.87e-28 8.45e-20 2.58e-12 3.16e-06 9.41e-02 7.83e-01 1.23e-01 
3272.56 3.57e-28 5.87e-20 2.00e-12 2.76e-06 9.02e-02 7.89e-01 1.21e-01 
3472.46 2.49e-28 4.66e-20 1.74e-12 2.62e-06 8.95e-02 7.94e-01 1.16e-01 
3684.57 1.81e-28 3.88e-20 1.58e-12 2.58e-06 9.05e-02 8.04e-01 1.05e-01 
3909.64 1.04e-28 2.60e-20 1.21e-12 2.24e-06 8.48e-02 8.13e-01 1.02e-01 
4148.46 9.59e-29 2.59e-20 1.27e-12 2.41e-06 8.86e-02 8.20e-01 9.13e-02 
4401.86 1.71e-28 4.64e-20 2.13e-12 3.62e-06 1.12e-01 8.21e-01 6.69e-02 
4670.75 3.28e-28 8.05e-20 3.50e-12 5.37e-06 1.42e-01 8.11e-01 4.67e-02 
4956.05 3.16e-28 8.67e-20 4.02e-12 6.25e-06 1.58e-01 8.03e-01 3.90e-02 
5258.79 2.46e-28 7.96e-20 4.04e-12 6.62e-06 1.67e-01 7.99e-01 3.40e-02 
5580.02 3.49e-28 1.08e-19 5.53e-12 8.73e-06 2.01e-01 7.75e-01 2.43e-02 
5920.87 4.18e-28 1.41e-19 7.37e-12 1.12e-05 2.32e-01 7.49e-01 1.85e-02 
6282.54 5.36e-28 1.97e-19 1.04e-11 1.52e-05 2.78e-01 7.10e-01 1.21e-02 
6666.30 9.25e-28 3.24e-19 1.67e-11 2.22e-05 3.40e-01 6.52e-01 7.41e-03 
7073.50 1.71e-27 5.74e-19 2.81e-11 3.38e-05 4.26e-01 5.70e-01 3.76e-03 
7505.58 2.59e-27 9.64e-19 4.68e-11 5.07e-05 5.06e-01 4.92e-01 1.89e-03 
7964.05 5.96e-27 2.33e-18 1.06e-10 9.46e-05 6.45e-01 3.54e-01 5.71e-04 
8450.53 2.70e-26 9.99e-18 3.95e-10 2.39e-04 8.30e-01 1.70e-01 7.15e-05 
8966.72 1.17e-25 3.95e-17 1.30e-09 5.25e-04 9.29e-01 7.06e-02 7.99e-06 
9514.44 8.35e-25 2.65e-16 6.60e-09 1.46e-03 9.80e-01 1.85e-02 3.03e-07 
10095.62 1.78e-23 4.80e-15 7.55e-08 6.48e-03 9.91e-01 2.12e-03 1.68e-09 
10712.30 1.14e-21 2.30e-13 1.99e-06 4.73e-02 9.53e-01 9.74e-05 1.30e-12 
11366.65 1.63e-19 2.48e-11 9.84e-05 4.28e-01 5.72e-01 8.59e-07 3.92e-17 
12061.10 1.45e-17 1.70e-09 2.41e-03 9.69e-01 2.83e-02 7.08e-11 1.15e-24 
12793.43 1.33e-15 1.14e-07 4.72e-02 9.53e-01 2.61e-04 5.46e-16 3.99e-34 
13528.61 1.48e-13 7.86e-06 6.42e-01 3.58e-01 3.59e-07 1.81e-22 7.65e-39 
14194.74 1.68e-12 5.84e-05 9.84e-01 1.61e-02 4.28e-11 5.05e-31 1.67e-38 
14757.77 1.11e-11 2.46e-04 9.99e-01 7.94e-04 1.66e-14 8.87e-37 3.62e-38 
15240.48 8.21e-11 1.01e-03 9.99e-01 3.55e-05 7.22e-18 1.68e-36 7.12e-38 
15646.99 6.87e-10 4.02e-03 9.96e-01 2.48e-06 8.69e-21 3.02e-36 1.32e-37 
