#NTIMES: 50
#NSTAGES: 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] co0 co1 co2
425.78 3.1659e-01 5.1141e-01 1.7200e-01
857.79 3.8243e-01 4.6070e-01 1.5687e-01
878.44 3.4567e-01 5.0526e-01 1.4907e-01
917.72 3.5884e-01 4.9176e-01 1.4940e-01
973.04 3.4254e-01 4.9369e-01 1.6377e-01
1034.98 3.6211e-01 4.8003e-01 1.5786e-01
1099.97 3.7291e-01 4.7807e-01 1.4902e-01
1169.04 3.3048e-01 5.1933e-01 1.5018e-01
1242.44 3.3840e-01 5.0963e-01 1.5197e-01
1320.45 3.6315e-01 4.9234e-01 1.4451e-01
1403.37 3.8218e-01 4.7119e-01 1.4663e-01
1491.49 3.9669e-01 4.6094e-01 1.4238e-01
1585.14 4.0333e-01 4.5423e-01 1.4244e-01
1684.67 3.9202e-01 4.6771e-01 1.4026e-01
1790.45 3.8670e-01 4.6958e-01 1.4372e-01
1902.87 3.8779e-01 4.6439e-01 1.4782e-01
2022.36 2.8711e-01 5.3620e-01 1.7669e-01
2149.34 3.1180e-01 5.3350e-01 1.5471e-01
2284.30 2.8425e-01 5.5056e-01 1.6519e-01
2427.74 2.5756e-01 5.6542e-01 1.7702e-01
2580.18 2.3091e-01 5.8012e-01 1.8897e-01
2742.19 2.0644e-01 5.9483e-01 1.9873e-01
2914.37 1.8893e-01 6.0508e-01 2.0599e-01
3097.37 1.6534e-01 6.2717e-01 2.0749e-01
3291.85 1.3747e-01 6.5372e-01 2.0882e-01
3498.55 1.2148e-01 6.8732e-01 1.9120e-01
3718.23 1.7891e-01 6.7329e-01 1.4781e-01
3951.70 2.1312e-01 6.5939e-01 1.2749e-01
4199.83 1.4387e-01 6.9664e-01 1.5949e-01
4463.54 1.3204e-01 6.8728e-01 1.8068e-01
4743.81 1.5133e-01 6.6236e-01 1.8631e-01
5041.68 1.5543e-01 6.5996e-01 1.8461e-01
5358.25 1.7916e-01 6.3852e-01 1.8231e-01
5694.70 1.6879e-01 6.4575e-01 1.8546e-01
6052.28 1.7520e-01 6.4327e-01 1.8153e-01
6432.31 1.8513e-01 6.3724e-01 1.7764e-01
6836.20 1.8169e-01 6.3851e-01 1.7980e-01
7265.45 1.9483e-01 6.2781e-01 1.7736e-01
7721.65 2.1308e-01 6.1638e-01 1.7054e-01
8206.56 2.1473e-01 6.1685e-01 1.6842e-01
8717.73 2.2835e-01 6.1658e-01 1.5507e-01
9214.74 2.2844e-01 6.2687e-01 1.4470e-01
9629.11 2.3581e-01 6.2902e-01 1.3516e-01
9954.11 2.5626e-01 6.1963e-01 1.2411e-01
10245.64 2.0562e-01 6.6987e-01 1.2452e-01
10541.49 1.9296e-01 6.8531e-01 1.2173e-01
10839.94 2.2909e-01 6.7146e-01 9.9455e-02
11119.11 2.3694e-01 6.7421e-01 8.8851e-02
11355.83 3.1816e-01 6.1150e-01 7.0349e-02
11539.81 3.8603e-01 5.5691e-01 5.7062e-02
11677.16 4.7778e-01 4.7450e-01 4.7720e-02
11784.05 4.9295e-01 4.6492e-01 4.2130e-02
11875.85 5.3686e-01 4.2169e-01 4.1455e-02
11963.37 4.7098e-01 4.8485e-01 4.4169e-02
12055.39 4.3820e-01 5.1131e-01 5.0494e-02
12170.41 3.1794e-01 6.1791e-01 6.4154e-02
12360.89 2.2097e-01 7.1087e-01 6.8155e-02
12670.46 1.3195e-01 7.8809e-01 7.9954e-02
13075.34 7.4993e-02 8.2721e-01 9.7796e-02
13530.52 6.4180e-02 8.1806e-01 1.1776e-01
14012.75 3.2116e-02 8.3488e-01 1.3301e-01
14508.81 3.4258e-02 8.0778e-01 1.5797e-01
15002.30 4.4114e-02 7.8547e-01 1.7041e-01
15475.29 5.5381e-02 7.7609e-01 1.6853e-01
15923.68 7.9810e-02 7.3216e-01 1.8803e-01
16355.64 8.1409e-02 7.2465e-01 1.9394e-01
16776.27 4.8809e-02 7.6072e-01 1.9047e-01
17183.14 1.5701e-01 6.5711e-01 1.8588e-01
17580.45 6.8128e-02 7.5853e-01 1.7334e-01
17990.34 3.5934e-02 7.6475e-01 1.9931e-01
18458.06 5.6363e-02 7.3543e-01 2.0821e-01
19084.69 2.7072e-02 7.3316e-01 2.3976e-01
19999.79 1.8513e-02 6.4055e-01 3.4094e-01
21193.46 1.6247e-02 5.2283e-01 4.6092e-01
22528.72 8.8252e-03 4.1357e-01 5.7760e-01
23943.32 1.7936e-02 3.3388e-01 6.4818e-01
25446.74 6.4817e-03 1.7474e-01 8.1878e-01
27044.57 2.3500e-03 2.2574e-01 7.7191e-01
28744.18 3.3192e-04 1.0611e-01 8.9356e-01
30520.16 2.1710e-04 6.6577e-02 9.3321e-01
32243.50 2.9801e-05 5.0584e-02 9.4939e-01
33773.01 3.0337e-05 4.1141e-02 9.5883e-01
35108.48 8.1338e-05 3.0261e-02 9.6966e-01
36326.30 3.6807e-06 2.1165e-02 9.7883e-01
37486.70 8.6871e-06 1.4754e-02 9.8524e-01
38628.25 1.7061e-05 1.1186e-02 9.8880e-01
39768.62 3.5806e-06 8.1748e-03 9.9182e-01
40915.31 1.9381e-06 6.0190e-03 9.9398e-01
42074.51 1.8202e-06 4.4467e-03 9.9555e-01
43252.44 4.4301e-07 3.2859e-03 9.9671e-01
44454.05 3.7666e-07 2.4308e-03 9.9757e-01
45683.04 3.0051e-07 1.7948e-03 9.9820e-01
46941.68 2.9333e-07 1.3244e-03 9.9868e-01
48230.81 2.4649e-07 9.7635e-04 9.9902e-01
49550.29 1.5399e-07 7.1996e-04 9.9928e-01
50899.37 8.0656e-08 5.3135e-04 9.9947e-01
52276.86 4.1955e-08 3.9305e-04 9.9961e-01
53681.16 6.3795e-10 2.9127e-04 9.9971e-01
55110.21 2.6660e-10 2.1636e-04 9.9978e-01
