#NTIMES:     67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    8.484663E+02    1.0000E-99    7.0946E-30    1.5329E-22    3.4976E-16    1.2933E-10    4.6532E-06    1.3266E-02    9.8673E-01
    8.542546E+02    1.0000E-99    7.0946E-30    1.5329E-22    3.4976E-16    1.2933E-10    4.6532E-06    1.3266E-02    9.8673E-01
    8.718573E+02    1.0000E-99    7.0947E-30    1.5329E-22    3.4977E-16    1.2933E-10    4.6533E-06    1.3266E-02    9.8673E-01
    9.081584E+02    1.0000E-99    7.0951E-30    1.5329E-22    3.4978E-16    1.2933E-10    4.6534E-06    1.3266E-02    9.8673E-01
    9.674554E+02    1.0000E-99    7.0961E-30    1.5331E-22    3.4982E-16    1.2935E-10    4.6537E-06    1.3267E-02    9.8673E-01
    1.028597E+03    1.0000E-99    7.1045E-30    1.5348E-22    3.5016E-16    1.2945E-10    4.6565E-06    1.3271E-02    9.8672E-01
    1.093605E+03    1.0000E-99    7.1581E-30    1.5465E-22    3.5273E-16    1.3030E-10    4.6805E-06    1.3310E-02    9.8669E-01
    1.162722E+03    1.0000E-99    7.2169E-30    1.5604E-22    3.5602E-16    1.3143E-10    4.7138E-06    1.3365E-02    9.8663E-01
    1.236207E+03    1.0000E-99    6.7910E-30    1.4729E-22    3.3768E-16    1.2562E-10    4.5546E-06    1.3113E-02    9.8688E-01
    1.314336E+03    1.0000E-99    3.6782E-30    8.1706E-23    1.9554E-16    7.8356E-11    3.1728E-06    1.0720E-02    9.8928E-01
    1.397402E+03    1.0000E-99    6.0784E-32    1.8145E-24    6.4273E-18    4.4649E-12    3.7250E-07    3.3195E-03    9.9668E-01
    1.485719E+03    1.0000E-99    1.9015E-33    7.3048E-26    3.6195E-19    4.0348E-13    6.1930E-08    1.2509E-03    9.9875E-01
    1.579618E+03    1.0000E-99    1.5138E-33    5.9044E-26    2.9881E-19    3.4357E-13    5.4905E-08    1.1718E-03    9.9883E-01
    1.679450E+03    1.0000E-99    2.2693E-34    1.0267E-26    6.2985E-20    9.4472E-14    2.1083E-08    7.0032E-04    9.9930E-01
    1.785593E+03    1.0000E-99    1.9424E-35    1.0743E-27    8.5183E-21    1.8139E-14    6.2446E-09    3.6649E-04    9.9963E-01
    1.898443E+03    1.0000E-99    3.6237E-36    2.3745E-28    2.2980E-21    6.2842E-15    2.9016E-09    2.4548E-04    9.9975E-01
    2.018426E+03    1.0000E-99    4.3179E-37    3.3932E-29    4.1288E-22    1.5401E-15    1.0380E-09    1.4360E-04    9.9986E-01
    2.145992E+03    1.0000E-99    6.5810E-38    6.2260E-30    9.4486E-23    4.6765E-16    4.3971E-10    9.2381E-05    9.9991E-01
    2.281620E+03    1.0000E-99    8.4423E-39    9.6497E-31    1.8468E-23    1.2434E-16    1.6894E-10    5.6817E-05    9.9994E-01
    2.425820E+03    1.0000E-99    1.3992E-39    1.9182E-31    4.5519E-24    4.0336E-17    7.5596E-11    3.7968E-05    9.9996E-01
    2.579133E+03    1.0000E-99    3.8852E-40    6.1038E-32    1.6967E-24    1.8328E-17    4.3197E-11    2.8754E-05    9.9997E-01
    2.742135E+03    1.0000E-99    1.8847E-40    3.2556E-32    1.0024E-24    1.2154E-17    3.2492E-11    2.4965E-05    9.9998E-01
