#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 co7 co8
4.242332e+02 9.845144e-25 9.771489e-17 7.610959e-10 1.654770e-04 2.401135e-01 7.561856e-01 3.535413e-03 1.060624e-08 1.117092e-17 
8.515108e+02 4.630839e-24 2.587466e-16 1.233278e-09 1.862008e-04 2.297283e-01 7.653579e-01 4.727566e-03 2.394011e-08 5.586025e-17 
8.638199e+02 6.468521e-25 4.886631e-17 3.257754e-10 7.298622e-05 1.440930e-01 8.457631e-01 1.007085e-02 1.097926e-07 6.123951e-16 
8.922215e+02 3.564654e-25 3.091792e-17 2.346124e-10 5.983527e-05 1.322196e-01 8.566082e-01 1.111226e-02 1.296734e-07 7.620357e-16 
9.416122e+02 4.800013e-25 4.776937e-17 3.923088e-10 9.715412e-05 1.790774e-01 8.146177e-01 6.207710e-03 3.507702e-08 8.100023e-17 
1.002576e+03 8.701723e-25 8.227084e-17 6.260720e-10 1.380975e-04 2.156219e-01 7.797648e-01 4.475172e-03 1.762946e-08 2.644420e-17 
1.065938e+03 9.982645e-25 9.348826e-17 7.017278e-10 1.509847e-04 2.261375e-01 7.696370e-01 4.074549e-03 1.455519e-08 1.933147e-17 
1.133306e+03 6.990898e-25 6.719407e-17 5.248829e-10 1.205873e-04 2.006772e-01 7.941117e-01 5.090460e-03 2.330299e-08 4.140240e-17 
1.204932e+03 4.954451e-25 4.845322e-17 3.906813e-10 9.581514e-05 1.772253e-01 8.162839e-01 6.394952e-03 3.754033e-08 9.123173e-17 
1.281084e+03 8.893046e-26 9.454521e-18 9.056055e-11 3.006610e-05 9.237176e-02 8.893046e-01 1.829323e-02 3.658646e-07 4.002776e-15 
1.362050e+03 2.883409e-27 3.673384e-19 4.937344e-12 2.936074e-06 2.317260e-02 8.702892e-01 1.065150e-01 2.027603e-05 3.489057e-12 
