#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    8.484663E+02   1.0000E-099   3.9196E-019   4.2749E-012   1.0866E-005   9.9999E-001
    8.542546E+02   1.0000E-099   3.9196E-019   4.2749E-012   1.0866E-005   9.9999E-001
    8.718573E+02   1.0000E-099   3.9196E-019   4.2749E-012   1.0866E-005   9.9999E-001
    9.081584E+02   1.0000E-099   3.9197E-019   4.2749E-012   1.0866E-005   9.9999E-001
    9.674554E+02   1.0000E-099   3.9198E-019   4.2751E-012   1.0866E-005   9.9999E-001
    1.028597E+03   1.0000E-099   3.9211E-019   4.2761E-012   1.0868E-005   9.9999E-001
    1.093605E+03   1.0000E-099   3.9224E-019   4.2786E-012   1.0871E-005   9.9999E-001
    1.162722E+03   1.0000E-099   3.9162E-019   4.2766E-012   1.0868E-005   9.9999E-001
    1.236207E+03   1.0000E-099   3.8692E-019   4.2341E-012   1.0814E-005   9.9999E-001
    1.314336E+03   1.0000E-099   3.4946E-019   3.8720E-012   1.0348E-005   9.9999E-001
    1.397402E+03   1.0000E-099   1.2459E-019   1.7510E-012   7.0316E-006   9.9999E-001
    1.485719E+03   1.0000E-099   5.2089E-020   8.9666E-013   5.1250E-006   9.9999E-001
    1.579618E+03   1.0000E-099   4.9378E-020   8.5997E-013   5.0272E-006   9.9999E-001
    1.679450E+03   1.0000E-099   2.9880E-020   5.8811E-013   4.2133E-006   1.0000E+000
    1.785593E+03   1.0000E-099   1.5262E-020   3.5537E-013   3.3416E-006   1.0000E+000
    1.898443E+03   1.0000E-099   8.8573E-021   2.4008E-013   2.7803E-006   1.0000E+000
    2.018426E+03   1.0000E-099   4.8619E-021   1.5373E-013   2.2725E-006   1.0000E+000
    2.145992E+03   1.0000E-099   2.6787E-021   9.9871E-014   1.8639E-006   1.0000E+000
    2.281620E+03   1.0000E-099   1.4501E-021   6.3711E-014   1.5230E-006   1.0000E+000
    2.425820E+03   1.0000E-099   8.1176E-022   4.1954E-014   1.2595E-006   1.0000E+000
    2.579133E+03   1.0000E-099   5.2738E-022   3.0839E-014   1.0941E-006   1.0000E+000
    2.742135E+03   1.0000E-099   3.9380E-022   2.5212E-014   9.9367E-007   1.0000E+000
    2.915440E+03   1.0000E-099   3.4890E-022   2.3492E-014   9.5283E-007   1.0000E+000
    3.099698E+03   1.0000E-099   3.7687E-022   2.5515E-014   9.7360E-007   1.0000E+000
    3.295601E+03   1.0000E-099   5.8969E-022   3.6408E-014   1.1255E-006   1.0000E+000
    3.503885E+03   1.0000E-099   1.4019E-021   7.3353E-014   1.5101E-006   1.0000E+000
    3.725332E+03   1.0000E-099   5.3957E-021   1.9456E-013   2.3979E-006   1.0000E+000
    3.960775E+03   1.0000E-099   1.3951E-020   3.6549E-013   3.2892E-006   1.0000E+000
    4.211099E+03   1.0000E-099   6.9820E-020   1.5770E-012   6.6580E-006   9.9999E-001
    4.477243E+03   1.0000E-099   1.1055E-019   2.3629E-012   8.2860E-006   9.9999E-001
    4.760207E+03   1.0000E-099   1.0265E-019   2.2977E-012   8.2089E-006   9.9999E-001
    5.061055E+03   1.0000E-099   6.7694E-020   1.6984E-012   7.0202E-006   9.9999E-001
    5.380917E+03   1.0000E-099   4.6951E-020   1.3046E-012   6.1285E-006   9.9999E-001
    5.720994E+03   1.0000E-099   3.9495E-020   1.1707E-012   5.8133E-006   9.9999E-001
    6.082565E+03   1.0000E-099   3.8355E-020   1.1597E-012   5.7978E-006   9.9999E-001
    6.466986E+03   1.0000E-099   4.8557E-020   1.4198E-012   6.4793E-006   9.9999E-001
    6.875704E+03   1.0000E-099   6.9908E-020   1.9358E-012   7.6992E-006   9.9999E-001
    7.310253E+03   1.0000E-099   1.1008E-019   2.7930E-012   9.4298E-006   9.9999E-001
    7.772265E+03   1.0000E-099   1.9745E-019   4.5066E-012   1.2357E-005   9.9999E-001
    8.263477E+03   1.0000E-099   4.6547E-019   8.9126E-012   1.8163E-005   9.9998E-001
    8.785734E+03   1.0000E-099   3.4761E-018   4.5082E-011   4.6708E-005   9.9995E-001
    9.340997E+03   1.0000E-099   8.5039E-016   3.5041E-009   6.1155E-004   9.9939E-001
    9.929841E+03   1.0000E-099   3.6833E-011   1.9335E-005   1.0972E-001   8.9027E-001
    1.041447E+04   1.0000E-099   1.0451E-007   7.8731E-003   9.7605E-001   1.6073E-002
    1.083674E+04   1.0000E-099   5.0734E-005   4.2300E-001   5.7694E-001   6.8964E-006
    1.136786E+04   1.0000E-099   2.6423E-002   9.7354E-001   3.2335E-005   2.3937E-017
    1.167027E+04   1.0000E-099   1.3344E-001   8.6656E-001   1.5556E-006   1.5940E-020
    1.185735E+04   1.0000E-099   2.6340E-001   7.3660E-001   3.1598E-007   3.9171E-022
    1.198132E+04   1.0000E-099   6.1501E-001   3.8499E-001   6.1874E-009   3.6086E-026
    1.207995E+04   1.0000E-099   8.5879E-001   1.4121E-001   1.0404E-010   3.6146E-030
    1.216774E+04   1.0000E-099   9.2951E-001   7.0492E-002   8.1997E-012   1.2754E-032
    1.225420E+04   1.0000E-099   9.6721E-001   3.2795E-002   5.8090E-013   3.8565E-035
    1.234075E+04   1.0000E-099   9.8540E-001   1.4598E-002   3.8902E-014   1.0971E-037
    1.244043E+04   1.0000E-099   9.9279E-001   7.2123E-003   3.8471E-015   7.4703E-040
    1.256653E+04   1.0000E-099   9.9511E-001   4.8912E-003   1.0243E-015   4.0760E-041
    1.291944E+04   1.0000E-099   9.9373E-001   6.2682E-003   1.6377E-015   7.8631E-041
    1.356464E+04   1.0000E-099   9.7780E-001   2.2198E-002   5.6785E-014   8.8131E-038
    1.414194E+04   1.0000E-099   9.6314E-001   3.6863E-002   2.0681E-013   9.6296E-037
    1.463678E+04   1.0000E-099   9.7287E-001   2.7131E-002   5.8483E-014   4.8836E-038
    1.515385E+04   1.0000E-099   9.8065E-001   1.9354E-002   1.7401E-014   3.2417E-039
    1.570238E+04   1.0000E-099   9.9065E-001   9.3521E-003   1.6072E-015   2.6254E-041
    1.628316E+04   1.0000E-099   9.9815E-001   1.8541E-003   9.3291E-018   3.2955E-046
    1.695591E+04   1.0000E-099   9.9959E-001   4.1414E-004   1.1213E-019   4.3911E-050
