#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8
4.242332e+02 4.476481e+04 2.952632e+13 7.935275e-26 1.174421e-17 9.014472e-11 2.837654e-05 8.189204e-02 9.014472e-01 1.663234e-02 3.739102e-10 5.884800e-21 
8.515108e+02 4.587027e+04 5.911254e+13 1.485976e-24 1.141855e-16 4.598705e-10 7.883494e-05 1.295146e-01 8.603020e-01 1.010464e-02 1.717476e-10 2.183603e-21 
8.638199e+02 4.625995e+04 4.630391e+13 2.292631e-25 2.365541e-17 1.308339e-10 3.224265e-05 8.182180e-02 8.992297e-01 1.891623e-02 7.372064e-10 2.333137e-20 
8.922215e+02 4.623995e+04 4.016827e+13 6.678780e-26 8.277924e-18 5.549972e-11 1.735542e-05 5.879207e-02 9.124530e-01 2.873757e-02 2.027151e-09 1.246392e-19 
9.416122e+02 4.548603e+04 3.157240e+13 4.662100e-26 6.900148e-18 5.424116e-11 1.860040e-05 6.360136e-02 9.120195e-01 2.436052e-02 1.080023e-09 3.732080e-20 
1.002576e+03 4.496458e+04 3.210414e+13 8.680625e-26 1.214114e-17 8.856583e-11 2.721493e-05 7.859485e-02 9.032542e-01 1.812374e-02 4.950302e-10 9.912335e-21 
1.065938e+03 4.489202e+04 3.205340e+13 8.622479e-26 1.208320e-17 8.857104e-11 2.709922e-05 7.859947e-02 9.033073e-01 1.806615e-02 4.944728e-10 9.854261e-21 
1.133306e+03 4.529169e+04 3.209654e+13 6.448442e-26 9.262308e-18 6.976042e-11 2.245230e-05 7.034664e-02 9.086442e-01 2.098675e-02 7.386398e-10 1.963844e-20 
1.204932e+03 4.600435e+04 3.257792e+13 2.794977e-26 4.219056e-18 3.444971e-11 1.288171e-05 5.117230e-02 9.159015e-01 3.291336e-02 2.481797e-09 1.601350e-19 
1.281084e+03 4.812197e+04 3.443614e+13 6.039350e-27 9.904534e-19 9.179812e-12 4.426843e-06 2.705629e-02 8.998631e-01 7.307613e-02 2.331189e-08 7.971942e-18 
1.362050e+03 5.114445e+04 3.714984e+13 8.708063e-28 1.578336e-19 1.700794e-12 1.115721e-06 1.149736e-02 8.095777e-01 1.789235e-01 3.374374e-07 8.980190e-16 
