#NTIMES:    67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5           fe6           fe7
    8.484663E+02   1.0295E-037   1.7586E-029   1.4635E-022   3.4970E-016   8.2910E-011   3.4461E-006   8.7020E-003   9.9129E-001
    8.542546E+02   1.0295E-037   1.7586E-029   1.4635E-022   3.4970E-016   8.2910E-011   3.4461E-006   8.7020E-003   9.9129E-001
    8.718573E+02   1.0295E-037   1.7586E-029   1.4636E-022   3.4971E-016   8.2910E-011   3.4461E-006   8.7020E-003   9.9129E-001
    9.081584E+02   1.0296E-037   1.7587E-029   1.4636E-022   3.4972E-016   8.2913E-011   3.4462E-006   8.7021E-003   9.9129E-001
    9.674554E+02   1.0297E-037   1.7589E-029   1.4638E-022   3.4976E-016   8.2921E-011   3.4465E-006   8.7024E-003   9.9129E-001
    1.028597E+03   1.0310E-037   1.7609E-029   1.4654E-022   3.5008E-016   8.2987E-011   3.4485E-006   8.7052E-003   9.9129E-001
    1.093605E+03   1.0379E-037   1.7733E-029   1.4759E-022   3.5249E-016   8.3515E-011   3.4656E-006   8.7296E-003   9.9127E-001
    1.162722E+03   1.0441E-037   1.7864E-029   1.4883E-022   3.5548E-016   8.4215E-011   3.4891E-006   8.7640E-003   9.9123E-001
    1.236207E+03   9.8373E-038   1.6855E-029   1.4078E-022   3.3804E-016   8.0572E-011   3.3747E-006   8.6041E-003   9.9139E-001
    1.314336E+03   5.4648E-038   9.4092E-030   7.9957E-023   2.0151E-016   5.0840E-011   2.3789E-006   7.0834E-003   9.9291E-001
    1.397402E+03   8.6083E-040   1.8108E-031   2.0019E-024   7.6979E-018   3.0626E-012   2.9822E-007   2.2847E-003   9.9771E-001
    1.485719E+03   2.5853E-041   6.4520E-033   8.9384E-026   4.9551E-019   2.8910E-013   5.2921E-008   8.9746E-004   9.9910E-001
    1.579618E+03   2.0577E-041   5.1839E-033   7.2781E-026   4.1302E-019   2.4690E-013   4.7152E-008   8.4332E-004   9.9916E-001
    1.679450E+03   2.9703E-042   8.3171E-034   1.3362E-026   9.3532E-020   6.9327E-014   1.8813E-008   5.1631E-004   9.9948E-001
    1.785593E+03   2.3889E-043   7.7500E-035   1.4970E-027   1.3861E-020   1.3641E-014   5.8711E-009   2.7896E-004   9.9972E-001
    1.898443E+03   4.0498E-044   1.5126E-035   3.4312E-028   3.9281E-021   4.7842E-015   2.8107E-009   1.9017E-004   9.9981E-001
    2.018426E+03   4.5192E-045   1.9348E-036   5.1927E-029   7.6340E-022   1.1941E-015   1.0569E-009   1.1444E-004   9.9989E-001
    2.145992E+03   6.2384E-046   3.1086E-037   9.9442E-030   1.8535E-022   3.6723E-016   4.6583E-010   7.5204E-005   9.9992E-001
    2.281620E+03   7.3498E-047   4.2484E-038   1.6228E-030   3.8925E-023   9.9060E-017   1.8820E-010   4.7435E-005   9.9995E-001
    2.425820E+03   1.1007E-047   7.3942E-039   3.3571E-031   1.0147E-023   3.2475E-017   8.7710E-011   3.2305E-005   9.9997E-001
    2.579133E+03   2.8121E-048   2.1202E-039   1.0967E-031   3.9255E-024   1.4855E-017   5.1524E-011   2.4763E-005   9.9998E-001
    2.742135E+03   1.2627E-048   1.0396E-039   5.9010E-032   2.3481E-024   9.8721E-018   3.9119E-011   2.1585E-005   9.9998E-001
    2.915440E+03   1.1369E-048   9.8825E-040   5.8793E-032   2.4051E-024   1.0405E-017   4.0701E-011   2.2007E-005   9.9998E-001
    3.099698E+03   2.3598E-048   2.0882E-039   1.2360E-031   4.7411E-024   1.9275E-017   6.2480E-011   2.7285E-005   9.9997E-001
    3.295601E+03   1.8217E-047   1.5031E-038   7.9625E-031   2.4582E-023   8.0673E-017   1.6958E-010   4.5374E-005   9.9995E-001
    3.503885E+03   1.1524E-045   8.4455E-037   3.6510E-029   7.3870E-022   1.5876E-015   1.4264E-009   1.3857E-004   9.9986E-001
    3.725332E+03   9.8891E-044   5.1388E-035   1.4979E-027   1.7948E-020   2.2684E-014   9.4419E-009   3.7467E-004   9.9963E-001
    3.960775E+03   8.6518E-043   3.2630E-034   6.9156E-027   6.0530E-020   5.5904E-014   1.7147E-008   5.0387E-004   9.9950E-001
    4.211099E+03   2.1569E-038   8.0410E-030   1.3428E-022   5.2209E-016   1.8627E-010   8.0858E-006   1.5442E-002   9.8455E-001
    4.477243E+03   2.9179E-037   1.0636E-028   1.6512E-021   5.2694E-015   1.4438E-009   3.8608E-005   3.6853E-002   9.6311E-001
    4.760207E+03   3.4205E-037   1.3150E-028   2.1302E-021   6.9089E-015   1.8930E-009   4.8291E-005   4.2012E-002   9.5794E-001
    5.061055E+03   8.8837E-038   3.7971E-029   6.9232E-022   2.6053E-015   8.4379E-010   2.6861E-005   3.0736E-002   9.6924E-001
    5.380917E+03   2.7844E-038   1.3094E-029   2.6531E-022   1.1373E-015   4.2571E-010   1.6367E-005   2.3599E-002   9.7638E-001
    5.720994E+03   2.0772E-038   1.0445E-029   2.2549E-022   1.0209E-015   4.0161E-010   1.5977E-005   2.3483E-002   9.7650E-001
    6.082565E+03   2.2734E-038   1.1700E-029   2.5722E-022   1.1711E-015   4.5981E-010   1.7852E-005   2.5060E-002   9.7492E-001
    6.466986E+03   7.9083E-038   3.9949E-029   8.4288E-022   3.4850E-015   1.2006E-009   3.7052E-005   3.7556E-002   9.6241E-001
    6.875704E+03   5.1024E-037   2.4950E-028   4.9323E-021   1.7647E-014   4.9749E-009   1.0882E-004   6.7816E-002   9.3208E-001
    7.310253E+03   3.7353E-036   1.7085E-027   3.0658E-020   9.2519E-014   2.0757E-008   3.1606E-004   1.1984E-001   8.7985E-001
    7.772265E+03   4.9105E-035   2.0787E-026   3.3159E-019   8.0606E-013   1.3334E-007   1.2485E-003   2.4179E-001   7.5696E-001
    8.263477E+03   1.2955E-033   4.7630E-025   6.2914E-018   1.1264E-011   1.2166E-006   5.9828E-003   4.8499E-001   5.0902E-001
    8.785734E+03   1.0748E-030   2.9177E-022   2.5451E-015   2.2712E-009   8.6247E-005   8.8331E-002   8.5071E-001   6.0874E-002
    9.340997E+03   4.9693E-025   5.2573E-017   1.4179E-010   2.0349E-005   4.6393E-002   9.0769E-001   4.5888E-002   4.7050E-006
    9.929841E+03   4.3533E-018   9.3559E-011   3.2348E-005   1.2837E-001   8.6612E-001   5.4717E-003   6.3424E-009   1.0128E-018
    1.041447E+04   4.8398E-014   3.0412E-007   1.4743E-002   9.7829E-001   6.9680E-003   3.1747E-009   9.8881E-021   1.4802E-037
    1.083674E+04   7.1779E-011   1.3346E-004   6.4120E-001   3.5866E-001   8.4996E-007   6.0280E-018   6.5220E-036   6.9559E-061
    1.136786E+04   6.2129E-007   6.0704E-002   9.3929E-001   1.0068E-005   2.2276E-019   2.8314E-041   1.0243E-069   1.6144E-094
    1.167027E+04   9.0149E-006   2.8066E-001   7.1933E-001   4.1571E-007   8.0775E-023   1.5172E-047   3.1231E-075   8.7576E-101
    1.185735E+04   2.6717E-005   4.8250E-001   5.1747E-001   7.1683E-008   1.3406E-024   1.1654E-050   5.3426E-077   6.8639E-104
    1.198132E+04   8.0983E-005   8.1808E-001   1.8184E-001   9.6489E-010   4.2147E-029   9.3160E-059   1.8060E-081   5.9219E-112
    1.207995E+04   1.4381E-004   9.4776E-001   5.2099E-002   1.3112E-011   1.7135E-033   2.1320E-063   8.8286E-086   1.6409E-116
    1.216774E+04   1.8235E-004   9.7580E-001   2.4013E-002   9.7787E-013   3.7441E-036   1.8800E-064   2.2940E-088   1.7299E-117
    1.225420E+04   2.3298E-004   9.8915E-001   1.0618E-002   6.7611E-014   7.2134E-039   1.5952E-065   5.4397E-091   1.8167E-118
    1.234075E+04   3.0254E-004   9.9512E-001   4.5783E-003   4.5071E-015   1.3389E-041   1.3027E-066   1.2380E-093   1.8298E-119
    1.244043E+04   3.8069E-004   9.9740E-001   2.2223E-003   4.4834E-016   6.4296E-044   1.4990E-067   6.8736E-096   2.4472E-120
    1.256653E+04   4.1866E-004   9.9809E-001   1.4957E-003   1.2018E-016   2.8463E-045   4.3279E-068   3.2733E-097   7.6332E-121
    1.291944E+04   3.2117E-004   9.9776E-001   1.9181E-003   1.9244E-016   5.4376E-045   7.0278E-068   6.3095E-097   1.2555E-120
    1.356464E+04   1.5300E-004   9.9290E-001   6.9512E-003   6.6496E-015   9.0306E-042   2.0835E-066   8.8495E-094   3.1296E-119
    1.414194E+04   1.0415E-004   9.8819E-001   1.1707E-002   2.4390E-014   1.1027E-040   7.4411E-066   1.0371E-092   1.0682E-118
    1.463678E+04   1.0141E-004   9.9142E-001   8.4830E-003   6.9051E-015   4.3421E-042   2.4607E-066   4.7390E-094   4.0973E-119
    1.515385E+04   1.0782E-004   9.9391E-001   5.9806E-003   2.0585E-015   2.3345E-043   8.5653E-067   2.9637E-095   1.6527E-119
    1.570238E+04   1.3696E-004   9.9702E-001   2.8446E-003   1.9107E-016   1.1499E-045   9.8794E-068   1.9144E-097   2.3551E-120
    1.628316E+04   2.4352E-004   9.9920E-001   5.5769E-004   1.1581E-018   8.0817E-051   7.1938E-070   1.5456E-102   2.0930E-122
    1.695591E+04   4.9462E-004   9.9938E-001   1.2459E-004   1.4428E-020   7.6398E-055   1.0369E-071   1.7404E-106   3.5575E-124
    1.773545E+04   8.3661E-004   9.9913E-001   3.2765E-005   2.3946E-022   6.2646E-056   2.2794E-073   1.8772E-107   1.0680E-125
    1.852426E+04   1.0234E-003   9.9896E-001   1.2752E-005   9.7348E-024   3.1849E-056   1.1985E-074   1.2487E-107   7.4835E-127
    1.933673E+04   1.2112E-003   9.9878E-001   7.0148E-006   1.3712E-024   2.2148E-056   2.1518E-075   1.1012E-107   1.7235E-127
    2.006825E+04   9.7208E-004   9.9902E-001   6.6109E-006   7.7737E-025   1.9508E-056   1.2272E-075   9.0607E-108   9.2797E-128
    2.082304E+04   7.5745E-004   9.9924E-001   7.0628E-006   8.1940E-025   1.8827E-056   1.3934E-075   7.8863E-108   9.6283E-128
    2.162788E+04   7.6094E-004   9.9923E-001   5.9605E-006   6.7095E-025   1.6915E-056   1.3965E-075   7.5483E-108   1.0351E-127
    2.248295E+04   5.5922E-004   9.9943E-001   7.6194E-006   1.6862E-024   1.8334E-056   3.4150E-075   6.9080E-108   2.1601E-127
    2.340334E+04   5.9623E-004   9.9940E-001   6.5478E-006   1.6622E-024   1.6638E-056   3.6936E-075   6.6189E-108   2.4738E-127
    2.427003E+04   4.8174E-004   9.9951E-001   8.5823E-006   3.5759E-024   1.8793E-056   7.3510E-075   6.3984E-108   4.2443E-127
    2.528269E+04   4.5496E-004   9.9954E-001   9.6341E-006   4.8770E-024   1.9979E-056   9.8848E-075   6.4117E-108   5.4031E-127
    2.627013E+04   5.2485E-004   9.9947E-001   8.5244E-006   4.2812E-024   1.8283E-056   9.0366E-075   6.0603E-108   5.1095E-127
    2.723040E+04   4.0361E-004   9.9958E-001   1.4443E-005   1.0186E-023   2.6212E-056   1.9523E-074   7.2780E-108   9.3083E-127
