#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8 fe9
4.2577e+02 1.4013e-44 8.0262e-35 6.7803e-26 7.7638e-18 5.4896e-11 1.2591e-05 4.4538e-02 6.5343e-01 3.0201e-01 1.1127e-06
8.5779e+02 6.8912e-32 4.8445e-24 5.1254e-17 7.3500e-11 6.5086e-06 1.8696e-02 8.2824e-01 1.5218e-01 8.8089e-04 4.0644e-11
8.7843e+02 6.8792e-32 4.8370e-24 5.1186e-17 7.3421e-11 6.5034e-06 1.8688e-02 8.2818e-01 1.5224e-01 8.8168e-04 4.0708e-11
9.1772e+02 6.8445e-32 4.8133e-24 5.0949e-17 7.3115e-11 6.4812e-06 1.8648e-02 8.2791e-01 1.5255e-01 8.8596e-04 4.1089e-11
9.7304e+02 6.6382e-32 4.6781e-24 4.9654e-17 7.1508e-11 6.3689e-06 1.8452e-02 8.2661e-01 1.5402e-01 9.0646e-04 4.2887e-11
1.0350e+03 6.1313e-32 4.3401e-24 4.6355e-17 6.7334e-11 6.0705e-06 1.7919e-02 8.2289e-01 1.5822e-01 9.6664e-04 4.8434e-11
1.1000e+03 4.8540e-32 3.4837e-24 3.7919e-17 5.6511e-11 5.2797e-06 1.6452e-02 8.1159e-01 1.7079e-01 1.1617e-03 6.8577e-11
1.1690e+03 2.5897e-32 1.9282e-24 2.2077e-17 3.5235e-11 3.6185e-06 1.3022e-02 7.7713e-01 2.0797e-01 1.8822e-03 1.7187e-10
1.2425e+03 6.7501e-33 5.3778e-25 6.7980e-18 1.2476e-11 1.5554e-06 7.5878e-03 6.8097e-01 3.0630e-01 5.1471e-03 1.2184e-09
1.3205e+03 7.7655e-34 6.7042e-26 9.6932e-19 2.1838e-12 3.6139e-07 2.8149e-03 4.8018e-01 4.9462e-01 2.2380e-02 2.4763e-08
1.4033e+03 4.8021e-35 4.5355e-27 7.6724e-20 2.2128e-13 5.0410e-08 6.7280e-04 2.4272e-01 6.6136e-01 9.5247e-02 6.4066e-07
1.4915e+03 2.6577e-36 2.7521e-28 5.4422e-21 2.0069e-14 6.1300e-09 1.3354e-04 9.5780e-02 6.3915e-01 2.6493e-01 9.1921e-06
