#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8
4.242332e+02 8.757469e-25 7.708523e-17 5.147148e-10 1.117248e-04 1.724660e-01 8.220799e-01 5.342301e-03 2.610164e-08 5.147148e-17 
8.515108e+02 4.339787e-24 2.163882e-16 8.703617e-10 1.298329e-04 1.683020e-01 8.246797e-01 6.888360e-03 5.505879e-08 2.272077e-16 
8.638199e+02 6.038138e-25 4.077299e-17 2.287645e-10 4.995469e-05 1.034887e-01 8.823773e-01 1.408380e-02 2.381018e-07 2.287645e-15 
8.922215e+02 3.292375e-25 2.550686e-17 1.637142e-10 4.070242e-05 9.442961e-02 8.900263e-01 1.550310e-02 2.803945e-07 2.858215e-15 
9.416122e+02 4.315306e-25 3.833277e-17 2.685588e-10 6.541821e-05 1.278524e-01 8.630613e-01 9.020828e-03 8.148583e-08 3.397156e-16 
1.002576e+03 7.777176e-25 6.540920e-17 4.248226e-10 9.328117e-05 1.548692e-01 8.384067e-01 6.630828e-03 4.225748e-08 1.164329e-16 
1.065938e+03 8.942540e-25 7.455870e-17 4.775362e-10 1.022648e-04 1.626326e-01 8.311833e-01 6.081829e-03 3.513946e-08 8.627186e-17 
1.133306e+03 6.258921e-25 5.358357e-17 3.557228e-10 8.127592e-05 1.436400e-01 8.487815e-01 7.497196e-03 5.493440e-08 1.789871e-16 
1.204932e+03 4.455545e-25 3.876323e-17 2.673325e-10 6.460538e-05 1.263147e-01 8.643754e-01 9.245254e-03 8.643756e-08 3.809489e-16 
1.281084e+03 8.254396e-26 7.876330e-18 6.322067e-11 2.041544e-05 6.553107e-02 9.094535e-01 2.499421e-02 7.645291e-07 1.426141e-14 
1.362050e+03 2.889126e-27 3.329189e-19 3.654454e-12 2.047260e-06 1.651200e-02 8.514304e-01 1.320196e-01 3.597055e-05 9.547501e-12 
1.448132e+03 3.217645e-28 4.124274e-20 5.421998e-13 4.195383e-07 5.937533e-03 6.844161e-01 3.093207e-01 3.253200e-04 4.479815e-10 
1.539655e+03 3.763748e-29 5.352118e-21 8.373472e-14 8.666976e-08 2.002726e-03 4.644256e-01 5.317588e-01 1.812812e-03 1.030714e-08 
1.636962e+03 3.971165e-30 6.286269e-22 1.164312e-14 1.591846e-08 5.846905e-04 2.636178e-01 7.283282e-01 7.469167e-03 1.632402e-07 
1.740419e+03 2.294304e-31 4.200602e-23 9.666456e-16 1.855689e-09 1.172457e-04 1.137032e-01 8.553046e-01 3.087190e-02 3.087192e-06 
1.850415e+03 1.368040e-32 2.961736e-24 8.567879e-17 2.274193e-10 2.379967e-05 4.636526e-02 8.585520e-01 9.502229e-02 3.666914e-05 
1.967362e+03 7.276665e-34 1.823772e-25 6.539792e-18 2.376434e-11 4.071254e-06 1.587971e-02 7.313511e-01 2.523801e-01 3.850182e-04 
2.091700e+03 3.436136e-35 9.946731e-27 4.400670e-19 2.170200e-12 5.947941e-07 4.501140e-03 4.923141e-01 5.003509e-01 2.833315e-03 
2.223897e+03 1.118590e-36 3.751242e-28 2.058659e-20 1.387504e-13 6.124002e-08 9.061724e-04 2.417958e-01 7.412083e-01 1.608962e-02 
2.364448e+03 4.335228e-38 1.688035e-29 1.140710e-21 1.021492e-14 6.882207e-09 1.837059e-04 1.051296e-01 8.372446e-01 5.744206e-02 
2.513883e+03 3.364357e-39 1.487956e-30 1.189669e-22 1.331879e-15 1.241694e-09 5.098634e-05 5.133285e-02 8.185501e-01 1.300661e-01 
2.672762e+03 7.483464e-40 3.646435e-31 3.274610e-23 4.232714e-16 4.747509e-10 2.492935e-05 3.379508e-02 7.769450e-01 1.892349e-01 
2.841682e+03 5.886769e-40 3.079436e-31 2.943420e-23 4.024771e-16 4.705135e-10 2.535158e-05 3.459025e-02 7.806183e-01 1.847661e-01 
3.021278e+03 2.682809e-39 1.428506e-30 1.347168e-22 1.707205e-15 1.695563e-09 6.886805e-05 6.282950e-02 8.361789e-01 1.009227e-01 
3.212225e+03 1.614793e-37 8.360011e-29 6.885859e-21 6.709948e-14 4.025838e-08 7.480021e-04 2.309956e-01 7.523944e-01 1.586188e-02 
3.415240e+03 9.025761e-35 3.888545e-26 2.298551e-18 1.299028e-11 3.099869e-06 1.488819e-02 7.422958e-01 2.425092e-01 3.036619e-04 
3.631085e+03 6.735235e-32 1.897644e-23 6.442525e-16 1.686788e-09 1.270948e-04 1.276762e-01 8.492366e-01 2.295869e-02 1.452504e-06 
3.860572e+03 4.750211e-29 9.238510e-21 1.816936e-13 2.047945e-07 4.064987e-03 6.297663e-01 3.656974e-01 4.711658e-04 7.529428e-10 
4.104562e+03 8.591067e-26 1.550074e-17 1.997927e-10 7.292573e-05 1.558408e-01 8.391413e-01 4.944946e-03 1.731535e-08 1.898051e-17 
4.363973e+03 1.705940e-22 1.949355e-14 1.076782e-07 7.384887e-03 9.076251e-01 8.498757e-02 2.330944e-06 9.138338e-15 2.599112e-27 
4.639779e+03 9.955808e-21 8.028887e-13 2.419383e-06 5.181304e-02 9.420612e-01 6.123344e-03 5.009982e-09 2.376520e-19 3.168701e-34 
4.933016e+03 5.600547e-20 3.944332e-12 9.130809e-06 1.157148e-01 8.825719e-01 1.704117e-03 2.811146e-10 1.765153e-21 2.033190e-37 
5.244785e+03 9.113933e-20 6.302695e-12 1.376164e-05 1.487242e-01 8.501807e-01 1.081435e-03 1.011150e-10 3.083344e-22 1.473645e-38 
5.576259e+03 9.524006e-20 6.854414e-12 1.520006e-05 1.596970e-01 8.393643e-01 9.235421e-04 6.998742e-11 1.621016e-22 5.435419e-39 
5.928682e+03 1.346825e-19 9.714383e-12 2.069705e-05 1.927665e-01 8.065761e-01 6.366342e-04 3.069023e-11 3.956773e-23 6.442450e-40 
6.303378e+03 2.441903e-19 1.747372e-11 3.472657e-05 2.610014e-01 7.386359e-01 3.279764e-04 7.303678e-12 3.500217e-24 1.686723e-41 
6.701756e+03 6.807342e-19 4.680035e-11 7.931783e-05 4.102587e-01 5.895626e-01 9.937487e-05 5.986807e-13 5.439753e-26 3.434080e-44 
7.125310e+03 2.155170e-18 1.370571e-10 1.896946e-04 6.091421e-01 3.906473e-01 2.092277e-05 2.714668e-14 3.509183e-28 2.059161e-47 
7.575635e+03 7.385228e-18 4.271880e-10 4.561468e-04 8.109288e-01 1.886127e-01 2.363995e-06 4.452841e-16 4.923498e-31 1.458946e-51 
8.054419e+03 3.711770e-17 1.880419e-09 1.336729e-03 9.524707e-01 4.619246e-02 6.213557e-08 5.968294e-19 1.516596e-35 4.537506e-58 
8.563463e+03 7.659993e-16 2.850939e-08 8.674550e-03 9.892050e-01 2.120449e-03 3.545918e-11 9.993521e-25 1.572582e-44 5.884499e-71 
9.105475e+03 5.142154e-13 9.069873e-06 3.666373e-01 6.333526e-01 1.060713e-06 8.070644e-19 4.004574e-38 3.312800e-65 1.806283e-100 
9.611971e+03 2.017333e-09 4.151950e-03 9.957642e-01 8.386000e-05 4.280963e-18 1.501271e-40 1.735843e-73 8.984164e-118 7.435972e-174 
1.001075e+04 3.809538e-05 9.831600e-01 1.680190e-02 1.730096e-14 5.140384e-42 6.720760e-84 1.863181e-142 4.474963e-219 0.000000e+00 
1.035413e+04 4.474334e-02 9.552567e-01 5.544881e-09 2.176777e-33 2.399122e-83 7.274224e-156 7.301674e-255 0.000000e+00 0.000000e+00 
1.071873e+04 9.928035e-01 7.196514e-03 1.481326e-19 3.015181e-61 2.411094e-143 3.377633e-260 0.000000e+00 0.000000e+00 0.000000e+00 
1.109526e+04 1.000000e+00 5.990291e-10 8.504854e-43 1.135922e-116 5.601941e-258 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.142152e+04 1.000000e+00 1.565114e-21 5.077658e-82 1.007168e-211 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.165575e+04 1.000000e+00 7.672956e-20 6.553459e-81 3.522013e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.180634e+04 1.000000e+00 7.707775e-20 6.608579e-81 3.579088e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.190922e+04 1.000000e+00 7.988077e-20 7.093890e-81 3.964232e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.198841e+04 1.000000e+00 8.648649e-20 8.342342e-81 5.063063e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.205647e+04 1.000000e+00 9.352052e-20 9.740821e-81 6.393089e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.212064e+04 1.000000e+00 9.852217e-20 1.081281e-80 7.463054e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.218540e+04 1.000000e+00 1.027624e-19 1.176796e-80 8.480663e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.225395e+04 1.000000e+00 1.047478e-19 1.225519e-80 8.991098e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.233084e+04 1.000000e+00 9.760638e-20 1.058511e-80 7.234043e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.244353e+04 1.000000e+00 9.399478e-20 9.817232e-81 6.475196e-215 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
