#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
440.10 5.86e-17 2.26e-09 1.57e-03 6.63e-01 3.35e-01 
999.11 4.84e-19 2.06e-11 5.82e-05 1.67e-01 8.33e-01 
1267.34 5.08e-21 2.57e-13 2.17e-06 3.14e-02 9.69e-01 
1514.05 2.34e-22 1.20e-14 2.08e-07 8.89e-03 9.91e-01 
1808.80 1.46e-23 7.97e-16 2.61e-08 2.84e-03 9.97e-01 
1919.29 1.98e-24 1.11e-16 5.63e-09 1.21e-03 9.99e-01 
2160.92 1.48e-25 1.25e-17 9.29e-10 4.11e-04 1.00e+00 
2292.92 3.63e-26 2.75e-18 2.92e-10 1.95e-04 1.00e+00 
2432.98 1.13e-26 1.12e-18 1.39e-10 1.32e-04 1.00e+00 
2581.60 5.23e-27 6.68e-19 8.87e-11 1.05e-04 1.00e+00 
2739.29 3.00e-27 4.19e-19 6.02e-11 8.60e-05 1.00e+00 
2906.62 1.92e-27 3.04e-19 4.65e-11 7.59e-05 1.00e+00 
3084.17 1.34e-27 2.46e-19 3.93e-11 7.02e-05 1.00e+00 
3272.56 9.50e-28 1.91e-19 3.30e-11 6.43e-05 1.00e+00 
3472.46 7.83e-28 1.76e-19 3.17e-11 6.35e-05 1.00e+00 
3684.57 6.84e-28 1.72e-19 3.19e-11 6.39e-05 1.00e+00 
3909.64 5.25e-28 1.53e-19 3.01e-11 6.13e-05 1.00e+00 
4148.46 5.80e-28 1.82e-19 3.51e-11 6.66e-05 1.00e+00 
4401.86 9.55e-28 2.80e-19 4.97e-11 8.03e-05 1.00e+00 
4670.75 1.56e-27 4.41e-19 7.26e-11 9.99e-05 1.00e+00 
4956.05 1.55e-27 4.92e-19 8.08e-11 1.08e-04 1.00e+00 
5258.79 1.33e-27 4.67e-19 8.11e-11 1.10e-04 1.00e+00 
5580.02 1.66e-27 5.92e-19 1.03e-10 1.28e-04 1.00e+00 
5920.87 2.06e-27 7.86e-19 1.31e-10 1.48e-04 1.00e+00 
6282.54 2.65e-27 1.03e-18 1.69e-10 1.72e-04 1.00e+00 
6666.30 4.38e-27 1.75e-18 2.58e-10 2.19e-04 1.00e+00 
7073.50 8.47e-27 3.31e-18 4.41e-10 2.97e-04 1.00e+00 
7505.58 1.49e-26 6.08e-18 7.02e-10 3.71e-04 1.00e+00 
7964.05 4.13e-26 1.70e-17 1.59e-09 5.78e-04 9.99e-01 
8450.53 2.23e-25 8.67e-17 5.68e-09 1.20e-03 9.99e-01 
8966.72 1.59e-24 5.95e-16 2.55e-08 2.81e-03 9.97e-01 
9514.44 2.66e-23 9.39e-15 2.13e-07 9.17e-03 9.91e-01 
10095.62 1.61e-21 5.02e-13 4.29e-06 4.68e-02 9.53e-01 
10712.30 2.57e-19 7.60e-11 1.89e-04 3.34e-01 6.66e-01 
11366.65 5.02e-17 1.47e-08 6.54e-03 9.23e-01 7.05e-02 
12061.10 1.33e-14 4.27e-06 1.85e-01 8.15e-01 6.47e-04 
12793.43 9.35e-13 3.52e-04 9.29e-01 7.04e-02 1.18e-07 
13528.61 2.71e-11 1.09e-02 9.89e-01 5.50e-04 1.16e-12 
14194.74 5.38e-10 2.55e-01 7.45e-01 1.88e-06 4.72e-18 
14757.77 1.75e-09 8.76e-01 1.24e-01 3.67e-09 2.02e-23 
15240.48 2.39e-09 9.92e-01 8.20e-03 5.00e-12 2.29e-28 
15646.99 3.70e-09 9.98e-01 1.69e-03 2.69e-14 1.35e-32 
15960.30 6.60e-09 1.00e+00 4.96e-05 2.62e-17 3.73e-37 
16187.41 9.36e-09 1.00e+00 7.52e-06 2.39e-19 4.09e-37 
16354.17 1.16e-08 1.00e+00 1.05e-06 2.46e-21 4.97e-37 
16484.18 1.21e-08 1.00e+00 4.69e-07 2.32e-22 6.59e-37 
16593.12 1.13e-08 1.00e+00 2.06e-07 2.57e-23 9.14e-37 
16691.99 1.14e-08 1.00e+00 6.48e-08 1.80e-24 1.22e-36 
16788.59 1.10e-08 1.00e+00 3.65e-08 4.76e-25 1.59e-36 
16888.37 1.08e-08 1.00e+00 1.20e-08 2.22e-26 2.07e-36 
16998.79 1.19e-08 1.00e+00 5.05e-09 2.29e-27 2.84e-36 
17146.37 1.35e-08 1.00e+00 1.11e-09 3.83e-29 4.17e-36 
17415.23 1.39e-08 1.00e+00 1.46e-10 4.70e-31 7.30e-36 
17888.12 1.69e-08 1.00e+00 3.62e-12 2.84e-31 1.98e-35 
18532.37 1.96e-08 1.00e+00 9.17e-14 7.81e-31 5.29e-35 
19260.76 2.33e-08 1.00e+00 2.28e-15 1.64e-30 1.06e-34 
20034.10 1.82e-08 1.00e+00 1.48e-16 1.36e-29 1.24e-34 
20838.00 1.84e-08 1.00e+00 4.18e-18 2.01e-30 8.40e-35 
21647.97 1.82e-08 1.00e+00 3.89e-20 4.43e-33 5.43e-35 
22447.94 2.06e-08 1.00e+00 1.88e-20 1.93e-30 5.25e-35 
23245.88 2.07e-08 1.00e+00 1.30e-21 1.09e-31 6.57e-35 
24052.47 2.79e-08 1.00e+00 1.60e-23 1.31e-34 9.06e-35 
24867.72 2.58e-08 1.00e+00 2.47e-24 1.85e-34 1.29e-34 
25698.86 3.27e-08 1.00e+00 1.01e-25 2.68e-34 1.87e-34 
26587.16 2.89e-08 1.00e+00 8.36e-27 4.15e-34 2.92e-34 
27637.54 2.47e-08 1.00e+00 5.05e-27 7.27e-34 5.14e-34 
28986.97 1.88e-08 1.00e+00 1.15e-26 1.59e-33 1.13e-33 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] k0 k1 k2 k3 k4 
440.10 2.30e-17 1.20e-09 1.10e-03 5.79e-01 4.20e-01 
999.11 2.14e-19 1.09e-11 3.75e-05 1.29e-01 8.71e-01 
1267.34 3.29e-21 1.92e-13 1.75e-06 2.61e-02 9.74e-01 
1514.05 1.71e-22 1.02e-14 1.86e-07 8.03e-03 9.92e-01 
1808.80 1.34e-23 8.00e-16 2.69e-08 2.86e-03 9.97e-01 
1919.29 1.77e-24 1.16e-16 5.83e-09 1.18e-03 9.99e-01 
2160.92 1.98e-25 1.55e-17 1.20e-09 5.04e-04 9.99e-01 
2292.92 3.49e-26 2.99e-18 3.15e-10 2.02e-04 1.00e+00 
2432.98 1.22e-26 1.30e-18 1.61e-10 1.45e-04 1.00e+00 
2581.60 6.46e-27 7.80e-19 1.07e-10 1.18e-04 1.00e+00 
2739.29 3.69e-27 5.48e-19 7.80e-11 1.01e-04 1.00e+00 
2906.62 2.41e-27 3.92e-19 6.01e-11 8.98e-05 1.00e+00 
3084.17 1.74e-27 2.96e-19 4.94e-11 8.16e-05 1.00e+00 
3272.56 1.17e-27 2.38e-19 4.19e-11 7.56e-05 1.00e+00 
3472.46 9.63e-28 2.17e-19 3.97e-11 7.39e-05 1.00e+00 
3684.57 8.32e-28 2.12e-19 3.98e-11 7.39e-05 1.00e+00 
3909.64 6.38e-28 1.89e-19 3.72e-11 7.05e-05 1.00e+00 
4148.46 6.85e-28 2.09e-19 4.17e-11 7.46e-05 1.00e+00 
4401.86 1.12e-27 3.32e-19 5.94e-11 9.02e-05 1.00e+00 
