#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    8.484663E+02   1.0000E-099   1.0000E-099   3.7562E-007   1.0000E+000
    8.542546E+02   1.0000E-099   1.0000E-099   3.7562E-007   1.0000E+000
    8.718573E+02   1.0000E-099   1.0000E-099   3.7562E-007   1.0000E+000
    9.081584E+02   1.0000E-099   1.0000E-099   3.7562E-007   1.0000E+000
    9.674554E+02   1.0000E-099   1.0000E-099   3.7563E-007   1.0000E+000
    1.028597E+03   1.0000E-099   1.0000E-099   3.7568E-007   1.0000E+000
    1.093605E+03   1.0000E-099   1.0000E-099   3.7590E-007   1.0000E+000
    1.162722E+03   1.0000E-099   1.0000E-099   3.7600E-007   1.0000E+000
    1.236207E+03   1.0000E-099   1.0000E-099   3.7354E-007   1.0000E+000
    1.314336E+03   1.0000E-099   1.0000E-099   3.5096E-007   1.0000E+000
    1.397402E+03   1.0000E-099   1.0000E-099   2.1607E-007   1.0000E+000
    1.485719E+03   1.0000E-099   1.0000E-099   1.4345E-007   1.0000E+000
    1.579618E+03   1.0000E-099   1.0000E-099   1.3974E-007   1.0000E+000
    1.679450E+03   1.0000E-099   1.0000E-099   1.1112E-007   1.0000E+000
    1.785593E+03   1.0000E-099   1.0000E-099   8.2235E-008   1.0000E+000
    1.898443E+03   1.0000E-099   1.0000E-099   6.5848E-008   1.0000E+000
    2.018426E+03   1.0000E-099   1.0000E-099   5.0564E-008   1.0000E+000
    2.145992E+03   1.0000E-099   1.0000E-099   3.9522E-008   1.0000E+000
    2.281620E+03   1.0000E-099   1.0000E-099   3.0420E-008   1.0000E+000
    2.425820E+03   1.0000E-099   1.0000E-099   2.3989E-008   1.0000E+000
    2.579133E+03   1.0000E-099   1.0000E-099   2.0183E-008   1.0000E+000
    2.742135E+03   1.0000E-099   1.0000E-099   1.8135E-008   1.0000E+000
    2.915440E+03   1.0000E-099   1.0000E-099   1.7670E-008   1.0000E+000
