#NTIMES: 50
#NSTAGES 2
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 115
#vel_mid[km/s] mg0 mg1
425.78 2.9442e-03 9.9706e-01
857.79 7.1310e-03 9.9287e-01
878.44 1.0743e-02 9.8926e-01
917.72 1.5152e-02 9.8485e-01
973.04 2.8560e-03 9.9714e-01
1034.98 7.3477e-03 9.9265e-01
1099.97 4.9713e-03 9.9503e-01
1169.04 4.9846e-03 9.9502e-01
1242.44 5.8052e-03 9.9419e-01
1320.45 7.5216e-03 9.9248e-01
1403.37 1.0070e-02 9.8993e-01
1491.49 1.8008e-02 9.8199e-01
1585.14 1.0038e-02 9.8996e-01
1684.67 1.2545e-02 9.8745e-01
1790.45 1.2989e-02 9.8701e-01
1902.87 5.4153e-03 9.9458e-01
2022.36 1.8059e-03 9.9819e-01
2149.34 3.8601e-03 9.9614e-01
2284.30 3.5511e-03 9.9645e-01
2427.74 2.8822e-03 9.9712e-01
2580.18 2.6306e-03 9.9737e-01
2742.19 2.4008e-03 9.9760e-01
2914.37 2.3526e-03 9.9765e-01
3097.37 2.8419e-03 9.9716e-01
3291.85 2.9985e-03 9.9700e-01
3498.55 4.9895e-03 9.9501e-01
3718.23 3.4012e-02 9.6599e-01
3951.70 1.0948e-01 8.9052e-01
4199.83 7.0646e-02 9.2935e-01
4463.54 7.6959e-02 9.2304e-01
4743.81 9.8373e-02 9.0163e-01
5041.68 1.2030e-01 8.7970e-01
5358.25 1.4245e-01 8.5755e-01
5694.70 1.7593e-01 8.2407e-01
6052.28 2.0141e-01 7.9859e-01
6432.31 2.3653e-01 7.6347e-01
6836.20 2.5928e-01 7.4072e-01
7265.45 2.8435e-01 7.1565e-01
7721.65 3.0152e-01 6.9848e-01
8206.56 3.3982e-01 6.6018e-01
8717.73 3.8247e-01 6.1753e-01
9214.74 4.1421e-01 5.8579e-01
9629.11 4.3547e-01 5.6453e-01
9954.11 4.5455e-01 5.4545e-01
10245.64 4.5793e-01 5.4207e-01
10541.49 4.9667e-01 5.0333e-01
10839.94 5.0012e-01 4.9988e-01
11119.11 5.2017e-01 4.7983e-01
11355.83 5.5165e-01 4.4835e-01
11539.81 5.5058e-01 4.4942e-01
11677.16 5.9683e-01 4.0317e-01
11784.05 6.4171e-01 3.5829e-01
11875.85 6.0065e-01 3.9935e-01
11963.37 5.7536e-01 4.2464e-01
12055.39 4.8986e-01 5.1014e-01
12170.41 4.8242e-01 5.1758e-01
12360.89 1.1895e-01 8.8105e-01
12670.46 1.8494e-02 9.8151e-01
13075.34 7.1839e-03 9.9282e-01
13530.52 5.3635e-03 9.9464e-01
14012.75 3.7077e-03 9.9629e-01
14508.81 3.5049e-03 9.9650e-01
15002.30 2.4044e-03 9.9760e-01
15475.29 2.8085e-03 9.9719e-01
15923.68 2.6567e-03 9.9734e-01
16355.64 1.9310e-03 9.9807e-01
16776.27 1.7161e-03 9.9828e-01
17183.14 1.7026e-03 9.9830e-01
17580.45 1.9206e-03 9.9808e-01
17990.34 1.6442e-03 9.9836e-01
18458.06 1.3313e-03 9.9867e-01
19084.69 1.0331e-03 9.9897e-01
19999.79 7.3822e-04 9.9926e-01
21193.46 2.9443e-04 9.9971e-01
22528.72 1.5959e-04 9.9984e-01
23943.32 1.0801e-04 9.9989e-01
25446.74 1.0474e-04 9.9990e-01
27044.57 5.3911e-05 9.9995e-01
28744.18 2.2115e-05 9.9998e-01
30520.16 1.1247e-05 9.9999e-01
32243.50 7.7975e-06 9.9999e-01
33773.01 4.9077e-06 1.0000e+00
35108.48 2.9970e-06 1.0000e+00
36326.30 2.3028e-06 1.0000e+00
37486.70 1.3198e-06 1.0000e+00
38628.25 9.2614e-07 1.0000e+00
39768.62 6.6529e-07 1.0000e+00
40915.31 4.4347e-07 1.0000e+00
42074.51 3.7432e-07 1.0000e+00
43252.44 3.1137e-07 1.0000e+00
44454.05 1.9514e-07 1.0000e+00
45683.04 1.4188e-07 1.0000e+00
46941.68 1.2969e-07 1.0000e+00
48230.81 7.8965e-08 1.0000e+00
49550.29 6.4882e-08 1.0000e+00
50899.37 4.2050e-08 1.0000e+00
52276.86 3.5166e-08 1.0000e+00
53681.16 2.8122e-08 1.0000e+00
55110.21 2.4069e-08 1.0000e+00
56561.17 1.9540e-08 1.0000e+00
58030.00 1.7138e-08 1.0000e+00
59510.42 1.7263e-08 1.0000e+00
60993.45 1.8621e-08 1.0000e+00
62466.44 1.8419e-08 1.0000e+00
63912.69 1.3478e-08 1.0000e+00
65311.62 1.1941e-08 1.0000e+00
66639.26 2.0487e-08 1.0000e+00
67870.77 1.6574e-08 1.0000e+00
68864.47 1.3251e-08 1.0000e+00
69459.55 1.2568e-08 1.0000e+00
69744.99 1.8304e-08 1.0000e+00
69888.26 1.7476e-08 1.0000e+00
69959.62 1.5766e-08 1.0000e+00
69991.15 1.5030e-08 1.0000e+00
69999.53 1.4793e-08 1.0000e+00
#TIME: 202.03
#NVEL 115
#vel_mid[km/s] mg0 mg1
425.78 9.5471e-03 9.9045e-01
857.79 9.9487e-03 9.9005e-01
878.44 9.6863e-03 9.9031e-01
917.72 6.0959e-03 9.9390e-01
973.04 8.6283e-03 9.9137e-01
1034.98 1.0183e-02 9.8982e-01
1099.97 8.0570e-03 9.9194e-01
1169.04 2.5812e-03 9.9742e-01
1242.44 3.4087e-03 9.9659e-01
1320.45 4.2039e-03 9.9580e-01
1403.37 1.2083e-02 9.8792e-01
1491.49 1.5800e-02 9.8420e-01
1585.14 1.8406e-02 9.8159e-01
1684.67 1.8477e-02 9.8152e-01
1790.45 1.7643e-02 9.8236e-01
1902.87 1.2390e-02 9.8761e-01
2022.36 4.6208e-03 9.9538e-01
2149.34 3.9504e-03 9.9605e-01
2284.30 3.6040e-03 9.9640e-01
2427.74 2.8375e-03 9.9716e-01
2580.18 2.5477e-03 9.9745e-01
2742.19 2.4098e-03 9.9759e-01
2914.37 2.4196e-03 9.9758e-01
3097.37 2.7629e-03 9.9724e-01
3291.85 2.9006e-03 9.9710e-01
3498.55 4.6754e-03 9.9532e-01
3718.23 3.6158e-02 9.6384e-01
3951.70 1.1903e-01 8.8097e-01
4199.83 7.9592e-02 9.2041e-01
4463.54 8.3518e-02 9.1648e-01
4743.81 1.0752e-01 8.9248e-01
5041.68 1.3167e-01 8.6833e-01
5358.25 1.6053e-01 8.3947e-01
5694.70 1.8563e-01 8.1437e-01
6052.28 2.1375e-01 7.8625e-01
6432.31 2.4399e-01 7.5601e-01
6836.20 2.6618e-01 7.3382e-01
7265.45 2.9969e-01 7.0031e-01
7721.65 3.2208e-01 6.7792e-01
8206.56 3.5331e-01 6.4669e-01
8717.73 3.8759e-01 6.1241e-01
9214.74 4.2027e-01 5.7973e-01
9629.11 4.6592e-01 5.3408e-01
9954.11 4.6954e-01 5.3046e-01
10245.64 4.7056e-01 5.2944e-01
10541.49 5.1679e-01 4.8321e-01
10839.94 5.1345e-01 4.8655e-01
11119.11 5.4415e-01 4.5585e-01
11355.83 5.5432e-01 4.4568e-01
11539.81 6.0375e-01 3.9625e-01
11677.16 6.4236e-01 3.5764e-01
11784.05 6.5222e-01 3.4778e-01
11875.85 6.3633e-01 3.6367e-01
11963.37 6.1360e-01 3.8640e-01
12055.39 5.3982e-01 4.6018e-01
12170.41 5.5408e-01 4.4592e-01
12360.89 1.3248e-01 8.6752e-01
12670.46 1.4247e-02 9.8575e-01
13075.34 8.2386e-03 9.9176e-01
13530.52 5.9402e-03 9.9406e-01
14012.75 4.2224e-03 9.9578e-01
14508.81 3.4296e-03 9.9657e-01
15002.30 3.6100e-03 9.9639e-01
15475.29 2.7571e-03 9.9724e-01
15923.68 2.2284e-03 9.9777e-01
16355.64 2.0278e-03 9.9797e-01
16776.27 1.9839e-03 9.9802e-01
17183.14 2.3448e-03 9.9766e-01
