#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    8.484663E+02   1.0000E-099   1.8053E-013   4.0611E-006   1.0000E+000
    8.542546E+02   1.0000E-099   1.8053E-013   4.0611E-006   1.0000E+000
    8.718573E+02   1.0000E-099   1.8053E-013   4.0612E-006   1.0000E+000
    9.081584E+02   1.0000E-099   1.8053E-013   4.0612E-006   1.0000E+000
    9.674554E+02   1.0000E-099   1.8053E-013   4.0612E-006   1.0000E+000
    1.028597E+03   1.0000E-099   1.8057E-013   4.0616E-006   1.0000E+000
    1.093605E+03   1.0000E-099   1.8052E-013   4.0612E-006   1.0000E+000
    1.162722E+03   1.0000E-099   1.8018E-013   4.0576E-006   1.0000E+000
    1.236207E+03   1.0000E-099   1.7920E-013   4.0459E-006   1.0000E+000
    1.314336E+03   1.0000E-099   1.7239E-013   3.9610E-006   1.0000E+000
    1.397402E+03   1.0000E-099   1.0018E-013   2.9954E-006   1.0000E+000
    1.485719E+03   1.0000E-099   6.3264E-014   2.3678E-006   1.0000E+000
    1.579618E+03   1.0000E-099   6.1574E-014   2.3352E-006   1.0000E+000
    1.679450E+03   1.0000E-099   4.6921E-014   2.0340E-006   1.0000E+000
    1.785593E+03   1.0000E-099   3.2436E-014   1.6873E-006   1.0000E+000
    1.898443E+03   1.0000E-099   2.3528E-014   1.4356E-006   1.0000E+000
    2.018426E+03   1.0000E-099   1.6840E-014   1.2130E-006   1.0000E+000
    2.145992E+03   1.0000E-099   1.1881E-014   1.0182E-006   1.0000E+000
    2.281620E+03   1.0000E-099   8.3652E-015   8.5385E-007   1.0000E+000
    2.425820E+03   1.0000E-099   5.9428E-015   7.1949E-007   1.0000E+000
    2.579133E+03   1.0000E-099   4.5913E-015   6.3237E-007   1.0000E+000
    2.742135E+03   1.0000E-099   3.8163E-015   5.7652E-007   1.0000E+000
    2.915440E+03   1.0000E-099   3.4693E-015   5.4970E-007   1.0000E+000
    3.099698E+03   1.0000E-099   3.4904E-015   5.5146E-007   1.0000E+000
    3.295601E+03   1.0000E-099   4.3326E-015   6.1484E-007   1.0000E+000
    3.503885E+03   1.0000E-099   6.4754E-015   7.5428E-007   1.0000E+000
    3.725332E+03   1.0000E-099   1.4276E-014   1.1238E-006   1.0000E+000
    3.960775E+03   1.0000E-099   2.6999E-014   1.5453E-006   1.0000E+000
    4.211099E+03   1.0000E-099   4.6572E-014   2.0938E-006   1.0000E+000
    4.477243E+03   1.0000E-099   5.5608E-014   2.3140E-006   1.0000E+000
    4.760207E+03   1.0000E-099   5.1463E-014   2.2319E-006   1.0000E+000
    5.061055E+03   1.0000E-099   4.0268E-014   1.9683E-006   1.0000E+000
    5.380917E+03   1.0000E-099   3.2385E-014   1.7610E-006   1.0000E+000
    5.720994E+03   1.0000E-099   2.8595E-014   1.6561E-006   1.0000E+000
    6.082565E+03   1.0000E-099   2.7671E-014   1.6311E-006   1.0000E+000
    6.466986E+03   1.0000E-099   3.0530E-014   1.7230E-006   1.0000E+000
    6.875704E+03   1.0000E-099   3.5685E-014   1.8792E-006   1.0000E+000
    7.310253E+03   1.0000E-099   4.4485E-014   2.1171E-006   1.0000E+000
    7.772265E+03   1.0000E-099   5.8625E-014   2.4629E-006   1.0000E+000
    8.263477E+03   1.0000E-099   9.0364E-014   3.1128E-006   1.0000E+000
    8.785734E+03   1.0000E-099   2.4409E-013   5.3866E-006   9.9999E-001
    9.340997E+03   1.0000E-099   4.2418E-012   2.6315E-005   9.9997E-001
    9.929841E+03   1.0000E-099   1.0428E-009   6.6290E-004   9.9934E-001
    1.041447E+04   1.0000E-099   3.5708E-007   2.6540E-002   9.7346E-001
    1.083674E+04   1.0000E-099   1.0069E-004   7.0896E-001   2.9094E-001
    1.136786E+04   1.0000E-099   3.4308E-002   9.6568E-001   7.0255E-006
    1.167027E+04   1.0000E-099   1.6619E-001   8.3381E-001   2.8764E-007
    1.185735E+04   1.0000E-099   3.1450E-001   6.8550E-001   5.2602E-008
    1.198132E+04   1.0000E-099   6.6379E-001   3.3621E-001   7.6068E-010
    1.207995E+04   1.0000E-099   8.7745E-001   1.2255E-001   9.8062E-012
    1.216774E+04   1.0000E-099   9.3749E-001   6.2505E-002   6.6709E-013
    1.225420E+04   1.0000E-099   9.6998E-001   3.0018E-002   4.0955E-014
    1.234075E+04   1.0000E-099   9.8613E-001   1.3874E-002   2.3843E-015
    1.244043E+04   1.0000E-099   9.9291E-001   7.0949E-003   2.0965E-016
    1.256653E+04   1.0000E-099   9.9508E-001   4.9182E-003   5.1970E-017
    1.291944E+04   1.0000E-099   9.9369E-001   6.3099E-003   8.2786E-017
    1.356464E+04   1.0000E-099   9.7852E-001   2.1480E-002   3.2743E-015
    1.414194E+04   1.0000E-099   9.6466E-001   3.5336E-002   1.2351E-014
    1.463678E+04   1.0000E-099   9.7336E-001   2.6642E-002   3.2091E-015
    1.515385E+04   1.0000E-099   9.8060E-001   1.9403E-002   8.9043E-016
    1.570238E+04   1.0000E-099   9.9026E-001   9.7376E-003   7.2822E-017
    1.628316E+04   1.0000E-099   9.9790E-001   2.1014E-003   3.2944E-019
    1.695591E+04   1.0000E-099   9.9950E-001   5.0180E-004   3.2854E-021
    1.773545E+04   1.0000E-099   9.9986E-001   1.4124E-004   4.3359E-023
    1.852426E+04   1.0000E-099   9.9994E-001   5.8677E-005   1.4433E-024
    1.933673E+04   1.0000E-099   9.9997E-001   3.3955E-005   2.1859E-025
    2.006825E+04   1.0000E-099   9.9997E-001   3.3507E-005   2.5139E-025
    2.082304E+04   1.0000E-099   9.9996E-001   3.7096E-005   6.5013E-025
    2.162788E+04   1.0000E-099   9.9997E-001   3.2359E-005   8.8488E-025
    2.248295E+04   1.0000E-099   9.9996E-001   4.2381E-005   2.9704E-024
    2.340334E+04   1.0000E-099   9.9996E-001   3.7575E-005   3.2895E-024
    2.427003E+04   1.0000E-099   9.9995E-001   4.9730E-005   7.5265E-024
    2.528269E+04   1.0000E-099   9.9994E-001   5.6944E-005   1.0799E-023
    2.627013E+04   1.0000E-099   9.9995E-001   5.1971E-005   1.0158E-023
    2.723040E+04   1.0000E-099   9.9991E-001   8.8574E-005   2.5777E-023
    2.827004E+04   1.0000E-099   9.9988E-001   1.1911E-004   3.9524E-023
    2.934273E+04   1.0000E-099   9.9981E-001   1.9196E-004   8.1898E-023
    3.052012E+04   1.0000E-099   9.9970E-001   2.9977E-004   1.5823E-022
    3.176086E+04   1.0000E-099   9.9959E-001   4.1491E-004   2.5831E-022
    3.295538E+04   1.0000E-099   9.9952E-001   4.7518E-004   3.1262E-022
    3.403161E+04   1.0000E-099   9.9944E-001   5.5620E-004   4.0521E-022
    3.500379E+04   1.0000E-099   9.9929E-001   7.1143E-004   6.2239E-022
    3.593430E+04   1.0000E-099   9.9908E-001   9.2476E-004   9.8161E-022
    3.686142E+04   1.0000E-099   9.9884E-001   1.1613E-003   1.4384E-021
    3.781660E+04   1.0000E-099   9.9863E-001   1.3734E-003   1.8701E-021
    3.881204E+04   1.0000E-099   9.9850E-001   1.4971E-003   2.1063E-021
    3.984228E+04   1.0000E-099   9.9846E-001   1.5448E-003   2.1795E-021
    4.090108E+04   1.0000E-099   9.9846E-001   1.5434E-003   2.1627E-021
    4.198933E+04   1.0000E-099   9.9849E-001   1.5088E-003   2.0906E-021
    4.310952E+04   1.0000E-099   9.9854E-001   1.4558E-003   1.9834E-021
    4.426353E+04   1.0000E-099   9.9861E-001   1.3938E-003   1.8573E-021
    4.545322E+04   1.0000E-099   9.9867E-001   1.3297E-003   1.7356E-021
    4.667980E+04   1.0000E-099   9.9873E-001   1.2720E-003   1.6449E-021
    4.794258E+04   1.0000E-099   9.9877E-001   1.2292E-003   1.5979E-021
    4.924062E+04   1.0000E-099   9.9879E-001   1.2059E-003   1.5948E-021
    5.057272E+04   1.0000E-099   9.9879E-001   1.2086E-003   1.6420E-021
    5.193717E+04   1.0000E-099   9.9876E-001   1.2381E-003   1.7369E-021
    5.333235E+04   1.0000E-099   9.9871E-001   1.2915E-003   1.8667E-021
    5.475676E+04   1.0000E-099   9.9866E-001   1.3356E-003   1.9735E-021
    5.620758E+04   1.0000E-099   9.9864E-001   1.3552E-003   2.0257E-021
    5.768166E+04   1.0000E-099   9.9867E-001   1.3330E-003   1.9932E-021
    5.917412E+04   1.0000E-099   9.9872E-001   1.2757E-003   1.8898E-021
    6.067730E+04   1.0000E-099   9.9882E-001   1.1839E-003   1.7224E-021
    6.217708E+04   1.0000E-099   9.9894E-001   1.0591E-003   1.5005E-021
    6.366086E+04   1.0000E-099   9.9909E-001   9.1330E-004   1.2501E-021
    6.510379E+04   1.0000E-099   9.9924E-001   7.6398E-004   1.0031E-021
    6.648389E+04   1.0000E-099   9.9937E-001   6.3273E-004   7.9352E-022
    6.776932E+04   1.0000E-099   9.9947E-001   5.2603E-004   6.2678E-022
    6.895129E+04   1.0000E-099   9.9956E-001   4.4429E-004   4.8812E-022
    6.949055E+04   1.0000E-099   9.9960E-001   4.0082E-004   3.9521E-022
    6.976176E+04   1.0000E-099   9.9962E-001   3.7608E-004   3.2965E-022
    6.989776E+04   1.0000E-099   9.9964E-001   3.5947E-004   2.7341E-022
    6.996586E+04   1.0000E-099   9.9965E-001   3.4874E-004   2.3109E-022
    6.999823E+04   1.0000E-099   9.9966E-001   3.4156E-004   2.0133E-022
    6.999993E+04   1.0000E-099   9.9966E-001   3.4073E-004   1.9799E-022
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    8.484664E+02   1.0000E-099   1.5105E-013   3.7362E-006   1.0000E+000
    8.543246E+02   1.0000E-099   1.5105E-013   3.7362E-006   1.0000E+000
    8.721432E+02   1.0000E-099   1.5105E-013   3.7363E-006   1.0000E+000
    9.089031E+02   1.0000E-099   1.5105E-013   3.7363E-006   1.0000E+000
    9.682894E+02   1.0000E-099   1.5106E-013   3.7364E-006   1.0000E+000
    1.029084E+03   1.0000E-099   1.5111E-013   3.7370E-006   1.0000E+000
    1.093701E+03   1.0000E-099   1.5104E-013   3.7363E-006   1.0000E+000
    1.162375E+03   1.0000E-099   1.5044E-013   3.7290E-006   1.0000E+000
    1.235362E+03   1.0000E-099   1.4799E-013   3.6971E-006   1.0000E+000
