#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] mn0 mn1 mn2 mn3 mn4 mn5 mn6 mn7 mn8 mn9
4.2577e+02 2.8026e-45 3.1789e-35 5.8224e-26 5.1628e-18 3.7583e-11 8.5511e-06 1.3796e-02 9.7843e-01 7.7697e-03 4.3945e-08
8.5779e+02 2.2159e-32 3.8594e-24 8.8529e-17 9.8312e-11 8.9628e-06 2.5540e-02 5.1606e-01 4.5835e-01 4.5584e-05 3.2289e-12
8.7843e+02 2.2118e-32 3.8530e-24 8.8404e-17 9.8196e-11 8.9547e-06 2.5525e-02 5.1596e-01 4.5846e-01 4.5623e-05 3.2338e-12
9.1772e+02 2.1995e-32 3.8320e-24 8.7955e-17 9.7735e-11 8.9190e-06 2.5455e-02 5.1546e-01 4.5903e-01 4.5849e-05 3.2636e-12
9.7304e+02 2.1276e-32 3.7144e-24 8.5525e-17 9.5340e-11 8.7397e-06 2.5112e-02 5.1307e-01 4.6177e-01 4.6908e-05 3.4027e-12
1.0350e+03 1.9509e-32 3.4203e-24 7.9342e-17 8.9127e-11 8.2647e-06 2.4183e-02 5.0635e-01 4.6941e-01 5.0041e-05 3.8324e-12
1.1000e+03 1.5115e-32 2.6851e-24 6.3699e-17 7.3215e-11 7.0225e-06 2.1660e-02 4.8683e-01 4.9144e-01 6.0147e-05 5.3798e-12
1.1690e+03 7.5882e-33 1.3962e-24 3.5162e-17 4.2974e-11 4.5077e-06 1.5995e-02 4.3417e-01 5.4974e-01 9.7158e-05 1.3133e-11
1.2425e+03 1.7209e-33 3.3755e-25 9.5816e-18 1.3254e-11 1.6682e-06 7.9577e-03 3.2385e-01 6.6793e-01 2.6283e-04 8.7453e-11
1.3205e+03 1.6325e-34 3.4483e-26 1.1591e-18 1.9173e-12 3.1393e-07 2.3598e-03 1.8212e-01 8.1435e-01 1.1657e-03 1.6635e-09
1.4033e+03 9.3674e-36 2.1486e-27 8.8081e-20 1.8091e-13 3.9745e-08 5.0470e-04 8.2591e-02 9.1099e-01 5.9151e-03 4.6350e-08
1.4915e+03 6.0665e-37 1.5152e-28 7.5428e-21 1.9277e-14 5.5363e-09 1.1347e-04 3.7232e-02 9.3849e-01 2.4167e-02 8.9060e-07
