#NTIMES:     67
#NSTAGES:     2
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.484663E+02    5.4733E-06    9.9999E-01
    8.542546E+02    5.4733E-06    9.9999E-01
    8.718573E+02    5.4733E-06    9.9999E-01
    9.081584E+02    5.4733E-06    9.9999E-01
    9.674554E+02    5.4734E-06    9.9999E-01
    1.028597E+03    5.4736E-06    9.9999E-01
    1.093605E+03    5.4720E-06    9.9999E-01
    1.162722E+03    5.4671E-06    9.9999E-01
    1.236207E+03    5.4641E-06    9.9999E-01
    1.314336E+03    5.4648E-06    9.9999E-01
    1.397402E+03    4.8854E-06    1.0000E+00
    1.485719E+03    4.4167E-06    1.0000E+00
    1.579618E+03    4.3919E-06    1.0000E+00
    1.679450E+03    4.1178E-06    1.0000E+00
    1.785593E+03    3.7561E-06    1.0000E+00
    1.898443E+03    3.4428E-06    1.0000E+00
    2.018426E+03    3.1570E-06    1.0000E+00
    2.145992E+03    2.8696E-06    1.0000E+00
    2.281620E+03    2.6081E-06    1.0000E+00
    2.425820E+03    2.3707E-06    1.0000E+00
    2.579133E+03    2.2072E-06    1.0000E+00
    2.742135E+03    2.1009E-06    1.0000E+00
    2.915440E+03    2.0572E-06    1.0000E+00
    3.099698E+03    2.0788E-06    1.0000E+00
    3.295601E+03    2.2349E-06    1.0000E+00
    3.503885E+03    2.4797E-06    1.0000E+00
    3.725332E+03    3.0879E-06    1.0000E+00
    3.960775E+03    3.7654E-06    1.0000E+00
    4.211099E+03    3.5869E-06    1.0000E+00
    4.477243E+03    3.5574E-06    1.0000E+00
    4.760207E+03    3.4287E-06    1.0000E+00
    5.061055E+03    3.2368E-06    1.0000E+00
    5.380917E+03    3.0705E-06    1.0000E+00
    5.720994E+03    2.9436E-06    1.0000E+00
    6.082565E+03    2.8953E-06    1.0000E+00
    6.466986E+03    2.8950E-06    1.0000E+00
    6.875704E+03    2.9012E-06    1.0000E+00
    7.310253E+03    2.9688E-06    1.0000E+00
    7.772265E+03    3.0342E-06    1.0000E+00
    8.263477E+03    3.1996E-06    1.0000E+00
    8.785734E+03    3.5256E-06    1.0000E+00
    9.340997E+03    5.0091E-06    9.9999E-01
    9.929841E+03    8.3687E-06    9.9999E-01
    1.041447E+04    1.1029E-05    9.9999E-01
    1.083674E+04    1.4327E-05    9.9999E-01
    1.136786E+04    2.9253E-05    9.9997E-01
    1.167027E+04    4.7722E-05    9.9995E-01
    1.185735E+04    6.0332E-05    9.9994E-01
    1.198132E+04    5.8744E-05    9.9994E-01
    1.207995E+04    5.1986E-05    9.9995E-01
    1.216774E+04    4.6467E-05    9.9995E-01
    1.225420E+04    4.2327E-05    9.9996E-01
    1.234075E+04    3.9555E-05    9.9996E-01
    1.244043E+04    3.7930E-05    9.9996E-01
    1.256653E+04    3.5780E-05    9.9996E-01
    1.291944E+04    2.8702E-05    9.9997E-01
    1.356464E+04    2.0713E-05    9.9998E-01
    1.414194E+04    1.6539E-05    9.9998E-01
    1.463678E+04    1.3545E-05    9.9999E-01
    1.515385E+04    1.2228E-05    9.9999E-01
    1.570238E+04    1.1428E-05    9.9999E-01
    1.628316E+04    1.0817E-05    9.9999E-01
    1.695591E+04    1.4060E-05    9.9999E-01
    1.773545E+04    1.6001E-05    9.9998E-01
    1.852426E+04    1.4382E-05    9.9999E-01
    1.933673E+04    1.5301E-05    9.9998E-01
    2.006825E+04    1.3564E-05    9.9999E-01
    2.082304E+04    1.3928E-05    9.9999E-01
    2.162788E+04    1.7864E-05    9.9998E-01
    2.248295E+04    1.8228E-05    9.9998E-01
    2.340334E+04    2.2957E-05    9.9998E-01
    2.427003E+04    2.1765E-05    9.9998E-01
    2.528269E+04    2.3071E-05    9.9998E-01
    2.627013E+04    2.7971E-05    9.9997E-01
    2.723040E+04    2.5186E-05    9.9997E-01
    2.827004E+04    2.5772E-05    9.9997E-01
    2.934273E+04    2.3768E-05    9.9998E-01
    3.052012E+04    2.2094E-05    9.9998E-01
    3.176086E+04    2.1367E-05    9.9998E-01
    3.295538E+04    2.2484E-05    9.9998E-01
    3.403161E+04    2.2862E-05    9.9998E-01
    3.500379E+04    2.1436E-05    9.9998E-01
    3.593430E+04    1.9058E-05    9.9998E-01
    3.686142E+04    1.6436E-05    9.9998E-01
    3.781660E+04    1.3982E-05    9.9999E-01
