#NTIMES: 50
#NSTAGES: 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2
425.78 1.4170e-01 6.2303e-01 2.3527e-01
857.79 1.6938e-01 6.3452e-01 1.9611e-01
878.44 1.8467e-01 6.4607e-01 1.6927e-01
917.72 1.9439e-01 6.3814e-01 1.6747e-01
973.04 1.4314e-01 6.2505e-01 2.3180e-01
1034.98 1.6710e-01 6.3609e-01 1.9682e-01
1099.97 1.9074e-01 6.4052e-01 1.6874e-01
1169.04 1.9370e-01 6.4041e-01 1.6589e-01
1242.44 1.9139e-01 6.3971e-01 1.6890e-01
1320.45 2.0192e-01 6.3663e-01 1.6145e-01
1403.37 1.9172e-01 6.3371e-01 1.7457e-01
1491.49 1.9950e-01 6.3079e-01 1.6970e-01
1585.14 1.9653e-01 6.2868e-01 1.7479e-01
1684.67 2.0291e-01 6.3067e-01 1.6642e-01
1790.45 1.9708e-01 6.3118e-01 1.7174e-01
1902.87 1.8790e-01 6.2949e-01 1.8261e-01
2022.36 1.3469e-01 6.1816e-01 2.4715e-01
2149.34 1.8985e-01 6.3911e-01 1.7104e-01
2284.30 1.7609e-01 6.4006e-01 1.8385e-01
2427.74 1.6019e-01 6.4110e-01 1.9871e-01
2580.18 1.4658e-01 6.3936e-01 2.1406e-01
2742.19 1.3254e-01 6.4039e-01 2.2706e-01
2914.37 1.2042e-01 6.4183e-01 2.3776e-01
3097.37 1.1068e-01 6.4817e-01 2.4115e-01
3291.85 9.3487e-02 6.6034e-01 2.4618e-01
3498.55 9.0082e-02 6.8320e-01 2.2672e-01
3718.23 1.2160e-01 7.0462e-01 1.7378e-01
3951.70 1.4357e-01 7.0988e-01 1.4655e-01
4199.83 1.0567e-01 7.0880e-01 1.8553e-01
4463.54 9.5881e-02 6.9410e-01 2.1002e-01
4743.81 1.0776e-01 6.7939e-01 2.1285e-01
5041.68 1.1558e-01 6.7617e-01 2.0826e-01
5358.25 1.2343e-01 6.7067e-01 2.0591e-01
5694.70 1.2307e-01 6.7053e-01 2.0639e-01
6052.28 1.3187e-01 6.6705e-01 2.0109e-01
6432.31 1.3711e-01 6.6761e-01 1.9527e-01
6836.20 1.3234e-01 6.6825e-01 1.9941e-01
7265.45 1.3720e-01 6.6724e-01 1.9556e-01
7721.65 1.4699e-01 6.6591e-01 1.8711e-01
8206.56 1.4890e-01 6.6767e-01 1.8343e-01
8717.73 1.6280e-01 6.6914e-01 1.6806e-01
9214.74 1.6395e-01 6.8091e-01 1.5514e-01
9629.11 1.6777e-01 6.8795e-01 1.4428e-01
9954.11 1.7680e-01 6.9105e-01 1.3215e-01
10245.64 1.5251e-01 7.1341e-01 1.3408e-01
10541.49 1.3356e-01 7.3338e-01 1.3305e-01
10839.94 1.4510e-01 7.4507e-01 1.0984e-01
11119.11 1.6178e-01 7.4077e-01 9.7450e-02
11355.83 2.1451e-01 7.0977e-01 7.5716e-02
11539.81 2.7625e-01 6.6543e-01 5.8320e-02
11677.16 3.3131e-01 6.2108e-01 4.7614e-02
11784.05 3.5089e-01 6.0814e-01 4.0977e-02
11875.85 3.7722e-01 5.8321e-01 3.9571e-02
11963.37 3.4850e-01 6.0874e-01 4.2764e-02
12055.39 3.0295e-01 6.4498e-01 5.2073e-02
12170.41 2.0773e-01 7.2131e-01 7.0956e-02
12360.89 1.5387e-01 7.6794e-01 7.8190e-02
12670.46 8.9879e-02 8.1388e-01 9.6244e-02
13075.34 4.9266e-02 8.3059e-01 1.2014e-01
13530.52 4.2009e-02 8.1312e-01 1.4487e-01
14012.75 1.8900e-02 8.1752e-01 1.6357e-01
14508.81 1.6237e-02 7.9150e-01 1.9226e-01
15002.30 1.8493e-02 7.7654e-01 2.0496e-01
15475.29 2.4054e-02 7.6968e-01 2.0626e-01
15923.68 3.2976e-02 7.3860e-01 2.2843e-01
16355.64 3.8354e-02 7.2069e-01 2.4095e-01
16776.27 3.6844e-02 7.2444e-01 2.3871e-01
17183.14 5.8640e-02 7.0298e-01 2.3838e-01
17580.45 3.3275e-02 7.4318e-01 2.2354e-01
17990.34 1.4606e-02 7.2265e-01 2.6274e-01
18458.06 5.3780e-02 6.7921e-01 2.6701e-01
19084.69 1.1184e-02 6.7371e-01 3.1510e-01
19999.79 5.2222e-03 5.6125e-01 4.3353e-01
21193.46 7.0557e-03 4.2431e-01 5.6864e-01
22528.72 1.7524e-03 3.1307e-01 6.8518e-01
23943.32 2.2518e-03 2.4390e-01 7.5385e-01
25446.74 5.3974e-04 1.1858e-01 8.8088e-01
27044.57 2.0429e-04 1.4594e-01 8.5386e-01
28744.18 7.2964e-05 5.9499e-02 9.4043e-01
30520.16 9.4217e-05 3.4929e-02 9.6498e-01
32243.50 4.5520e-05 2.5831e-02 9.7412e-01
33773.01 3.1255e-05 2.0742e-02 9.7923e-01
35108.48 1.7949e-05 1.5037e-02 9.8494e-01
36326.30 7.6826e-06 1.0375e-02 9.8962e-01
37486.70 3.6975e-06 7.2046e-03 9.9279e-01
38628.25 5.3361e-07 5.4830e-03 9.9452e-01
39768.62 1.1259e-07 4.0385e-03 9.9596e-01
40915.31 6.2098e-08 3.0109e-03 9.9699e-01
42074.51 8.8688e-08 2.2547e-03 9.9775e-01
43252.44 2.2823e-07 1.6922e-03 9.9831e-01
44454.05 1.3342e-07 1.2730e-03 9.9873e-01
45683.04 7.6290e-08 9.5703e-04 9.9904e-01
46941.68 4.3361e-08 7.1909e-04 9.9928e-01
48230.81 2.4464e-08 5.4005e-04 9.9946e-01
49550.29 1.3780e-08 4.0593e-04 9.9959e-01
50899.37 7.7573e-09 3.0569e-04 9.9969e-01
52276.86 4.4051e-09 2.3055e-04 9.9977e-01
53681.16 2.5062e-09 1.7433e-04 9.9983e-01
55110.21 1.4391e-09 1.3208e-04 9.9987e-01
56561.17 8.2916e-10 1.0039e-04 9.9990e-01
58030.00 4.8182e-10 7.6758e-05 9.9992e-01
59510.42 2.8294e-10 5.8881e-05 9.9994e-01
60993.45 1.6772e-10 4.5530e-05 9.9995e-01
62466.44 1.0186e-10 3.5447e-05 9.9996e-01
63912.69 6.1779e-11 2.7910e-05 9.9997e-01
65311.62 3.9949e-11 2.2255e-05 9.9998e-01
66639.26 2.6407e-11 1.8074e-05 9.9998e-01
67870.77 1.7943e-11 1.4944e-05 9.9999e-01
68864.47 1.2546e-11 1.2525e-05 9.9999e-01
69459.55 1.0766e-11 1.1684e-05 9.9999e-01
69744.99 1.0135e-11 1.1281e-05 9.9999e-01
69888.26 9.7053e-12 1.1083e-05 9.9999e-01
69959.62 9.6045e-12 1.0984e-05 9.9999e-01
69991.15 9.5136e-12 1.0937e-05 9.9999e-01
69999.53 9.4158e-12 1.0947e-05 9.9999e-01
#TIME: 202.03
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2
425.78 1.8106e-01 6.3107e-01 1.8787e-01
857.79 1.6710e-01 6.6028e-01 1.7262e-01
878.44 1.4813e-01 6.2902e-01 2.2286e-01
917.72 1.4751e-01 6.3018e-01 2.2231e-01
973.04 1.6988e-01 6.3347e-01 1.9665e-01
1034.98 1.7712e-01 6.3685e-01 1.8603e-01
1099.97 1.9826e-01 6.3702e-01 1.6472e-01
1169.04 1.3576e-01 6.2508e-01 2.3915e-01
1242.44 1.4040e-01 6.2568e-01 2.3392e-01
1320.45 1.5255e-01 6.2637e-01 2.2108e-01
1403.37 1.9788e-01 6.3205e-01 1.7006e-01
1491.49 2.0389e-01 6.3139e-01 1.6472e-01
1585.14 2.0392e-01 6.3029e-01 1.6579e-01
1684.67 2.0760e-01 6.3042e-01 1.6198e-01
1790.45 2.0385e-01 6.3166e-01 1.6449e-01
1902.87 1.9183e-01 6.3111e-01 1.7706e-01
2022.36 1.8140e-01 6.2826e-01 1.9033e-01
2149.34 1.9281e-01 6.3813e-01 1.6906e-01
2284.30 1.7718e-01 6.4143e-01 1.8139e-01
2427.74 1.6191e-01 6.4138e-01 1.9671e-01
2580.18 1.4675e-01 6.4016e-01 2.1309e-01
2742.19 1.3320e-01 6.3999e-01 2.2681e-01
2914.37 1.2098e-01 6.4110e-01 2.3792e-01
3097.37 1.1113e-01 6.4918e-01 2.3968e-01
3291.85 9.2841e-02 6.6392e-01 2.4324e-01
3498.55 8.8398e-02 6.8479e-01 2.2682e-01
3718.23 1.2118e-01 7.0490e-01 1.7392e-01
3951.70 1.4647e-01 7.0685e-01 1.4668e-01
4199.83 1.0326e-01 7.1095e-01 1.8579e-01
4463.54 9.6127e-02 6.9473e-01 2.0914e-01
4743.81 1.0242e-01 6.8290e-01 2.1468e-01
5041.68 1.1621e-01 6.7468e-01 2.0911e-01
5358.25 1.2860e-01 6.6629e-01 2.0511e-01
5694.70 1.2748e-01 6.6880e-01 2.0372e-01
6052.28 1.3444e-01 6.6856e-01 1.9700e-01
6432.31 1.3599e-01 6.6798e-01 1.9603e-01
6836.20 1.3838e-01 6.6536e-01 1.9625e-01
7265.45 1.4753e-01 6.6578e-01 1.8669e-01
7721.65 1.5033e-01 6.6743e-01 1.8225e-01
8206.56 1.5766e-01 6.6667e-01 1.7568e-01
8717.73 1.6199e-01 6.6916e-01 1.6884e-01
9214.74 1.6207e-01 6.8127e-01 1.5666e-01
9629.11 1.7064e-01 6.9108e-01 1.3828e-01
9954.11 1.7049e-01 6.9301e-01 1.3650e-01
10245.64 1.4598e-01 7.1679e-01 1.3724e-01
10541.49 1.3262e-01 7.4100e-01 1.2639e-01
10839.94 1.4707e-01 7.4273e-01 1.1019e-01
11119.11 1.6940e-01 7.3820e-01 9.2400e-02
11355.83 2.2034e-01 7.0491e-01 7.4754e-02
11539.81 2.7600e-01 6.6969e-01 5.4309e-02
11677.16 3.3359e-01 6.2183e-01 4.4584e-02
11784.05 3.6457e-01 5.9568e-01 3.9752e-02
11875.85 3.6942e-01 5.8953e-01 4.1057e-02
11963.37 3.2965e-01 6.2500e-01 4.5342e-02
12055.39 2.9047e-01 6.5650e-01 5.3031e-02
12170.41 1.9877e-01 7.3385e-01 6.7377e-02
12360.89 1.4436e-01 7.7906e-01 7.6574e-02
12670.46 8.6876e-02 8.1520e-01 9.7923e-02
13075.34 6.0997e-02 8.2101e-01 1.1799e-01
13530.52 3.4474e-02 8.2895e-01 1.3658e-01
14012.75 2.2650e-02 8.1421e-01 1.6314e-01
14508.81 1.7024e-02 8.0469e-01 1.7829e-01
15002.30 2.3464e-02 7.7599e-01 2.0055e-01
15475.29 3.2878e-02 7.6501e-01 2.0211e-01
15923.68 4.4068e-02 7.3651e-01 2.1942e-01
16355.64 2.5550e-02 7.3124e-01 2.4321e-01
16776.27 3.4099e-02 7.3764e-01 2.2826e-01
17183.14 4.0191e-02 7.3641e-01 2.2340e-01
17580.45 2.7078e-02 7.4793e-01 2.2499e-01
17990.34 2.9594e-02 7.0843e-01 2.6198e-01
18458.06 5.2476e-02 6.7891e-01 2.6861e-01
19084.69 1.8607e-02 6.6148e-01 3.1992e-01
19999.79 6.0977e-03 5.8360e-01 4.1030e-01
21193.46 1.7158e-02 4.1228e-01 5.7056e-01
22528.72 8.3068e-03 3.0808e-01 6.8362e-01
23943.32 3.3014e-03 2.2807e-01 7.6863e-01
25446.74 5.2529e-04 1.7974e-01 8.1973e-01
27044.57 5.9437e-05 1.3293e-01 8.6701e-01
28744.18 3.9523e-05 7.6914e-02 9.2305e-01
30520.16 1.2945e-05 4.1043e-02 9.5894e-01
32243.50 8.5592e-06 2.6485e-02 9.7351e-01
33773.01 3.1065e-05 2.1107e-02 9.7886e-01
35108.48 1.6434e-05 1.5352e-02 9.8463e-01
36326.30 7.9710e-06 1.0622e-02 9.8937e-01
37486.70 4.0597e-06 7.3837e-03 9.9261e-01
38628.25 2.2348e-06 5.3386e-03 9.9466e-01
39768.62 1.2310e-06 3.9574e-03 9.9604e-01
40915.31 7.5441e-07 3.0985e-03 9.9690e-01
42074.51 5.3844e-08 2.3246e-03 9.9768e-01
43252.44 2.0793e-08 1.7461e-03 9.9825e-01
44454.05 1.2141e-08 1.3136e-03 9.9869e-01
45683.04 8.1305e-08 9.8664e-04 9.9901e-01
46941.68 4.5966e-08 7.4129e-04 9.9926e-01
48230.81 2.5962e-08 5.5697e-04 9.9944e-01
49550.29 1.4655e-08 4.1897e-04 9.9958e-01
50899.37 8.2482e-09 3.1530e-04 9.9968e-01
52276.86 4.6730e-09 2.3775e-04 9.9976e-01
53681.16 2.6517e-09 1.7953e-04 9.9982e-01
55110.21 1.5220e-09 1.3605e-04 9.9986e-01
56561.17 8.7967e-10 1.0357e-04 9.9990e-01
58030.00 5.1070e-10 7.9119e-05 9.9992e-01
59510.42 2.9966e-10 6.0659e-05 9.9994e-01
60993.45 1.7717e-10 4.6856e-05 9.9995e-01
62466.44 1.0736e-10 3.6478e-05 9.9996e-01
63912.69 6.5096e-11 2.8729e-05 9.9997e-01
65311.62 4.2051e-11 2.2884e-05 9.9998e-01
66639.26 2.7692e-11 1.8544e-05 9.9998e-01
67870.77 1.8766e-11 1.5310e-05 9.9998e-01
68864.47 1.3144e-11 1.2845e-05 9.9999e-01
69459.55 1.1275e-11 1.1992e-05 9.9999e-01
69744.99 1.0616e-11 1.1576e-05 9.9999e-01
69888.26 1.0154e-11 1.1365e-05 9.9999e-01
69959.62 1.0046e-11 1.1265e-05 9.9999e-01
69991.15 9.9630e-12 1.1219e-05 9.9999e-01
69999.53 9.8522e-12 1.1219e-05 9.9999e-01
#TIME: 204.93
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2
425.78 1.8482e-01 6.3377e-01 1.8142e-01
857.79 1.9781e-01 6.3072e-01 1.7146e-01
878.44 1.8153e-01 6.3066e-01 1.8780e-01
917.72 1.7748e-01 6.3810e-01 1.8442e-01
