#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ne0 ne1 ne2 ne3 ne4 ne5 ne6
4.2577e+02 2.2202e-29 7.3050e-21 7.9940e-13 1.5906e-06 2.5739e-02 8.7178e-01 1.0248e-01
8.5779e+02 2.4524e-20 1.0106e-13 1.3850e-07 3.4513e-03 6.9942e-01 2.9669e-01 4.3680e-04
8.7843e+02 2.4492e-20 1.0095e-13 1.3838e-07 3.4495e-03 6.9933e-01 2.9678e-01 4.3716e-04
9.1772e+02 2.4388e-20 1.0054e-13 1.3788e-07 3.4409e-03 6.9882e-01 2.9730e-01 4.3917e-04
9.7304e+02 2.3799e-20 9.8382e-14 1.3532e-07 3.3989e-03 6.9641e-01 2.9974e-01 4.4870e-04
1.0350e+03 2.2308e-20 9.2790e-14 1.2854e-07 3.2846e-03 6.8958e-01 3.0665e-01 4.7664e-04
1.1000e+03 1.8447e-20 7.8189e-14 1.1065e-07 2.9722e-03 6.6945e-01 3.2701e-01 5.6617e-04
1.1690e+03 1.1017e-20 4.9125e-14 7.3533e-08 2.2558e-03 6.1263e-01 3.8423e-01 8.8632e-04
1.2425e+03 3.5431e-21 1.7501e-14 2.9152e-08 1.1837e-03 4.7992e-01 5.1667e-01 2.2187e-03
1.3205e+03 5.3736e-22 3.0782e-15 5.8667e-09 3.6665e-04 2.7925e-01 7.1212e-01 8.2634e-03
1.4033e+03 4.8904e-23 3.3740e-16 7.3846e-10 7.6148e-05 1.2104e-01 8.4749e-01 3.1394e-02
1.4915e+03 4.5858e-24 3.8386e-17 9.5060e-11 1.5560e-05 4.8632e-02 8.5957e-01 9.1782e-02
1.5852e+03 4.7831e-25 4.8710e-18 1.3579e-11 3.3705e-06 1.9240e-02 7.7172e-01 2.0904e-01
1.6847e+03 4.2191e-26 5.3183e-19 1.6806e-12 6.3282e-07 6.5713e-03 5.9255e-01 4.0088e-01
1.7904e+03 2.7704e-27 4.4458e-20 1.6251e-13 9.4245e-08 1.8041e-03 3.6969e-01 6.2851e-01
1.9028e+03 1.4087e-28 2.9587e-21 1.2833e-14 1.1591e-08 4.1113e-04 1.9101e-01 8.0858e-01
2.0223e+03 6.6146e-30 1.8178e-22 9.3334e-16 1.2994e-09 8.4463e-05 8.7905e-02 9.1201e-01
2.1493e+03 3.1152e-31 1.1198e-23 6.8165e-17 1.4448e-10 1.6943e-05 3.8739e-02 9.6124e-01
2.2843e+03 1.9520e-32 8.9223e-25 6.3188e-18 1.9445e-11 3.8700e-06 1.8020e-02 9.8198e-01
2.4277e+03 2.0482e-33 1.1445e-25 9.2530e-19 3.8508e-12 1.1732e-06 9.6778e-03 9.9032e-01
2.5802e+03 4.4200e-34 2.8589e-26 2.5663e-19 1.3148e-12 5.3304e-07 6.4178e-03 9.9358e-01
2.7422e+03 2.4361e-34 1.6978e-26 1.6268e-19 9.1053e-13 4.1041e-07 5.6110e-03 9.9439e-01
2.9144e+03 4.1870e-34 2.8772e-26 2.7978e-19 1.4797e-12 5.9697e-07 6.8476e-03 9.9315e-01
3.0973e+03 2.8300e-33 1.7342e-25 1.6275e-18 6.8309e-12 1.8930e-06 1.2576e-02 9.8742e-01
3.2918e+03 9.9264e-32 4.9544e-24 4.4214e-17 1.1974e-10 1.6330e-05 3.8927e-02 9.6106e-01
3.4986e+03 2.2301e-29 7.5144e-22 5.5526e-15 7.2465e-09 3.3415e-04 1.7851e-01 8.2115e-01
3.7182e+03 1.0448e-26 1.9734e-19 9.8416e-13 4.9456e-07 6.1731e-03 5.9232e-01 4.0151e-01
3.9517e+03 3.6861e-24 4.1037e-17 1.4361e-10 2.4925e-05 6.8899e-02 8.7154e-01 5.9538e-02
4.1999e+03 3.0947e-21 2.5484e-14 6.7561e-08 2.5922e-03 6.8470e-01 3.1227e-01 4.4039e-04
4.4636e+03 3.7003e-19 2.4787e-12 3.7192e-06 3.2727e-02 9.4691e-01 2.0356e-02 7.9171e-07
4.7438e+03 3.3452e-18 2.0380e-11 2.1278e-05 9.0685e-02 9.0471e-01 4.5793e-03 3.2388e-08
5.0416e+03 5.6165e-18 3.4192e-11 3.2792e-05 1.1650e-01 8.8043e-01 3.0344e-03 1.3572e-08
5.3582e+03 4.5457e-18 2.9211e-11 2.9578e-05 1.1097e-01 8.8578e-01 3.2253e-03 1.5243e-08
5.6947e+03 4.2522e-18 2.8795e-11 3.0029e-05 1.1311e-01 8.8380e-01 3.0622e-03 1.3502e-08
6.0522e+03 5.9894e-18 4.1366e-11 4.0961e-05 1.3564e-01 8.6209e-01 2.2289e-03 6.9037e-09
6.4323e+03 1.4177e-17 9.8132e-11 8.3276e-05 2.0177e-01 7.9708e-01 1.0694e-03 1.5120e-09
6.8362e+03 5.1110e-17 3.5088e-10 2.3047e-04 3.4396e-01 6.5548e-01 3.2433e-04 1.3923e-10
7.2654e+03 2.1681e-16 1.4470e-09 6.7896e-04 5.5887e-01 4.4038e-01 6.5842e-05 6.7650e-12
7.7216e+03 1.0503e-15 6.7187e-09 2.0305e-03 7.9130e-01 2.0666e-01 6.9735e-06 1.2056e-13
8.2065e+03 8.2548e-15 4.8924e-08 7.4615e-03 9.4532e-01 4.7216e-02 1.7345e-07 2.0886e-16
8.7177e+03 3.2261e-13 1.5755e-06 6.2794e-02 9.3520e-01 2.0039e-03 1.1105e-10 8.4055e-22
9.2147e+03 9.1717e-11 2.3511e-04 7.6450e-01 2.3526e-01 1.7050e-06 5.2593e-17 4.3112e-32
