#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3
425.78 6.1393e-01 2.2219e-01 1.2158e-01 4.2299e-02
857.79 6.2483e-01 2.2801e-01 1.1002e-01 3.7143e-02
878.44 6.1819e-01 2.4304e-01 1.0414e-01 3.4628e-02
917.72 6.2256e-01 2.3663e-01 1.0553e-01 3.5285e-02
973.04 6.2130e-01 2.1033e-01 1.1388e-01 5.4492e-02
1034.98 6.4153e-01 2.1256e-01 1.0939e-01 3.6518e-02
1099.97 6.0100e-01 2.5427e-01 1.0793e-01 3.6796e-02
1169.04 5.9699e-01 2.5938e-01 1.0711e-01 3.6521e-02
1242.44 5.9996e-01 2.5697e-01 1.0679e-01 3.6280e-02
1320.45 6.1537e-01 2.4726e-01 1.0307e-01 3.4296e-02
1403.37 6.6042e-01 2.0258e-01 1.0347e-01 3.3521e-02
1491.49 6.8970e-01 1.8037e-01 9.9006e-02 3.0922e-02
1585.14 7.0160e-01 1.6951e-01 9.8493e-02 3.0389e-02
1684.67 6.9558e-01 1.7730e-01 9.7114e-02 3.0005e-02
1790.45 7.0527e-01 1.6677e-01 9.7866e-02 3.0095e-02
1902.87 7.2001e-01 1.5041e-01 9.9255e-02 3.0325e-02
2022.36 6.4242e-01 1.9327e-01 1.2252e-01 4.1785e-02
2149.34 6.5289e-01 2.0950e-01 1.0375e-01 3.3856e-02
2284.30 6.2633e-01 2.2595e-01 1.1031e-01 3.7409e-02
2427.74 5.6804e-01 2.6934e-01 1.1952e-01 4.3098e-02
2580.18 5.1686e-01 3.0530e-01 1.2884e-01 4.9000e-02
2742.19 4.3373e-01 3.7075e-01 1.3923e-01 5.6291e-02
2914.37 3.5433e-01 4.3329e-01 1.4897e-01 6.3409e-02
3097.37 2.6472e-01 5.1004e-01 1.5601e-01 6.9231e-02
3291.85 1.5547e-01 6.0238e-01 1.6524e-01 7.6907e-02
3498.55 1.1727e-01 6.5273e-01 1.5740e-01 7.2599e-02
3718.23 1.6506e-01 6.5451e-01 1.2661e-01 5.3815e-02
3951.70 1.5787e-01 6.8261e-01 1.1290e-01 4.6618e-02
4199.83 3.5344e-02 7.5644e-01 1.4300e-01 6.5209e-02
4463.54 1.7687e-02 7.4426e-01 1.6092e-01 7.7128e-02
4743.81 1.5824e-02 7.3711e-01 1.6623e-01 8.0828e-02
5041.68 2.0381e-02 7.3603e-01 1.6415e-01 7.9445e-02
5358.25 2.4521e-02 7.3367e-01 1.6313e-01 7.8679e-02
5694.70 1.9875e-02 7.3864e-01 1.6292e-01 7.8568e-02
6052.28 2.3658e-02 7.3853e-01 1.6080e-01 7.7019e-02
6432.31 2.7546e-02 7.3822e-01 1.5860e-01 7.5633e-02
6836.20 3.1143e-02 7.3190e-01 1.6027e-01 7.6688e-02
7265.45 3.8741e-02 7.2713e-01 1.5859e-01 7.5538e-02
7721.65 3.1244e-02 7.3824e-01 1.5638e-01 7.4136e-02
8206.56 3.6285e-02 7.3745e-01 1.5387e-01 7.2399e-02
8717.73 3.8279e-02 7.5087e-01 1.4441e-01 6.6439e-02
9214.74 3.7061e-02 7.6452e-01 1.3676e-01 6.1657e-02
9629.11 2.5070e-02 7.8678e-01 1.3028e-01 5.7875e-02
9954.11 2.5389e-02 8.0092e-01 1.2105e-01 5.2641e-02
10245.64 2.2418e-02 8.0779e-01 1.1849e-01 5.1299e-02
10541.49 1.3565e-02 8.1888e-01 1.1712e-01 5.0427e-02
10839.94 1.2340e-02 8.4885e-01 9.8228e-02 4.0577e-02
11119.11 4.5922e-02 8.3312e-01 8.6489e-02 3.4472e-02
11355.83 5.4455e-02 8.4610e-01 7.1904e-02 2.7544e-02
11539.81 5.1820e-02 8.6456e-01 6.0906e-02 2.2712e-02
11677.16 8.5673e-02 8.4279e-01 5.2505e-02 1.9032e-02
11784.05 1.2516e-01 8.1252e-01 4.6119e-02 1.6203e-02
11875.85 8.5231e-02 8.5027e-01 4.7573e-02 1.6924e-02
11963.37 1.5175e-01 7.8487e-01 4.6930e-02 1.6452e-02
12055.39 1.1251e-01 8.1444e-01 5.3604e-02 1.9447e-02
12170.41 5.1625e-02 8.5835e-01 6.5308e-02 2.4716e-02
12360.89 1.8040e-02 8.8820e-01 6.7597e-02 2.6160e-02
12670.46 9.9815e-03 8.8357e-01 7.6186e-02 3.0264e-02
13075.34 4.9314e-03 8.6790e-01 9.0227e-02 3.6943e-02
13530.52 3.7361e-03 8.4311e-01 1.0758e-01 4.5574e-02
14012.75 1.2733e-03 8.3300e-01 1.1566e-01 5.0067e-02
14508.81 3.3823e-03 7.9846e-01 1.3628e-01 6.1883e-02
15002.30 4.4841e-03 7.8348e-01 1.4508e-01 6.6949e-02
15475.29 1.3577e-01 6.6229e-01 1.3964e-01 6.2297e-02
15923.68 1.9964e-03 7.6390e-01 1.5853e-01 7.5579e-02
16355.64 1.2802e-02 7.3444e-01 1.6995e-01 8.2812e-02
16776.27 1.3844e-02 7.3860e-01 1.6623e-01 8.1332e-02
17183.14 4.1029e-01 3.9896e-01 1.3542e-01 5.5324e-02
17580.45 2.6042e-01 5.4517e-01 1.3634e-01 5.8073e-02
