#NTIMES:    67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    8.484663E+02   1.0000E-099   9.8737E-030   1.0531E-022   4.7930E-016   1.8063E-010   7.6618E-006   2.0338E-002   9.7965E-001
    8.542546E+02   1.0000E-099   9.8737E-030   1.0531E-022   4.7930E-016   1.8063E-010   7.6618E-006   2.0338E-002   9.7965E-001
    8.718573E+02   1.0000E-099   9.8738E-030   1.0531E-022   4.7930E-016   1.8064E-010   7.6619E-006   2.0338E-002   9.7965E-001
    9.081584E+02   1.0000E-099   9.8743E-030   1.0532E-022   4.7932E-016   1.8064E-010   7.6621E-006   2.0338E-002   9.7965E-001
    9.674554E+02   1.0000E-099   9.8758E-030   1.0533E-022   4.7938E-016   1.8066E-010   7.6626E-006   2.0339E-002   9.7965E-001
    1.028597E+03   1.0000E-099   9.8876E-030   1.0545E-022   4.7985E-016   1.8081E-010   7.6673E-006   2.0345E-002   9.7965E-001
    1.093605E+03   1.0000E-099   9.9655E-030   1.0630E-022   4.8352E-016   1.8205E-010   7.7081E-006   2.0406E-002   9.7959E-001
    1.162722E+03   1.0000E-099   1.0053E-029   1.0735E-022   4.8825E-016   1.8374E-010   7.7650E-006   2.0493E-002   9.7950E-001
    1.236207E+03   1.0000E-099   9.4434E-030   1.0108E-022   4.6240E-016   1.7532E-010   7.4965E-006   2.0100E-002   9.7989E-001
    1.314336E+03   1.0000E-099   5.0183E-030   5.4531E-023   2.6318E-016   1.0731E-010   5.1723E-006   1.6361E-002   9.8363E-001
    1.397402E+03   1.0000E-099   7.5237E-032   1.0507E-024   7.9150E-018   5.5344E-012   5.7733E-007   4.9273E-003   9.9507E-001
    1.485719E+03   1.0000E-099   2.1637E-033   3.7401E-026   4.1251E-019   4.5661E-013   9.1726E-008   1.7980E-003   9.9820E-001
    1.579618E+03   1.0000E-099   1.7123E-033   2.9968E-026   3.3869E-019   3.8625E-013   8.1057E-008   1.6799E-003   9.9832E-001
    1.679450E+03   1.0000E-099   2.4567E-034   4.8849E-027   6.8545E-020   1.0107E-013   3.0377E-008   9.8372E-004   9.9902E-001
    1.785593E+03   1.0000E-099   1.9906E-035   4.7130E-028   8.8095E-021   1.8207E-014   8.7223E-009   4.9991E-004   9.9950E-001
    1.898443E+03   1.0000E-099   3.6073E-036   9.9762E-029   2.3130E-021   6.0930E-015   3.9852E-009   3.2905E-004   9.9967E-001
    2.018426E+03   1.0000E-099   4.1066E-037   1.3317E-029   3.9820E-022   1.4125E-015   1.3874E-009   1.8674E-004   9.9981E-001
    2.145992E+03   1.0000E-099   6.0505E-038   2.3223E-030   8.8272E-023   4.1115E-016   5.7567E-010   1.1719E-004   9.9988E-001
    2.281620E+03   1.0000E-099   7.4529E-039   3.3858E-031   1.6606E-023   1.0382E-016   2.1557E-010   6.9769E-005   9.9993E-001
    2.425820E+03   1.0000E-099   1.1972E-039   6.4196E-032   3.9738E-024   3.2339E-017   9.4510E-011   4.5382E-005   9.9995E-001
    2.579133E+03   1.0000E-099   3.2566E-040   1.9800E-032   1.4527E-024   1.4303E-017   5.3266E-011   3.3736E-005   9.9997E-001
    2.742135E+03   1.0000E-099   1.5690E-040   1.0452E-032   8.5266E-025   9.3993E-018   3.9879E-011   2.9106E-005   9.9997E-001
    2.915440E+03   1.0000E-099   1.5310E-040   1.0714E-032   8.9830E-025   1.0073E-017   4.2364E-011   3.0132E-005   9.9997E-001
    3.099698E+03   1.0000E-099   3.5079E-040   2.4602E-032   1.9313E-024   1.9650E-017   6.9261E-011   3.9153E-005   9.9996E-001
    3.295601E+03   1.0000E-099   2.9246E-039   1.8589E-031   1.1704E-023   9.0306E-017   2.0952E-010   7.0694E-005   9.9993E-001
    3.503885E+03   1.0000E-099   2.2461E-037   1.1932E-029   4.8658E-022   2.1663E-015   2.1650E-009   2.5233E-004   9.9975E-001
    3.725332E+03   1.0000E-099   1.6556E-035   6.0066E-028   1.4355E-020   3.4940E-014   1.6013E-008   7.3941E-004   9.9926E-001
    3.960775E+03   1.0000E-099   1.0438E-034   2.7523E-027   4.8070E-020   8.5717E-014   2.8965E-008   9.9154E-004   9.9901E-001
    4.211099E+03   1.0000E-099   6.4021E-030   1.3868E-022   9.8557E-016   5.0428E-010   2.0839E-005   3.8829E-002   9.6115E-001
    4.477243E+03   1.0000E-099   1.0245E-028   2.0735E-021   1.1736E-014   4.3549E-009   1.0571E-004   9.3646E-002   9.0625E-001
    4.760207E+03   1.0000E-099   1.3184E-028   2.7865E-021   1.5918E-014   5.8379E-009   1.3377E-004   1.0681E-001   8.9305E-001
    5.061055E+03   1.0000E-099   3.6667E-029   8.7145E-022   5.8221E-015   2.5582E-009   7.4046E-005   7.8766E-002   9.2116E-001
    5.380917E+03   1.0000E-099   1.2225E-029   3.2261E-022   2.4708E-015   1.2688E-009   4.4789E-005   6.0652E-002   9.3930E-001
    5.720994E+03   1.0000E-099   9.9102E-030   2.7873E-022   2.2497E-015   1.2093E-009   4.4021E-005   6.0552E-002   9.3940E-001
    6.082565E+03   1.0000E-099   1.1332E-029   3.2470E-022   2.6268E-015   1.4014E-009   4.9539E-005   6.4740E-002   9.3521E-001
    6.466986E+03   1.0000E-099   4.1980E-029   1.1563E-021   8.3723E-015   3.8243E-009   1.0509E-004   9.6872E-002   9.0302E-001
    6.875704E+03   1.0000E-099   2.8951E-028   7.4848E-021   4.5852E-014   1.6564E-008   3.1201E-004   1.7075E-001   8.2893E-001
    7.310253E+03   1.0000E-099   2.0944E-027   4.9191E-020   2.4862E-013   6.9341E-008   8.8067E-004   2.8353E-001   7.1559E-001
    7.772265E+03   1.0000E-099   2.5632E-026   5.3509E-019   2.1105E-012   4.1747E-007   3.1188E-003   4.8924E-001   5.0764E-001
    8.263477E+03   1.0000E-099   5.4129E-025   9.3380E-018   2.6059E-011   3.2222E-006   1.1968E-002   7.4125E-001   2.4678E-001
    8.785734E+03   1.0000E-099   3.5505E-022   3.9907E-015   5.0110E-009   1.9829E-004   1.3374E-001   8.4877E-001   1.7291E-002
    9.340997E+03   1.0000E-099   9.0557E-017   2.9372E-010   4.7503E-005   9.4253E-002   8.8493E-001   2.0770E-002   4.6851E-007
    9.929841E+03   1.0000E-099   1.8198E-010   6.0848E-005   1.9263E-001   8.0599E-001   1.3179E-003   3.4003E-010   6.7013E-021
    1.041447E+04   1.0000E-099   7.3903E-007   2.6794E-002   9.7027E-001   2.9363E-003   1.7904E-010   4.7410E-023   3.9329E-041
    1.083674E+04   1.0000E-099   2.9979E-004   8.4404E-001   1.5566E-001   1.1209E-007   5.9392E-020   1.6162E-039   3.4561E-066
    1.136786E+04   1.0000E-099   1.5565E-001   8.4435E-001   7.4014E-007   3.5387E-021   1.3317E-044   6.8163E-071   2.8111E-097
    1.167027E+04   1.0000E-099   5.5719E-001   4.4281E-001   1.4717E-008   6.0290E-025   3.1843E-051   2.0934E-077   7.0958E-104
