#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 24
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7
1.363340E+04 5.758658E-06 9.940864E-01 5.907855E-03 3.192766E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.401275E+04 3.735368E-06 9.879793E-01 1.201697E-02 3.375414E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.450883E+04 2.462807E-06 9.768648E-01 2.313269E-02 3.078709E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500233E+04 1.841095E-06 9.642378E-01 3.576039E-02 1.420749E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547530E+04 1.572165E-06 9.559687E-01 4.402974E-02 3.170075E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.592370E+04 1.363538E-06 9.497671E-01 5.023156E-02 5.111621E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635565E+04 1.277781E-06 9.498041E-01 5.019463E-02 5.312313E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.677625E+04 1.485676E-06 9.631586E-01 3.683995E-02 2.278499E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.718313E+04 1.949800E-06 9.779817E-01 2.201635E-02 5.444369E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.758045E+04 2.584054E-06 9.881364E-01 1.186098E-02 9.053395E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.799035E+04 3.388035E-06 9.941936E-01 5.802984E-03 1.040483E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.845805E+04 4.703187E-06 9.976520E-01 2.343269E-03 6.496732E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.908468E+04 7.214419E-06 9.993463E-01 6.464757E-04 1.166843E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 1.102949E-05 9.998700E-01 1.190198E-04 4.559371E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.119348E+04 1.519791E-05 9.999617E-01 2.312753E-05 1.846198E-24 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252870E+04 1.889785E-05 9.999746E-01 6.527478E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.394330E+04 1.831388E-05 9.999786E-01 3.119547E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 1.751213E-05 9.999807E-01 1.805108E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 1.464520E-05 9.999841E-01 1.283912E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 1.010728E-05 9.999887E-01 1.173273E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 7.184252E-06 9.999917E-01 1.087476E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 6.225966E-06 9.999929E-01 8.673229E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 5.709681E-06 9.999936E-01 6.781230E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 4.459258E-06 9.999949E-01 6.780590E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 10.0
#NVEL: 30
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7
1.200363E+04 1.405322E-06 9.142857E-01 8.571285E-02 8.140007E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.205538E+04 1.044435E-06 8.878114E-01 1.121875E-01 1.730296E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.217040E+04 8.006105E-07 8.598758E-01 1.401234E-01 3.492428E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.236090E+04 6.555466E-07 8.419593E-01 1.580401E-01 5.248099E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.267048E+04 4.914209E-07 8.143194E-01 1.856801E-01 8.861864E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.307535E+04 3.783922E-07 7.900209E-01 2.099787E-01 1.349133E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.353053E+04 2.934952E-07 7.629371E-01 2.370626E-01 2.063303E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.401275E+04 2.340016E-07 7.419778E-01 2.580219E-01 2.685586E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.450883E+04 2.023689E-07 7.397301E-01 2.602697E-01 2.586488E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500233E+04 1.966860E-07 7.571830E-01 2.428168E-01 1.962099E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547530E+04 2.148163E-07 7.962153E-01 2.037845E-01 1.053712E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.592370E+04 2.317759E-07 8.346089E-01 1.653909E-01 4.820399E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635565E+04 2.588017E-07 8.734934E-01 1.265064E-01 1.864838E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.677625E+04 3.328761E-07 9.181207E-01 8.187892E-02 4.765678E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.718313E+04 4.693636E-07 9.553407E-01 4.465881E-02 7.777621E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.758045E+04 6.493157E-07 9.773560E-01 2.264334E-02 9.951658E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.799035E+04 8.581116E-07 9.888590E-01 1.114015E-02 1.095726E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.845805E+04 1.159455E-06 9.950489E-01 4.949958E-03 8.753517E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.908468E+04 1.616721E-06 9.982112E-01 1.787224E-03 3.438664E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 1.817346E-06 9.993195E-01 6.787086E-04 1.161424E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.119348E+04 1.682331E-06 9.996861E-01 3.122620E-04 5.990120E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252870E+04 1.496813E-06 9.998181E-01 1.803607E-04 6.982124E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.394330E+04 1.194101E-06 9.998668E-01 1.319707E-04 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 1.013844E-06 9.999001E-01 9.887322E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 7.970852E-07 9.999188E-01 8.044503E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 5.336243E-07 9.999200E-01 7.943467E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 3.705386E-07 9.999212E-01 7.838777E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 3.083947E-07 9.999314E-01 6.832890E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 2.690289E-07 9.999401E-01 5.966038E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 2.058456E-07 9.999363E-01 6.349432E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 15.0
#NVEL: 41
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7
9.653898E+03 2.364294E-09 4.217571E-02 9.578243E-01 1.206884E-08 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
9.954100E+03 3.341445E-09 5.469038E-02 9.453096E-01 7.891642E-09 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.024563E+04 4.447057E-09 6.931505E-02 9.306849E-01 4.786848E-09 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.054150E+04 5.782415E-09 8.586057E-02 9.141394E-01 3.014242E-09 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.083998E+04 9.295386E-09 1.167154E-01 8.832846E-01 1.688443E-09 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.111913E+04 1.643515E-08 1.648741E-01 8.351259E-01 8.504539E-10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.135580E+04 3.410887E-08 2.463907E-01 7.536092E-01 3.643365E-10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.153978E+04 7.956873E-08 3.719712E-01 6.280287E-01 1.350326E-10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.167715E+04 1.468410E-07 4.879955E-01 5.120044E-01 5.789511E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
