#NTIMES: 145 
#NSTAGES: 3 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 2.59e-11 4.30e-04 1.00e+00 
999.11 4.49e-12 1.12e-04 1.00e+00 
1267.34 1.03e-12 3.55e-05 1.00e+00 
1514.05 4.20e-13 1.69e-05 1.00e+00 
1808.80 1.78e-13 8.65e-06 1.00e+00 
1919.29 9.55e-14 5.24e-06 1.00e+00 
2160.92 4.86e-14 3.26e-06 1.00e+00 
2292.92 2.83e-14 2.10e-06 1.00e+00 
2432.98 2.00e-14 1.72e-06 1.00e+00 
2581.60 1.60e-14 1.54e-06 1.00e+00 
2739.29 1.32e-14 1.37e-06 1.00e+00 
2906.62 1.12e-14 1.27e-06 1.00e+00 
3084.17 9.49e-15 1.20e-06 1.00e+00 
3272.56 7.59e-15 1.07e-06 1.00e+00 
3472.46 6.35e-15 1.01e-06 1.00e+00 
3684.57 5.25e-15 9.45e-07 1.00e+00 
3909.64 3.94e-15 8.38e-07 1.00e+00 
4148.46 3.58e-15 8.31e-07 1.00e+00 
4401.86 4.13e-15 9.17e-07 1.00e+00 
4670.75 4.69e-15 1.02e-06 1.00e+00 
4956.05 4.24e-15 1.02e-06 1.00e+00 
5258.79 3.65e-15 9.76e-07 1.00e+00 
5580.02 3.66e-15 1.01e-06 1.00e+00 
5920.87 3.64e-15 1.07e-06 1.00e+00 
6282.54 3.59e-15 1.10e-06 1.00e+00 
6666.30 3.91e-15 1.24e-06 1.00e+00 
7073.50 4.39e-15 1.39e-06 1.00e+00 
7505.58 4.41e-15 1.49e-06 1.00e+00 
7964.05 5.15e-15 1.78e-06 1.00e+00 
8450.53 7.87e-15 2.64e-06 1.00e+00 
8966.72 1.29e-14 4.13e-06 1.00e+00 
9514.44 2.70e-14 7.81e-06 1.00e+00 
10095.62 8.84e-14 2.02e-05 1.00e+00 
10712.30 4.70e-13 7.48e-05 1.00e+00 
11366.65 4.89e-12 4.55e-04 1.00e+00 
12061.10 1.26e-10 5.40e-03 9.95e-01 
12793.43 6.94e-09 1.12e-01 8.88e-01 
13528.61 1.93e-07 8.32e-01 1.68e-01 
14194.74 8.34e-07 9.95e-01 5.47e-03 
14757.77 2.73e-06 1.00e+00 1.79e-04 
15240.48 8.77e-06 1.00e+00 4.04e-06 
15646.99 3.04e-05 1.00e+00 2.35e-06 
15960.30 1.16e-04 1.00e+00 1.49e-08 
16187.41 2.89e-04 1.00e+00 1.77e-09 
16354.17 7.16e-04 9.99e-01 2.04e-10 
16484.18 1.01e-03 9.99e-01 7.95e-11 
16593.12 1.44e-03 9.99e-01 3.16e-11 
16691.99 2.13e-03 9.98e-01 8.41e-12 
16788.59 2.35e-03 9.98e-01 4.25e-12 
16888.37 4.24e-03 9.96e-01 1.62e-12 
16998.79 6.00e-03 9.94e-01 4.85e-13 
17146.37 1.06e-02 9.89e-01 7.99e-14 
17415.23 2.51e-02 9.75e-01 8.70e-15 
17888.12 9.41e-02 9.06e-01 1.45e-16 
18532.37 2.97e-01 7.03e-01 1.57e-18 
19260.76 5.68e-01 4.32e-01 1.27e-20 
20034.10 8.55e-01 1.45e-01 1.12e-22 
20838.00 9.43e-01 5.67e-02 1.20e-24 
21647.97 9.76e-01 2.36e-02 2.22e-26 
22447.94 9.91e-01 8.78e-03 4.05e-28 
23245.88 9.95e-01 4.65e-03 2.13e-29 
24052.47 9.98e-01 1.76e-03 2.51e-30 
24867.72 9.99e-01 1.03e-03 4.91e-30 
25698.86 1.00e+00 4.02e-04 6.53e-30 
26587.16 1.00e+00 2.05e-04 1.17e-29 
27637.54 1.00e+00 1.11e-04 6.66e-30 
28986.97 1.00e+00 5.83e-05 1.07e-28 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 1.70e-11 3.10e-04 1.00e+00 
999.11 3.38e-12 9.23e-05 1.00e+00 
1267.34 9.10e-13 3.29e-05 1.00e+00 
1514.05 3.81e-13 1.61e-05 1.00e+00 
1808.80 1.71e-13 8.59e-06 1.00e+00 
1919.29 9.50e-14 5.40e-06 1.00e+00 
2160.92 4.66e-14 3.23e-06 1.00e+00 
2292.92 2.84e-14 2.18e-06 1.00e+00 
2432.98 2.00e-14 1.78e-06 1.00e+00 
2581.60 1.60e-14 1.57e-06 1.00e+00 
2739.29 1.36e-14 1.46e-06 1.00e+00 
2906.62 1.15e-14 1.34e-06 1.00e+00 
3084.17 9.48e-15 1.21e-06 1.00e+00 
3272.56 7.67e-15 1.12e-06 1.00e+00 
3472.46 6.42e-15 1.05e-06 1.00e+00 
3684.57 5.30e-15 9.85e-07 1.00e+00 
3909.64 3.98e-15 8.75e-07 1.00e+00 
4148.46 3.55e-15 8.42e-07 1.00e+00 
4401.86 4.12e-15 9.43e-07 1.00e+00 
4670.75 4.68e-15 1.06e-06 1.00e+00 
4956.05 4.25e-15 1.04e-06 1.00e+00 
5258.79 3.65e-15 9.98e-07 1.00e+00 
5580.02 3.67e-15 1.06e-06 1.00e+00 
5920.87 3.63e-15 1.09e-06 1.00e+00 
6282.54 3.63e-15 1.16e-06 1.00e+00 
6666.30 3.93e-15 1.28e-06 1.00e+00 
7073.50 4.46e-15 1.47e-06 1.00e+00 
7505.58 4.46e-15 1.55e-06 1.00e+00 
7964.05 5.28e-15 1.89e-06 1.00e+00 
8450.53 8.48e-15 2.95e-06 1.00e+00 
8966.72 1.37e-14 4.48e-06 1.00e+00 
9514.44 2.90e-14 8.54e-06 1.00e+00 
10095.62 9.99e-14 2.29e-05 1.00e+00 
10712.30 5.61e-13 8.83e-05 1.00e+00 
11366.65 5.86e-12 5.31e-04 9.99e-01 
12061.10 1.66e-10 6.81e-03 9.93e-01 
12793.43 8.88e-09 1.35e-01 8.65e-01 
13528.61 2.10e-07 8.57e-01 1.43e-01 
14194.74 8.94e-07 9.96e-01 4.10e-03 
14757.77 2.94e-06 1.00e+00 1.50e-04 
15240.48 9.42e-06 1.00e+00 6.25e-06 
15646.99 3.22e-05 1.00e+00 1.96e-07 
15960.30 1.18e-04 1.00e+00 1.16e-08 
16187.41 2.82e-04 1.00e+00 1.89e-09 
16354.17 7.51e-04 9.99e-01 1.94e-10 
16484.18 9.57e-04 9.99e-01 8.28e-11 
16593.12 1.39e-03 9.99e-01 2.72e-11 
16691.99 1.78e-03 9.98e-01 1.03e-11 
16788.59 3.19e-03 9.97e-01 2.53e-12 
16888.37 3.74e-03 9.96e-01 1.42e-12 
16998.79 5.37e-03 9.95e-01 4.24e-13 
17146.37 9.22e-03 9.91e-01 1.08e-13 
17415.23 1.83e-02 9.82e-01 1.16e-14 
17888.12 6.74e-02 9.33e-01 2.30e-16 
18532.37 2.57e-01 7.43e-01 1.75e-18 
19260.76 5.90e-01 4.10e-01 1.31e-20 
20034.10 8.17e-01 1.83e-01 1.03e-22 
20838.00 9.43e-01 5.73e-02 1.02e-24 
