#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 8.2243e-03 8.3677e-01 1.5121e-01 3.7968e-03
1919.29 8.3936e-03 8.5183e-01 1.3677e-01 3.0088e-03
2581.60 6.1969e-03 7.9229e-01 1.9583e-01 5.6799e-03
3084.17 3.7529e-03 6.7052e-01 3.1433e-01 1.1405e-02
3472.46 1.9941e-03 5.3737e-01 4.4140e-01 1.9232e-02
3909.64 9.7482e-04 4.4357e-01 5.2672e-01 2.8737e-02
4148.46 1.4080e-03 4.6943e-01 5.0037e-01 2.8785e-02
4670.75 1.3957e-03 4.8782e-01 4.8261e-01 2.8170e-02
4956.05 8.3094e-04 4.3240e-01 5.3257e-01 3.4200e-02
5258.79 3.4433e-04 3.1217e-01 6.4309e-01 4.4396e-02
5580.02 1.3664e-04 2.4522e-01 7.0272e-01 5.1923e-02
5920.87 6.3383e-05 2.0792e-01 7.3303e-01 5.8992e-02
6282.54 3.5953e-05 1.7341e-01 7.6037e-01 6.6180e-02
6666.30 3.1661e-05 1.6139e-01 7.6848e-01 7.0101e-02
7073.50 2.8607e-05 1.5343e-01 7.7326e-01 7.3278e-02
7505.58 2.6477e-05 1.4833e-01 7.7390e-01 7.7747e-02
7964.05 3.5958e-05 1.5865e-01 7.6457e-01 7.6744e-02
8450.53 7.7231e-05 1.9265e-01 7.3255e-01 7.4718e-02
8966.72 1.6778e-04 2.3776e-01 6.9490e-01 6.7176e-02
9514.44 3.4258e-04 2.9583e-01 6.4165e-01 6.2178e-02
10095.62 7.0518e-04 4.0385e-01 5.4512e-01 5.0325e-02
10712.30 1.2220e-03 4.5178e-01 5.0336e-01 4.3640e-02
11366.65 1.6445e-03 5.0742e-01 4.5153e-01 3.9406e-02
