#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    8.484663E+02   3.3810E-023   5.7907E-016   1.0729E-009   2.9017E-004   9.9971E-001
    8.542546E+02   3.3810E-023   5.7907E-016   1.0729E-009   2.9017E-004   9.9971E-001
    8.718573E+02   3.3810E-023   5.7907E-016   1.0729E-009   2.9017E-004   9.9971E-001
    9.081584E+02   3.3811E-023   5.7908E-016   1.0729E-009   2.9018E-004   9.9971E-001
    9.674554E+02   3.3813E-023   5.7912E-016   1.0730E-009   2.9018E-004   9.9971E-001
    1.028597E+03   3.3832E-023   5.7938E-016   1.0733E-009   2.9024E-004   9.9971E-001
    1.093605E+03   3.3899E-023   5.8058E-016   1.0755E-009   2.9060E-004   9.9971E-001
    1.162722E+03   3.3912E-023   5.8131E-016   1.0776E-009   2.9099E-004   9.9971E-001
    1.236207E+03   3.3099E-023   5.6905E-016   1.0587E-009   2.8807E-004   9.9971E-001
    1.314336E+03   2.6388E-023   4.6380E-016   8.8871E-010   2.6037E-004   9.9974E-001
    1.397402E+03   4.2490E-024   9.9930E-017   2.6571E-010   1.3360E-004   9.9987E-001
    1.485719E+03   9.0954E-025   2.7577E-017   9.7671E-011   7.7383E-005   9.9992E-001
    1.579618E+03   8.2471E-025   2.5395E-017   9.1571E-011   7.4716E-005   9.9993E-001
