#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] o0 o1 o2 o3 o4 o5 o6
4.2577e+02 2.9612e-33 3.6972e-24 5.8139e-16 2.7991e-09 2.3387e-04 1.6002e-01 8.3974e-01
8.5779e+02 5.0791e-23 7.9420e-16 1.5641e-09 9.4309e-05 9.8684e-02 8.4565e-01 5.5577e-02
8.7843e+02 5.0715e-23 7.9318e-16 1.5624e-09 9.4238e-05 9.8644e-02 8.4566e-01 5.5604e-02
9.1772e+02 5.0463e-23 7.8937e-16 1.5556e-09 9.3919e-05 9.8450e-02 8.4571e-01 5.5748e-02
9.7304e+02 4.9051e-23 7.6902e-16 1.5206e-09 9.2328e-05 9.7506e-02 8.4597e-01 5.6436e-02
1.0350e+03 4.5503e-23 7.1690e-16 1.4289e-09 8.8079e-05 9.4917e-02 8.4658e-01 5.8411e-02
1.1000e+03 3.6528e-23 5.8423e-16 1.1927e-09 7.6816e-05 8.7772e-02 8.4772e-01 6.4427e-02
1.1690e+03 2.0240e-23 3.3709e-16 7.3333e-10 5.3072e-05 7.0869e-02 8.4593e-01 8.3150e-02
1.2425e+03 5.6876e-24 1.0235e-16 2.5254e-10 2.3330e-05 4.3398e-02 8.1664e-01 1.3994e-01
1.3205e+03 7.3640e-25 1.4667e-17 4.3035e-11 5.7568e-06 1.7945e-02 6.9369e-01 2.8836e-01
1.4033e+03 5.4676e-26 1.2316e-18 4.3895e-12 9.0018e-07 5.1211e-03 4.5844e-01 5.3644e-01
1.4915e+03 3.8945e-27 9.9908e-20 4.2777e-13 1.3008e-07 1.2883e-03 2.4888e-01 7.4983e-01
1.5852e+03 3.1010e-28 9.1305e-21 4.6621e-14 2.0248e-08 3.2960e-04 1.2591e-01 8.7376e-01
1.6847e+03 2.2633e-29 7.7773e-22 4.7815e-15 2.9704e-09 7.9374e-05 5.9526e-02 9.4039e-01
1.7904e+03 1.4363e-30 5.9222e-23 4.4842e-16 4.0482e-10 1.8017e-05 2.6824e-02 9.7316e-01
1.9028e+03 8.3067e-32 4.2319e-24 4.0473e-17 5.3833e-11 4.0251e-06 1.1912e-02 9.8808e-01
2.0223e+03 4.9926e-33 3.1440e-25 3.7917e-18 7.3654e-12 9.1540e-07 5.3176e-03 9.9468e-01
2.1493e+03 3.1766e-34 2.4762e-26 3.7674e-19 1.0589e-12 2.1574e-07 2.4155e-03 9.9758e-01
2.2843e+03 2.6877e-35 2.5340e-27 4.7476e-20 1.8530e-13 5.8666e-08 1.1838e-03 9.9882e-01
2.4277e+03 3.6058e-36 3.9963e-28 8.9358e-21 4.5618e-14 2.0612e-08 6.6748e-04 9.9933e-01
2.5802e+03 9.0954e-37 1.1387e-28 2.9059e-21 1.7904e-14 1.0301e-08 4.5714e-04 9.9954e-01
2.7422e+03 5.1932e-37 6.9671e-29 1.9097e-21 1.2797e-14 8.1046e-09 4.0257e-04 9.9960e-01
2.9144e+03 7.9978e-37 1.0761e-28 2.9366e-21 1.8849e-14 1.1018e-08 4.7993e-04 9.9952e-01
3.0973e+03 4.0448e-36 5.0789e-28 1.2705e-20 6.7243e-14 2.9298e-08 8.2971e-04 9.9917e-01
3.2918e+03 8.3396e-35 9.3054e-27 2.0054e-19 7.4058e-13 1.8505e-07 2.3230e-03 9.9768e-01
