#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3
425.78 3.5045e-04 8.4919e-01 1.4769e-01 2.7699e-03
857.79 1.0408e-03 8.6622e-01 1.3037e-01 2.3725e-03
878.44 1.1181e-03 8.5831e-01 1.3812e-01 2.4446e-03
917.72 7.3675e-04 8.6607e-01 1.3087e-01 2.3319e-03
973.04 3.9758e-04 8.4875e-01 1.4822e-01 2.6315e-03
1034.98 1.5887e-03 8.5550e-01 1.4031e-01 2.6022e-03
1099.97 5.9951e-04 8.6218e-01 1.3480e-01 2.4231e-03
1169.04 5.7174e-04 8.7033e-01 1.2685e-01 2.2462e-03
1242.44 6.1707e-04 8.6604e-01 1.3101e-01 2.3318e-03
1320.45 6.3185e-04 8.7241e-01 1.2481e-01 2.1488e-03
1403.37 1.8322e-03 8.6670e-01 1.2923e-01 2.2427e-03
1491.49 2.7378e-03 8.7124e-01 1.2393e-01 2.0924e-03
1585.14 2.7450e-03 8.7252e-01 1.2268e-01 2.0551e-03
1684.67 2.0948e-03 8.7368e-01 1.2221e-01 2.0205e-03
1790.45 1.7914e-03 8.7159e-01 1.2452e-01 2.0977e-03
1902.87 3.2088e-03 8.6778e-01 1.2682e-01 2.1828e-03
2022.36 3.1604e-04 8.4651e-01 1.5039e-01 2.7826e-03
2149.34 3.8841e-04 8.6577e-01 1.3150e-01 2.3445e-03
2284.30 3.9300e-04 8.5985e-01 1.3718e-01 2.5799e-03
2427.74 3.7672e-04 8.4951e-01 1.4719e-01 2.9241e-03
2580.18 3.4863e-04 8.4231e-01 1.5411e-01 3.2333e-03
2742.19 3.7067e-04 8.3357e-01 1.6253e-01 3.5306e-03
2914.37 3.9065e-04 8.2316e-01 1.7260e-01 3.8524e-03
