#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           s0           s1           s2           s3           s4
    8.484663E+02   1.0000E-099   1.0898E-017   2.3485E-011   2.9183E-005   9.9997E-001
    8.542546E+02   1.0000E-099   1.0898E-017   2.3485E-011   2.9183E-005   9.9997E-001
    8.718573E+02   1.0000E-099   1.0898E-017   2.3486E-011   2.9183E-005   9.9997E-001
    9.081584E+02   1.0000E-099   1.0898E-017   2.3486E-011   2.9183E-005   9.9997E-001
    9.674554E+02   1.0000E-099   1.0899E-017   2.3486E-011   2.9184E-005   9.9997E-001
    1.028597E+03   1.0000E-099   1.0902E-017   2.3492E-011   2.9187E-005   9.9997E-001
    1.093605E+03   1.0000E-099   1.0904E-017   2.3499E-011   2.9190E-005   9.9997E-001
    1.162722E+03   1.0000E-099   1.0884E-017   2.3478E-011   2.9175E-005   9.9997E-001
    1.236207E+03   1.0000E-099   1.0763E-017   2.3278E-011   2.9057E-005   9.9997E-001
    1.314336E+03   1.0000E-099   9.8147E-018   2.1626E-011   2.8096E-005   9.9997E-001
    1.397402E+03   1.0000E-099   3.6748E-018   1.0617E-011   2.0089E-005   9.9998E-001
    1.485719E+03   1.0000E-099   1.6023E-018   5.8509E-012   1.5263E-005   9.9998E-001
    1.579618E+03   1.0000E-099   1.5234E-018   5.6413E-012   1.5014E-005   9.9998E-001
    1.679450E+03   1.0000E-099   9.4246E-019   4.0139E-012   1.2849E-005   9.9999E-001
    1.785593E+03   1.0000E-099   4.9498E-019   2.5517E-012   1.0453E-005   9.9999E-001
    1.898443E+03   1.0000E-099   2.9164E-019   1.7718E-012   8.8117E-006   9.9999E-001
    2.018426E+03   1.0000E-099   1.6389E-019   1.1853E-012   7.3491E-006   9.9999E-001
    2.145992E+03   1.0000E-099   9.1916E-020   7.9596E-013   6.1162E-006   9.9999E-001
    2.281620E+03   1.0000E-099   5.0828E-020   5.2862E-013   5.0835E-006   9.9999E-001
    2.425820E+03   1.0000E-099   2.8930E-020   3.5922E-013   4.2581E-006   1.0000E+000
    2.579133E+03   1.0000E-099   1.9004E-020   2.6962E-013   3.7294E-006   1.0000E+000
    2.742135E+03   1.0000E-099   1.4247E-020   2.2196E-013   3.3964E-006   1.0000E+000
    2.915440E+03   1.0000E-099   1.2560E-020   2.0468E-013   3.2436E-006   1.0000E+000
    3.099698E+03   1.0000E-099   1.3351E-020   2.1532E-013   3.2723E-006   1.0000E+000
    3.295601E+03   1.0000E-099   2.0283E-020   2.9020E-013   3.6933E-006   1.0000E+000
    3.503885E+03   1.0000E-099   4.5294E-020   5.2003E-013   4.6943E-006   1.0000E+000
    3.725332E+03   1.0000E-099   1.6775E-019   1.2877E-012   7.1958E-006   9.9999E-001
    3.960775E+03   1.0000E-099   4.3407E-019   2.4249E-012   9.8834E-006   9.9999E-001
    4.211099E+03   1.0000E-099   1.8195E-018   7.8105E-012   1.6608E-005   9.9998E-001
    4.477243E+03   1.0000E-099   2.7664E-018   1.1038E-011   1.9725E-005   9.9998E-001
    4.760207E+03   1.0000E-099   2.5467E-018   1.0606E-011   1.9345E-005   9.9998E-001
    5.061055E+03   1.0000E-099   1.6963E-018   7.9483E-012   1.6737E-005   9.9998E-001
    5.380917E+03   1.0000E-099   1.1862E-018   6.1753E-012   1.4749E-005   9.9999E-001
