#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7 s8
4.242332e+02 4.281728e-24 1.124941e-16 3.365344e-10 3.475942e-05 7.410076e-02 9.258645e-01 0.000000e+00 0.000000e+00 0.000000e+00 
8.515108e+02 2.097160e-23 3.099136e-16 5.778841e-10 4.303062e-05 7.565311e-02 9.243039e-01 0.000000e+00 0.000000e+00 0.000000e+00 
8.638199e+02 2.813304e-24 5.616525e-17 1.482279e-10 1.653699e-05 4.608172e-02 9.539017e-01 0.000000e+00 0.000000e+00 0.000000e+00 
8.922215e+02 1.522941e-24 3.502765e-17 1.055515e-10 1.335502e-05 4.170516e-02 9.582815e-01 0.000000e+00 0.000000e+00 0.000000e+00 
9.416122e+02 2.050478e-24 5.393648e-17 1.723590e-10 2.065336e-05 5.497658e-02 9.450028e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.002576e+03 3.750980e-24 9.406528e-17 2.762350e-10 2.936814e-05 6.658717e-02 9.333835e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.065938e+03 4.328676e-24 1.077068e-16 3.118979e-10 3.206427e-05 7.010415e-02 9.298638e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.133306e+03 3.000651e-24 7.632725e-17 2.316037e-10 2.563663e-05 6.190664e-02 9.380677e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.204932e+03 2.110552e-24 5.473365e-17 1.716582e-10 2.040200e-05 5.445224e-02 9.455274e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.281084e+03 3.787853e-25 1.066426e-17 4.055917e-11 6.759861e-06 2.913733e-02 9.708559e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.362050e+03 1.423125e-26 4.836929e-19 2.651417e-12 8.369328e-07 8.894529e-03 9.911046e-01 0.000000e+00 0.000000e+00 0.000000e+00 
