#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    8.484663E+02   1.0000E-099   8.6286E-013   5.1197E-006   9.9999E-001
    8.542546E+02   1.0000E-099   8.6286E-013   5.1197E-006   9.9999E-001
    8.718573E+02   1.0000E-099   8.6286E-013   5.1197E-006   9.9999E-001
    9.081584E+02   1.0000E-099   8.6287E-013   5.1197E-006   9.9999E-001
    9.674554E+02   1.0000E-099   8.6288E-013   5.1198E-006   9.9999E-001
    1.028597E+03   1.0000E-099   8.6301E-013   5.1201E-006   9.9999E-001
    1.093605E+03   1.0000E-099   8.6245E-013   5.1175E-006   9.9999E-001
    1.162722E+03   1.0000E-099   8.6029E-013   5.1096E-006   9.9999E-001
    1.236207E+03   1.0000E-099   8.5740E-013   5.1058E-006   9.9999E-001
    1.314336E+03   1.0000E-099   8.4425E-013   5.1212E-006   9.9999E-001
    1.397402E+03   1.0000E-099   5.5100E-013   4.3789E-006   1.0000E+000
    1.485719E+03   1.0000E-099   3.8390E-013   3.8495E-006   1.0000E+000
    1.579618E+03   1.0000E-099   3.7625E-013   3.8253E-006   1.0000E+000
    1.679450E+03   1.0000E-099   3.0178E-013   3.5245E-006   1.0000E+000
    1.785593E+03   1.0000E-099   2.2242E-013   3.1388E-006   1.0000E+000
    1.898443E+03   1.0000E-099   1.6693E-013   2.7740E-006   1.0000E+000
    2.018426E+03   1.0000E-099   1.2606E-013   2.4891E-006   1.0000E+000
    2.145992E+03   1.0000E-099   9.2554E-014   2.1854E-006   1.0000E+000
    2.281620E+03   1.0000E-099   6.8366E-014   1.9350E-006   1.0000E+000
    2.425820E+03   1.0000E-099   5.0401E-014   1.7008E-006   1.0000E+000
    2.579133E+03   1.0000E-099   3.9901E-014   1.5370E-006   1.0000E+000
    2.742135E+03   1.0000E-099   3.3435E-014   1.4143E-006   1.0000E+000
    2.915440E+03   1.0000E-099   3.0030E-014   1.3301E-006   1.0000E+000
    3.099698E+03   1.0000E-099   2.9103E-014   1.2786E-006   1.0000E+000
    3.295601E+03   1.0000E-099   3.3756E-014   1.3200E-006   1.0000E+000
    3.503885E+03   1.0000E-099   4.3702E-014   1.3786E-006   1.0000E+000
    3.725332E+03   1.0000E-099   8.8247E-014   1.8644E-006   1.0000E+000
    3.960775E+03   1.0000E-099   1.6743E-013   2.5726E-006   1.0000E+000
    4.211099E+03   1.0000E-099   1.8921E-013   2.2385E-006   1.0000E+000
    4.477243E+03   1.0000E-099   2.0411E-013   2.2408E-006   1.0000E+000
    4.760207E+03   1.0000E-099   1.8479E-013   2.1165E-006   1.0000E+000
    5.061055E+03   1.0000E-099   1.4830E-013   1.9121E-006   1.0000E+000
    5.380917E+03   1.0000E-099   1.2173E-013   1.7447E-006   1.0000E+000
    5.720994E+03   1.0000E-099   1.0671E-013   1.6295E-006   1.0000E+000
    6.082565E+03   1.0000E-099   1.0219E-013   1.5889E-006   1.0000E+000
    6.466986E+03   1.0000E-099   1.0766E-013   1.6061E-006   1.0000E+000
    6.875704E+03   1.0000E-099   1.1759E-013   1.6444E-006   1.0000E+000
    7.310253E+03   1.0000E-099   1.3751E-013   1.7480E-006   1.0000E+000
    7.772265E+03   1.0000E-099   1.6601E-013   1.8825E-006   1.0000E+000
    8.263477E+03   1.0000E-099   2.2999E-013   2.1745E-006   1.0000E+000
    8.785734E+03   1.0000E-099   4.7777E-013   3.0738E-006   1.0000E+000
    9.340997E+03   1.0000E-099   4.5790E-012   1.0429E-005   9.9999E-001
    9.929841E+03   1.0000E-099   3.5333E-010   1.5849E-004   9.9984E-001
    1.041447E+04   1.0000E-099   3.2354E-008   3.5715E-003   9.9643E-001
    1.083674E+04   1.0000E-099   6.0664E-006   1.2381E-001   8.7618E-001
    1.136786E+04   1.0000E-099   4.1143E-003   9.9469E-001   1.1914E-003
    1.167027E+04   1.0000E-099   1.8429E-002   9.8147E-001   9.9947E-005
    1.185735E+04   1.0000E-099   3.7506E-002   9.6246E-001   2.9400E-005
    1.198132E+04   1.0000E-099   1.0946E-001   8.9054E-001   2.0461E-006
    1.207995E+04   1.0000E-099   2.4770E-001   7.5230E-001   1.5799E-007
    1.216774E+04   1.0000E-099   3.6377E-001   6.3623E-001   3.2367E-008
    1.225420E+04   1.0000E-099   5.0452E-001   4.9548E-001   5.9201E-009
    1.234075E+04   1.0000E-099   6.4924E-001   3.5076E-001   9.7100E-010
    1.244043E+04   1.0000E-099   7.5604E-001   2.4396E-001   1.9475E-010
    1.256653E+04   1.0000E-099   8.0226E-001   1.9774E-001   7.7430E-011
    1.291944E+04   1.0000E-099   7.5854E-001   2.4146E-001   1.1932E-010
    1.356464E+04   1.0000E-099   5.2158E-001   4.7842E-001   1.5378E-009
    1.414194E+04   1.0000E-099   4.0658E-001   5.9342E-001   3.7579E-009
    1.463678E+04   1.0000E-099   4.4952E-001   5.5048E-001   1.7384E-009
    1.515385E+04   1.0000E-099   5.0639E-001   4.9361E-001   8.0667E-010
    1.570238E+04   1.0000E-099   6.3555E-001   3.6445E-001   1.6540E-010
    1.628316E+04   1.0000E-099   8.5100E-001   1.4900E-001   4.3635E-012
    1.695591E+04   1.0000E-099   9.4821E-001   5.1788E-002   1.4708E-013
    1.773545E+04   1.0000E-099   9.8013E-001   1.9874E-002   6.3005E-015
    1.852426E+04   1.0000E-099   9.8923E-001   1.0771E-002   6.0431E-016
    1.933673E+04   1.0000E-099   9.9266E-001   7.3352E-003   1.4513E-016
    2.006825E+04   1.0000E-099   9.9189E-001   8.1100E-003   1.2098E-016
    2.082304E+04   1.0000E-099   9.9031E-001   9.6886E-003   1.6161E-016
    2.162788E+04   1.0000E-099   9.9083E-001   9.1664E-003   1.4944E-016
    2.248295E+04   1.0000E-099   9.8756E-001   1.2439E-002   3.7509E-016
    2.340334E+04   1.0000E-099   9.8814E-001   1.1857E-002   3.8478E-016
    2.427003E+04   1.0000E-099   9.8404E-001   1.5958E-002   8.3172E-016
    2.528269E+04   1.0000E-099   9.8147E-001   1.8534E-002   1.1469E-015
    2.627013E+04   1.0000E-099   9.8242E-001   1.7583E-002   1.0304E-015
    2.723040E+04   1.0000E-099   9.7364E-001   2.6355E-002   2.4021E-015
    2.827004E+04   1.0000E-099   9.6805E-001   3.1954E-002   3.4311E-015
    2.934273E+04   1.0000E-099   9.5619E-001   4.3809E-002   6.4715E-015
    3.052012E+04   1.0000E-099   9.4154E-001   5.8462E-002   1.1427E-014
    3.176086E+04   1.0000E-099   9.2863E-001   7.1368E-002   1.7222E-014
    3.295538E+04   1.0000E-099   9.2451E-001   7.5494E-002   1.9631E-014
    3.403161E+04   1.0000E-099   9.1919E-001   8.0810E-002   2.3753E-014
    3.500379E+04   1.0000E-099   9.0726E-001   9.2743E-002   3.3775E-014
    3.593430E+04   1.0000E-099   8.9111E-001   1.0889E-001   5.0164E-014
    3.686142E+04   1.0000E-099   8.7357E-001   1.2643E-001   7.1980E-014
