#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 sc7 sc8 sc9
4.2577e+02 8.3167e-42 4.4857e-32 8.6218e-24 4.4744e-16 7.6009e-10 4.3815e-05 5.2032e-02 7.7793e-01 1.6924e-01 7.5919e-04
8.5779e+02 3.3005e-29 2.2295e-21 5.3667e-15 3.4881e-09 7.4208e-05 5.3573e-02 7.9676e-01 1.4919e-01 4.0647e-04 2.2836e-08
8.7843e+02 3.2945e-29 2.2259e-21 5.3592e-15 3.4840e-09 7.4146e-05 5.3547e-02 7.9672e-01 1.4925e-01 4.0686e-04 2.2871e-08
9.1772e+02 3.2754e-29 2.2132e-21 5.3297e-15 3.4660e-09 7.3851e-05 5.3422e-02 7.9650e-01 1.4960e-01 4.0904e-04 2.3069e-08
9.7304e+02 3.1671e-29 2.1443e-21 5.1759e-15 3.3761e-09 7.2411e-05 5.2816e-02 7.9546e-01 1.5123e-01 4.1942e-04 2.4013e-08
1.0350e+03 2.8987e-29 1.9706e-21 4.7811e-15 3.1407e-09 6.8558e-05 5.1154e-02 7.9243e-01 1.5590e-01 4.5013e-04 2.6899e-08
1.1000e+03 2.2355e-29 1.5392e-21 3.7940e-15 2.5460e-09 5.8489e-05 4.6603e-02 7.8285e-01 1.6993e-01 5.5069e-04 3.7202e-08
1.1690e+03 1.1096e-29 7.9032e-22 2.0322e-15 1.4444e-09 3.7995e-05 3.6045e-02 7.5115e-01 2.1184e-01 9.3339e-04 8.7374e-08
1.2425e+03 2.4327e-30 1.8420e-22 5.1345e-16 4.1031e-10 1.4331e-05 1.9716e-02 6.5307e-01 3.2441e-01 2.7860e-03 5.2944e-07
1.3205e+03 2.0312e-31 1.6483e-23 5.0994e-17 4.8541e-11 2.6008e-06 6.3837e-03 4.4012e-01 5.3993e-01 1.3554e-02 8.0205e-06
1.4033e+03 8.3919e-33 7.3505e-25 2.5684e-18 3.0623e-12 2.6578e-07 1.2732e-03 2.0617e-01 7.2815e-01 6.4260e-02 1.4305e-04
1.4915e+03 3.2766e-34 3.1070e-26 1.2292e-19 1.8642e-13 2.4927e-08 2.1936e-04 7.7509e-02 7.2011e-01 2.0067e-01 1.4898e-03
