#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           si0           si1           si2           si3           si4
    8.484663E+02   1.0000E-099   8.0180E-019   5.9830E-012   1.5659E-005   9.9998E-001
    8.542546E+02   1.0000E-099   8.0180E-019   5.9830E-012   1.5659E-005   9.9998E-001
    8.718573E+02   1.0000E-099   8.0180E-019   5.9830E-012   1.5659E-005   9.9998E-001
    9.081584E+02   1.0000E-099   8.0181E-019   5.9830E-012   1.5659E-005   9.9998E-001
    9.674554E+02   1.0000E-099   8.0184E-019   5.9832E-012   1.5659E-005   9.9998E-001
    1.028597E+03   1.0000E-099   8.0208E-019   5.9844E-012   1.5660E-005   9.9998E-001
    1.093605E+03   1.0000E-099   8.0217E-019   5.9855E-012   1.5654E-005   9.9998E-001
    1.162722E+03   1.0000E-099   8.0060E-019   5.9787E-012   1.5634E-005   9.9998E-001
    1.236207E+03   1.0000E-099   7.9195E-019   5.9323E-012   1.5610E-005   9.9998E-001
    1.314336E+03   1.0000E-099   7.2510E-019   5.5601E-012   1.5527E-005   9.9998E-001
    1.397402E+03   1.0000E-099   2.7683E-019   2.8481E-012   1.2826E-005   9.9999E-001
    1.485719E+03   1.0000E-099   1.2271E-019   1.6242E-012   1.1042E-005   9.9999E-001
    1.579618E+03   1.0000E-099   1.1681E-019   1.5697E-012   1.0960E-005   9.9999E-001
    1.679450E+03   1.0000E-099   7.2884E-020   1.1362E-012   1.0016E-005   9.9999E-001
    1.785593E+03   1.0000E-099   3.8688E-020   7.3764E-013   8.8470E-006   9.9999E-001
    1.898443E+03   1.0000E-099   2.2917E-020   5.1782E-013   7.7913E-006   9.9999E-001
    2.018426E+03   1.0000E-099   1.2993E-020   3.5232E-013   6.9596E-006   9.9999E-001
    2.145992E+03   1.0000E-099   7.3337E-021   2.3953E-013   6.0943E-006   9.9999E-001
    2.281620E+03   1.0000E-099   4.0873E-021   1.6142E-013   5.3828E-006   9.9999E-001
    2.425820E+03   1.0000E-099   2.3401E-021   1.1092E-013   4.7244E-006   1.0000E+000
    2.579133E+03   1.0000E-099   1.5431E-021   8.3856E-014   4.2665E-006   1.0000E+000
    2.742135E+03   1.0000E-099   1.1580E-021   6.9201E-014   3.9252E-006   1.0000E+000
    2.915440E+03   1.0000E-099   1.0184E-021   6.3586E-014   3.6925E-006   1.0000E+000
