#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 24
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5 Si6 Si7
1.363340E+04 9.455503E-06 9.770695E-01 2.292106E-02 3.082514E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.401275E+04 6.023754E-06 9.580952E-01 4.189878E-02 2.657964E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.450883E+04 3.881699E-06 9.283419E-01 7.165419E-02 1.960835E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.500233E+04 2.846973E-06 8.998002E-01 1.001969E-01 7.636206E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547530E+04 2.411014E-06 8.847766E-01 1.152210E-01 1.525954E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.592370E+04 2.081523E-06 8.749309E-01 1.250670E-01 2.284916E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.635565E+04 1.957268E-06 8.779455E-01 1.220525E-01 2.304129E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.677625E+04 2.320967E-06 9.082795E-01 9.171816E-02 1.033112E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.718313E+04 3.111799E-06 9.425473E-01 5.744955E-02 2.691099E-13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.758045E+04 4.187196E-06 9.671085E-01 3.288730E-02 5.030876E-14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.799035E+04 5.546336E-06 9.826178E-01 1.737666E-02 6.733478E-15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.845805E+04 7.761028E-06 9.922452E-01 7.747021E-03 5.126106E-16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.908468E+04 1.200774E-05 9.975095E-01 2.478494E-03 1.239644E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 1.861661E-05 9.994128E-01 5.685606E-04 7.539933E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.119348E+04 2.615253E-05 9.998359E-01 1.379663E-04 4.791269E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252870E+04 3.313137E-05 9.999208E-01 4.602570E-05 9.503632E-24 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.394330E+04 3.258622E-05 9.999427E-01 2.468242E-05 8.154877E-25 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 3.152254E-05 9.999530E-01 1.550555E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 2.663627E-05 9.999615E-01 1.181635E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 1.855230E-05 9.999700E-01 1.144113E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 1.329689E-05 9.999756E-01 1.114716E-05 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 1.161029E-05 9.999791E-01 9.289329E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 1.072465E-05 9.999817E-01 7.573164E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 8.425570E-06 9.999837E-01 7.839736E-06 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 10.0
#NVEL: 30
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5 Si6 Si7
1.200363E+04 1.957819E-06 7.673022E-01 2.326958E-01 4.293311E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.205538E+04 1.393633E-06 7.139283E-01 2.860703E-01 8.404327E-12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.217040E+04 1.027287E-06 6.651812E-01 3.348178E-01 1.551674E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.236090E+04 8.238913E-07 6.380999E-01 3.618993E-01 2.198929E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.267048E+04 5.996101E-07 5.992491E-01 4.007503E-01 3.433688E-11 3.766187E-29 0.000000E+00 0.000000E+00 0.000000E+00
