#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    8.484663E+02   1.0000E-099   2.7797E-013   2.9900E-006   1.0000E+000
    8.542546E+02   1.0000E-099   2.7797E-013   2.9900E-006   1.0000E+000
    8.718573E+02   1.0000E-099   2.7797E-013   2.9900E-006   1.0000E+000
    9.081584E+02   1.0000E-099   2.7797E-013   2.9900E-006   1.0000E+000
    9.674554E+02   1.0000E-099   2.7798E-013   2.9901E-006   1.0000E+000
    1.028597E+03   1.0000E-099   2.7802E-013   2.9903E-006   1.0000E+000
    1.093605E+03   1.0000E-099   2.7788E-013   2.9890E-006   1.0000E+000
    1.162722E+03   1.0000E-099   2.7725E-013   2.9848E-006   1.0000E+000
    1.236207E+03   1.0000E-099   2.7611E-013   2.9813E-006   1.0000E+000
    1.314336E+03   1.0000E-099   2.6966E-013   2.9763E-006   1.0000E+000
    1.397402E+03   1.0000E-099   1.6896E-013   2.4858E-006   1.0000E+000
    1.485719E+03   1.0000E-099   1.1373E-013   2.1425E-006   1.0000E+000
    1.579618E+03   1.0000E-099   1.1120E-013   2.1261E-006   1.0000E+000
    1.679450E+03   1.0000E-099   8.7602E-014   1.9389E-006   1.0000E+000
    1.785593E+03   1.0000E-099   6.3136E-014   1.7047E-006   1.0000E+000
    1.898443E+03   1.0000E-099   4.6822E-014   1.4964E-006   1.0000E+000
    2.018426E+03   1.0000E-099   3.4703E-014   1.3286E-006   1.0000E+000
    2.145992E+03   1.0000E-099   2.5128E-014   1.1573E-006   1.0000E+000
    2.281620E+03   1.0000E-099   1.8253E-014   1.0151E-006   1.0000E+000
    2.425820E+03   1.0000E-099   1.3284E-014   8.8582E-007   1.0000E+000
    2.579133E+03   1.0000E-099   1.0428E-014   7.9674E-007   1.0000E+000
    2.742135E+03   1.0000E-099   8.7133E-015   7.3199E-007   1.0000E+000
    2.915440E+03   1.0000E-099   7.8589E-015   6.8998E-007   1.0000E+000
    3.099698E+03   1.0000E-099   7.7162E-015   6.6811E-007   1.0000E+000
    3.295601E+03   1.0000E-099   9.1639E-015   6.9898E-007   1.0000E+000
    3.503885E+03   1.0000E-099   1.2474E-014   7.5108E-007   1.0000E+000
    3.725332E+03   1.0000E-099   2.5975E-014   1.0338E-006   1.0000E+000
    3.960775E+03   1.0000E-099   4.9227E-014   1.4256E-006   1.0000E+000
    4.211099E+03   1.0000E-099   6.4543E-014   1.3508E-006   1.0000E+000
    4.477243E+03   1.0000E-099   7.2162E-014   1.3799E-006   1.0000E+000
    4.760207E+03   1.0000E-099   6.5840E-014   1.3091E-006   1.0000E+000
    5.061055E+03   1.0000E-099   5.2368E-014   1.1768E-006   1.0000E+000
    5.380917E+03   1.0000E-099   4.2678E-014   1.0694E-006   1.0000E+000
    5.720994E+03   1.0000E-099   3.7508E-014   1.0002E-006   1.0000E+000
    6.082565E+03   1.0000E-099   3.6052E-014   9.7727E-007   1.0000E+000
    6.466986E+03   1.0000E-099   3.8606E-014   9.9700E-007   1.0000E+000
    6.875704E+03   1.0000E-099   4.3186E-014   1.0345E-006   1.0000E+000
    7.310253E+03   1.0000E-099   5.1658E-014   1.1135E-006   1.0000E+000
    7.772265E+03   1.0000E-099   6.4327E-014   1.2197E-006   1.0000E+000
    8.263477E+03   1.0000E-099   9.2549E-014   1.4376E-006   1.0000E+000
    8.785734E+03   1.0000E-099   2.1101E-013   2.1317E-006   1.0000E+000
    9.340997E+03   1.0000E-099   2.4982E-012   7.9787E-006   9.9999E-001
    9.929841E+03   1.0000E-099   2.9079E-010   1.4545E-004   9.9985E-001
    1.041447E+04   1.0000E-099   4.2704E-008   4.2052E-003   9.9579E-001
    1.083674E+04   1.0000E-099   1.2505E-005   1.8688E-001   8.1310E-001
    1.136786E+04   1.0000E-099   8.0225E-003   9.9164E-001   3.3623E-004
    1.167027E+04   1.0000E-099   3.8125E-002   9.6185E-001   2.3071E-005
    1.185735E+04   1.0000E-099   7.8693E-002   9.2130E-001   6.0424E-006
    1.198132E+04   1.0000E-099   2.3173E-001   7.6827E-001   2.8498E-007
    1.207995E+04   1.0000E-099   4.7389E-001   5.2611E-001   1.3430E-008
    1.216774E+04   1.0000E-099   6.2563E-001   3.7437E-001   1.9402E-009
    1.225420E+04   1.0000E-099   7.6072E-001   2.3928E-001   2.4341E-010
    1.234075E+04   1.0000E-099   8.6048E-001   1.3952E-001   2.7486E-011
    1.244043E+04   1.0000E-099   9.1599E-001   8.4013E-002   4.0999E-012
    1.256653E+04   1.0000E-099   9.3651E-001   6.3489E-002   1.3850E-012
    1.291944E+04   1.0000E-099   9.1963E-001   8.0373E-002   2.2020E-012
    1.356464E+04   1.0000E-099   7.8891E-001   2.1109E-001   4.4606E-011
    1.414194E+04   1.0000E-099   6.9803E-001   3.0197E-001   1.3144E-010
    1.463678E+04   1.0000E-099   7.4123E-001   2.5877E-001   5.0390E-011
