#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ti0 ti1 ti2 ti3 ti4 ti5 ti6 ti7 ti8 ti9
4.2577e+02 9.3214e-42 3.5496e-32 1.5184e-23 6.2466e-16 3.9506e-09 1.2258e-04 8.7131e-02 8.4326e-01 6.9464e-02 1.7735e-05
8.5779e+02 2.2461e-29 1.0713e-21 5.7394e-15 2.9573e-09 2.3424e-04 9.1031e-02 8.1040e-01 9.8232e-02 1.0135e-04 3.2407e-10
8.7843e+02 2.2422e-29 1.0696e-21 5.7318e-15 2.9540e-09 2.3405e-04 9.0991e-02 8.1039e-01 9.8279e-02 1.0145e-04 3.2459e-10
9.1772e+02 2.2302e-29 1.0640e-21 5.7032e-15 2.9401e-09 2.3310e-04 9.0785e-02 8.1034e-01 9.8537e-02 1.0204e-04 3.2767e-10
9.7304e+02 2.1607e-29 1.0330e-21 5.5514e-15 2.8699e-09 2.2849e-04 8.9797e-02 8.1011e-01 9.9758e-02 1.0485e-04 3.4223e-10
1.0350e+03 1.9890e-29 9.5479e-22 5.1620e-15 2.6860e-09 2.1614e-04 8.7080e-02 8.0933e-01 1.0326e-01 1.1320e-04 3.8712e-10
1.1000e+03 1.5594e-29 7.5825e-22 4.1747e-15 2.2152e-09 1.8394e-04 7.9622e-02 8.0615e-01 1.1390e-01 1.4087e-04 5.5056e-10
1.1690e+03 8.0891e-30 4.0703e-22 2.3525e-15 1.3154e-09 1.1876e-04 6.2206e-02 7.9085e-01 1.4658e-01 2.4990e-04 1.3932e-09
1.2425e+03 1.9579e-30 1.0482e-22 6.6603e-16 4.1292e-10 4.4264e-05 3.4849e-02 7.2313e-01 2.4115e-01 8.2586e-04 9.9723e-09
1.3205e+03 1.9295e-31 1.1087e-23 8.0027e-17 5.7248e-11 7.9060e-06 1.1776e-02 5.3086e-01 4.5260e-01 4.7586e-03 1.9939e-07
1.4033e+03 9.6145e-33 5.9744e-25 5.0055e-18 4.2497e-12 7.8990e-07 2.4564e-03 2.7304e-01 6.9723e-01 2.7270e-02 4.8912e-06
1.4915e+03 4.4914e-34 3.0268e-26 2.9431e-19 2.9741e-13 7.3616e-08 4.4603e-04 1.1285e-01 7.8474e-01 1.0190e-01 6.8623e-05
