#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] v0 v1 v2 v3 v4 v5 v6 
440.10 1.69e-18 2.38e-12 1.82e-06 2.24e-02 9.31e-01 4.66e-02 4.40e-12 
999.11 2.87e-20 4.37e-14 6.13e-08 2.24e-03 5.94e-01 4.04e-01 7.81e-09 
1267.34 2.61e-22 5.54e-16 1.23e-09 1.16e-04 1.46e-01 8.53e-01 1.14e-06 
1514.05 7.96e-24 1.96e-17 5.85e-11 1.02e-05 3.62e-02 9.64e-01 1.76e-05 
1808.80 3.03e-25 8.98e-19 3.60e-12 1.11e-06 9.94e-03 9.90e-01 2.16e-04 
1919.29 2.60e-26 8.73e-20 4.28e-13 2.08e-07 3.68e-03 9.95e-01 1.11e-03 
2160.92 1.46e-27 7.46e-21 4.64e-14 3.77e-08 1.38e-03 9.92e-01 6.43e-03 
2292.92 2.31e-28 1.14e-21 8.33e-15 1.03e-08 6.51e-04 9.83e-01 1.62e-02 
2432.98 6.27e-29 3.88e-22 3.28e-15 5.00e-09 4.34e-04 9.67e-01 3.22e-02 
2581.60 2.67e-29 2.05e-22 1.90e-15 3.28e-09 3.42e-04 9.52e-01 4.79e-02 
2739.29 1.35e-29 1.13e-22 1.12e-15 2.18e-09 2.70e-04 9.33e-01 6.70e-02 
2906.62 7.78e-30 7.35e-23 7.85e-16 1.67e-09 2.32e-04 9.18e-01 8.18e-02 
3084.17 4.91e-30 5.45e-23 6.30e-16 1.45e-09 2.18e-04 9.13e-01 8.70e-02 
3272.56 3.12e-30 3.74e-23 4.78e-16 1.23e-09 2.04e-04 9.13e-01 8.64e-02 
3472.46 2.38e-30 3.20e-23 4.43e-16 1.23e-09 2.10e-04 9.23e-01 7.66e-02 
3684.57 1.94e-30 2.95e-23 4.44e-16 1.32e-09 2.28e-04 9.37e-01 6.25e-02 
3909.64 1.35e-30 2.38e-23 4.03e-16 1.33e-09 2.43e-04 9.48e-01 5.15e-02 
4148.46 1.44e-30 2.78e-23 4.93e-16 1.65e-09 2.85e-04 9.62e-01 3.74e-02 
4401.86 2.60e-30 4.64e-23 7.78e-16 2.38e-09 3.56e-04 9.74e-01 2.58e-02 
4670.75 4.48e-30 7.72e-23 1.25e-15 3.52e-09 4.49e-04 9.83e-01 1.64e-02 
4956.05 4.03e-30 8.18e-23 1.41e-15 4.06e-09 4.98e-04 9.87e-01 1.27e-02 
5258.79 3.18e-30 7.16e-23 1.35e-15 4.12e-09 5.13e-04 9.89e-01 1.08e-02 
5580.02 3.98e-30 8.85e-23 1.72e-15 5.20e-09 5.92e-04 9.92e-01 7.40e-03 
5920.87 4.67e-30 1.16e-22 2.30e-15 6.80e-09 7.01e-04 9.94e-01 5.16e-03 
6282.54 5.99e-30 1.49e-22 3.04e-15 8.83e-09 8.30e-04 9.96e-01 3.36e-03 
6666.30 9.85e-30 2.61e-22 5.23e-15 1.40e-08 1.10e-03 9.97e-01 1.93e-03 
7073.50 2.06e-29 5.07e-22 9.99e-15 2.44e-08 1.54e-03 9.98e-01 9.27e-04 
7505.58 3.57e-29 9.69e-22 1.88e-14 4.24e-08 2.23e-03 9.97e-01 4.69e-04 
7964.05 1.03e-28 2.83e-21 5.28e-14 1.01e-07 3.83e-03 9.96e-01 1.52e-04 
8450.53 6.30e-28 1.62e-20 2.70e-13 3.85e-07 8.51e-03 9.91e-01 3.21e-05 
8966.72 5.06e-27 1.27e-19 1.85e-12 1.87e-06 2.18e-02 9.78e-01 4.99e-06 
9514.44 1.06e-25 2.39e-18 2.81e-11 1.68e-05 8.01e-02 9.20e-01 3.32e-07 
10095.62 6.42e-24 1.33e-16 1.07e-09 2.87e-04 3.73e-01 6.27e-01 5.80e-09 
10712.30 5.39e-22 8.81e-15 4.46e-08 4.12e-03 8.77e-01 1.18e-01 7.31e-12 
11366.65 7.28e-20 9.50e-13 2.58e-06 5.54e-02 9.41e-01 3.86e-03 1.74e-16 
12061.10 1.65e-17 1.84e-10 2.24e-04 6.59e-01 3.41e-01 8.68e-06 2.04e-23 
12793.43 1.03e-15 9.34e-09 4.37e-03 9.88e-01 8.01e-03 3.79e-10 5.90e-33 
13528.61 1.11e-13 6.94e-07 8.97e-02 9.10e-01 5.29e-05 1.93e-15 2.83e-36 
14194.74 3.86e-12 1.87e-05 6.73e-01 3.27e-01 6.47e-08 1.41e-21 1.01e-36 
14757.77 2.44e-11 8.81e-05 9.66e-01 3.41e-02 7.45e-11 2.36e-27 1.10e-36 
15240.48 1.25e-10 2.89e-04 9.97e-01 3.11e-03 1.39e-13 1.60e-29 2.13e-36 
15646.99 8.15e-10 1.01e-03 9.99e-01 3.01e-04 3.63e-16 9.14e-30 3.86e-36 
15960.30 6.45e-09 3.68e-03 9.96e-01 1.87e-05 3.05e-19 9.51e-30 6.10e-36 
16187.41 2.50e-08 8.83e-03 9.91e-01 4.80e-06 5.64e-21 3.29e-29 1.31e-35 
16354.17 8.80e-08 2.10e-02 9.79e-01 5.18e-07 2.91e-23 1.21e-29 2.09e-35 
16484.18 1.40e-07 3.11e-02 9.69e-01 2.77e-07 4.73e-24 3.13e-29 3.59e-35 
16593.12 1.80e-07 3.91e-02 9.61e-01 9.51e-08 4.27e-25 8.42e-29 5.29e-35 
16691.99 3.09e-07 6.04e-02 9.40e-01 4.03e-08 3.53e-26 2.64e-29 6.81e-35 
16788.59 4.16e-07 7.55e-02 9.25e-01 3.32e-07 1.12e-25 1.40e-27 8.28e-35 
16888.37 6.79e-07 1.18e-01 8.82e-01 5.21e-09 1.95e-28 3.06e-29 9.94e-35 
16998.79 1.05e-06 1.57e-01 8.43e-01 2.23e-09 2.47e-29 1.31e-28 1.21e-34 
17146.37 1.89e-06 2.36e-01 7.64e-01 5.20e-10 7.85e-31 1.49e-28 1.50e-34 
17415.23 4.43e-06 4.37e-01 5.63e-01 3.39e-11 1.87e-31 1.02e-28 1.96e-34 
17888.12 1.18e-05 7.59e-01 2.41e-01 5.61e-13 8.77e-32 9.49e-29 2.80e-34 
18532.37 2.18e-05 9.25e-01 7.54e-02 4.46e-15 1.94e-31 8.93e-28 3.41e-34 
19260.76 3.23e-05 9.72e-01 2.76e-02 5.78e-17 5.23e-31 2.43e-27 4.02e-34 
20034.10 2.66e-05 9.89e-01 1.09e-02 8.65e-19 1.53e-30 6.34e-26 4.89e-34 
20838.00 3.48e-05 9.98e-01 2.26e-03 7.14e-21 1.11e-31 7.62e-27 5.67e-34 
21647.97 3.73e-05 1.00e+00 3.84e-04 9.86e-23 2.66e-33 1.31e-28 5.90e-34 
22447.94 5.74e-05 1.00e+00 2.78e-04 5.71e-24 4.23e-32 5.86e-28 6.59e-34 
23245.88 6.62e-05 1.00e+00 8.04e-05 1.41e-25 2.11e-32 9.42e-28 7.63e-34 
24052.47 9.67e-05 1.00e+00 1.15e-05 4.53e-27 1.99e-33 8.95e-34 8.95e-34 
24867.72 7.79e-05 1.00e+00 1.72e-05 1.37e-26 2.40e-33 1.08e-33 1.08e-33 
