#NTIMES:    67
#NSTAGES:     2
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.484663E+02   5.0650E-007   1.0000E+000
    8.542546E+02   5.0650E-007   1.0000E+000
    8.718573E+02   5.0650E-007   1.0000E+000
    9.081584E+02   5.0650E-007   1.0000E+000
    9.674554E+02   5.0650E-007   1.0000E+000
    1.028597E+03   5.0653E-007   1.0000E+000
    1.093605E+03   5.0622E-007   1.0000E+000
    1.162722E+03   5.0536E-007   1.0000E+000
    1.236207E+03   5.0526E-007   1.0000E+000
    1.314336E+03   5.0975E-007   1.0000E+000
    1.397402E+03   4.4707E-007   1.0000E+000
    1.485719E+03   3.9973E-007   1.0000E+000
    1.579618E+03   3.9764E-007   1.0000E+000
    1.679450E+03   3.6899E-007   1.0000E+000
    1.785593E+03   3.3110E-007   1.0000E+000
    1.898443E+03   2.9361E-007   1.0000E+000
    2.018426E+03   2.6467E-007   1.0000E+000
    2.145992E+03   2.3302E-007   1.0000E+000
    2.281620E+03   2.0688E-007   1.0000E+000
    2.425820E+03   1.8213E-007   1.0000E+000
    2.579133E+03   1.6473E-007   1.0000E+000
    2.742135E+03   1.5162E-007   1.0000E+000
    2.915440E+03   1.4253E-007   1.0000E+000
    3.099698E+03   1.3682E-007   1.0000E+000
    3.295601E+03   1.4074E-007   1.0000E+000
    3.503885E+03   1.4517E-007   1.0000E+000
    3.725332E+03   1.9413E-007   1.0000E+000
    3.960775E+03   2.6799E-007   1.0000E+000
    4.211099E+03   2.1100E-007   1.0000E+000
    4.477243E+03   2.0348E-007   1.0000E+000
    4.760207E+03   1.9051E-007   1.0000E+000
    5.061055E+03   1.7386E-007   1.0000E+000
    5.380917E+03   1.5990E-007   1.0000E+000
    5.720994E+03   1.4893E-007   1.0000E+000
    6.082565E+03   1.4463E-007   1.0000E+000
    6.466986E+03   1.4349E-007   1.0000E+000
    6.875704E+03   1.4261E-007   1.0000E+000
    7.310253E+03   1.4703E-007   1.0000E+000
    7.772265E+03   1.5123E-007   1.0000E+000
    8.263477E+03   1.6411E-007   1.0000E+000
    8.785734E+03   1.9283E-007   1.0000E+000
    9.340997E+03   3.6643E-007   1.0000E+000
    9.929841E+03   1.1178E-006   1.0000E+000
    1.041447E+04   2.6614E-006   1.0000E+000
    1.083674E+04   7.4537E-006   9.9999E-001
    1.136786E+04   9.2831E-005   9.9991E-001
    1.167027E+04   3.0859E-004   9.9969E-001
    1.185735E+04   5.6899E-004   9.9943E-001
    1.198132E+04   9.5382E-004   9.9905E-001
    1.207995E+04   1.4088E-003   9.9859E-001
    1.216774E+04   1.8431E-003   9.9816E-001
    1.225420E+04   2.2625E-003   9.9774E-001
    1.234075E+04   2.6514E-003   9.9735E-001
    1.244043E+04   3.0224E-003   9.9698E-001
    1.256653E+04   3.3283E-003   9.9667E-001
    1.291944E+04   2.5728E-003   9.9743E-001
    1.356464E+04   1.2330E-003   9.9877E-001
    1.414194E+04   8.2075E-004   9.9918E-001
    1.463678E+04   7.7285E-004   9.9923E-001
    1.515385E+04   7.0444E-004   9.9930E-001
    1.570238E+04   7.4900E-004   9.9925E-001
    1.628316E+04   1.3801E-003   9.9862E-001
    1.695591E+04   2.2598E-003   9.9774E-001
    1.773545E+04   3.4975E-003   9.9650E-001
    1.852426E+04   4.1907E-003   9.9581E-001
    1.933673E+04   4.0132E-003   9.9599E-001
    2.006825E+04   2.6160E-003   9.9738E-001
    2.082304E+04   1.6850E-003   9.9832E-001
    2.162788E+04   1.4764E-003   9.9852E-001
    2.248295E+04   8.6863E-004   9.9913E-001
    2.340334E+04   7.7896E-004   9.9922E-001
    2.427003E+04   4.9202E-004   9.9951E-001
    2.528269E+04   3.8087E-004   9.9962E-001
    2.627013E+04   3.6461E-004   9.9964E-001
    2.723040E+04   2.3015E-004   9.9977E-001
    2.827004E+04   1.7928E-004   9.9982E-001
    2.934273E+04   1.2709E-004   9.9987E-001
    3.052012E+04   9.4840E-005   9.9991E-001
    3.176086E+04   7.7098E-005   9.9992E-001
    3.295538E+04   7.0782E-005   9.9993E-001
    3.403161E+04   6.4151E-005   9.9994E-001
    3.500379E+04   5.5345E-005   9.9994E-001
    3.593430E+04   4.7230E-005   9.9995E-001
    3.686142E+04   4.0844E-005   9.9996E-001
    3.781660E+04   3.6337E-005   9.9996E-001
    3.881204E+04   3.3771E-005   9.9997E-001
    3.984228E+04   3.2134E-005   9.9997E-001
    4.090108E+04   3.0809E-005   9.9997E-001
    4.198933E+04   2.9561E-005   9.9997E-001
    4.310952E+04   2.8257E-005   9.9997E-001
    4.426353E+04   2.6854E-005   9.9997E-001
    4.545322E+04   2.5362E-005   9.9997E-001
    4.667980E+04   2.3808E-005   9.9998E-001
    4.794258E+04   2.2191E-005   9.9998E-001
    4.924062E+04   2.0489E-005   9.9998E-001
    5.057272E+04   1.8693E-005   9.9998E-001
    5.193717E+04   1.6823E-005   9.9998E-001
    5.333235E+04   1.4920E-005   9.9999E-001
    5.475676E+04   1.3035E-005   9.9999E-001
    5.620758E+04   1.1206E-005   9.9999E-001
    5.768166E+04   9.4998E-006   9.9999E-001
    5.917412E+04   7.9518E-006   9.9999E-001
    6.067730E+04   6.6073E-006   9.9999E-001
    6.217708E+04   5.5064E-006   9.9999E-001
    6.366086E+04   4.5755E-006   1.0000E+000
    6.510379E+04   3.9291E-006   1.0000E+000
    6.648389E+04   3.3253E-006   1.0000E+000
    6.776932E+04   3.0499E-006   1.0000E+000
    6.895129E+04   2.6755E-006   1.0000E+000
    6.949055E+04   2.5939E-006   1.0000E+000
    6.976176E+04   2.5479E-006   1.0000E+000
    6.989776E+04   2.5284E-006   1.0000E+000
    6.996586E+04   2.5358E-006   1.0000E+000
    6.999823E+04   2.5368E-006   1.0000E+000
    6.999993E+04   2.5381E-006   1.0000E+000
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.484664E+02   4.2675E-007   1.0000E+000
    8.543246E+02   4.2675E-007   1.0000E+000
    8.721432E+02   4.2675E-007   1.0000E+000
    9.089031E+02   4.2675E-007   1.0000E+000
    9.682894E+02   4.2676E-007   1.0000E+000
    1.029084E+03   4.2680E-007   1.0000E+000
    1.093701E+03   4.2652E-007   1.0000E+000
    1.162375E+03   4.2552E-007   1.0000E+000
    1.235362E+03   4.2410E-007   1.0000E+000
    1.312931E+03   4.2279E-007   1.0000E+000
    1.395371E+03   3.7347E-007   1.0000E+000
    1.482988E+03   3.3732E-007   1.0000E+000
    1.576106E+03   3.3154E-007   1.0000E+000
    1.675071E+03   3.0838E-007   1.0000E+000
    1.780251E+03   2.7730E-007   1.0000E+000
    1.892034E+03   2.4538E-007   1.0000E+000
    2.010837E+03   2.2141E-007   1.0000E+000
    2.137099E+03   1.9481E-007   1.0000E+000
    2.271289E+03   1.7287E-007   1.0000E+000
    2.413905E+03   1.5225E-007   1.0000E+000
    2.565477E+03   1.3750E-007   1.0000E+000
    2.726565E+03   1.2642E-007   1.0000E+000
    2.897769E+03   1.1891E-007   1.0000E+000
    3.079722E+03   1.1384E-007   1.0000E+000
    3.273101E+03   1.1694E-007   1.0000E+000
    3.478622E+03   1.1668E-007   1.0000E+000
    3.697048E+03   1.5726E-007   1.0000E+000
    3.929188E+03   2.2278E-007   1.0000E+000
    4.175906E+03   1.7498E-007   1.0000E+000
    4.438115E+03   1.7430E-007   1.0000E+000
    4.716788E+03   1.6460E-007   1.0000E+000
    5.012959E+03   1.5121E-007   1.0000E+000
    5.327727E+03   1.3900E-007   1.0000E+000
    5.662260E+03   1.2907E-007   1.0000E+000
