#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] v0 v1 v2 v3 v4 v5 v6 v7 v8
4.242332e+02 1.787668e-25 2.087787e-17 1.761570e-10 4.580083e-05 1.139149e-01 8.860046e-01 3.470946e-05 1.357062e-12 6.002388e-23 
8.515108e+02 1.080257e-24 7.008810e-17 3.523695e-10 6.076445e-05 1.189569e-01 8.809238e-01 5.857822e-05 4.829006e-12 5.587757e-22 
8.638199e+02 1.617222e-25 1.408817e-17 9.753346e-11 2.442505e-05 7.452557e-02 9.253175e-01 1.325455e-04 2.559211e-11 7.627617e-21 
8.922215e+02 8.655980e-26 8.694666e-18 6.915112e-11 1.963312e-05 6.750697e-02 9.323312e-01 1.421708e-04 2.920789e-11 9.052511e-21 
9.416122e+02 9.746180e-26 1.136645e-17 9.930301e-11 2.860025e-05 8.665998e-02 9.132440e-01 6.738857e-05 5.621852e-12 5.990095e-22 
1.002576e+03 1.681941e-25 1.862149e-17 1.513747e-10 3.964576e-05 1.036797e-01 8.962344e-01 4.625339e-05 2.546940e-12 1.681941e-22 
1.065938e+03 1.900705e-25 2.093182e-17 1.684169e-10 4.294632e-05 1.085086e-01 8.914068e-01 4.162304e-05 2.033033e-12 1.174107e-22 
1.133306e+03 1.374697e-25 1.555578e-17 1.290286e-10 3.497036e-05 9.671115e-02 9.032001e-01 5.378201e-05 3.509095e-12 2.809688e-22 
1.204932e+03 1.018837e-25 1.162989e-17 1.000512e-10 2.846390e-05 8.612468e-02 9.137767e-01 7.012137e-05 6.156998e-12 6.975488e-22 
1.281084e+03 2.310241e-26 2.825095e-18 2.811893e-11 1.025747e-05 4.792100e-02 9.518192e-01 2.495060e-04 9.346575e-11 5.676592e-20 
1.362050e+03 1.315257e-27 1.876433e-19 2.507756e-12 1.471334e-06 1.546742e-02 9.820584e-01 2.472683e-03 1.329286e-08 1.750168e-16 
1.448132e+03 2.318362e-28 3.616536e-20 5.721684e-13 4.426209e-07 7.583931e-03 9.824024e-01 1.001295e-02 2.806864e-07 2.509984e-14 
1.539655e+03 4.833883e-29 8.141277e-21 1.522855e-13 1.508317e-07 3.997949e-03 9.631422e-01 3.285587e-02 3.852569e-06 1.795442e-12 
1.636962e+03 1.012162e-29 1.867899e-21 4.117660e-14 5.152826e-08 2.056530e-03 9.017445e-01 9.615541e-02 4.347697e-05 9.615541e-11 
1.740419e+03 1.336552e-30 2.787666e-22 7.637440e-15 1.279271e-08 8.210248e-04 7.191923e-01 2.794030e-01 5.836277e-04 7.510150e-09 
1.850415e+03 1.457395e-31 3.519076e-23 1.199685e-15 2.692627e-09 2.710400e-04 4.469938e-01 5.483005e-01 4.434392e-03 2.710400e-07 
1.967362e+03 1.201221e-32 3.300441e-24 1.399480e-16 4.093480e-10 6.379298e-05 1.982597e-01 7.767116e-01 2.495740e-02 7.463895e-06 
2.091700e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.223897e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.364448e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.513883e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.672762e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.841682e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.021278e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.212225e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.415240e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.631085e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.860572e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.104562e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
4.363973e+03 1.950823e-23 3.262469e-15 2.476813e-08 2.616633e-03 7.856558e-01 2.117276e-01 5.053498e-09 2.763111e-20 3.788459e-35 
4.639779e+03 8.401192e-22 1.030821e-13 4.509842e-07 1.695701e-02 9.586636e-01 2.437892e-02 6.030303e-12 1.535923e-25 4.308832e-43 
4.933016e+03 4.078347e-21 4.430153e-13 1.528837e-06 3.613615e-02 9.555232e-01 8.339112e-03 2.566883e-13 5.602841e-28 9.251202e-47 
