#NTIMES 50
#time[d] Lbol[erg/s] Edep[erg/s] 
199.16 1.04e+41 1.02e+41
202.03 1.00e+41 9.85e+40
204.93 9.64e+40 9.50e+40
207.87 9.26e+40 9.12e+40
210.86 8.90e+40 8.74e+40
213.89 8.57e+40 8.40e+40
216.97 8.22e+40 8.07e+40
220.09 7.87e+40 7.75e+40
223.25 7.57e+40 7.44e+40
226.46 7.26e+40 7.14e+40
229.71 6.97e+40 6.85e+40
233.01 6.67e+40 6.57e+40
236.36 6.39e+40 6.30e+40
239.76 6.14e+40 6.04e+40
243.21 5.87e+40 5.79e+40
246.70 5.62e+40 5.54e+40
250.25 5.39e+40 5.31e+40
253.85 5.16e+40 5.09e+40
257.50 4.94e+40 4.87e+40
261.20 4.73e+40 4.67e+40
264.95 4.53e+40 4.47e+40
268.76 4.33e+40 4.28e+40
272.62 4.14e+40 4.08e+40
276.54 3.96e+40 3.90e+40
280.51 3.78e+40 3.73e+40
284.55 3.61e+40 3.57e+40
288.64 3.44e+40 3.41e+40
292.79 3.30e+40 3.25e+40
296.99 3.14e+40 3.11e+40
301.26 2.99e+40 2.96e+40
305.59 2.85e+40 2.82e+40
309.99 2.72e+40 2.69e+40
314.44 2.60e+40 2.57e+40
318.96 2.48e+40 2.45e+40
323.55 2.35e+40 2.33e+40
328.19 2.24e+40 2.22e+40
332.91 2.13e+40 2.11e+40
337.70 2.03e+40 2.01e+40
342.55 1.93e+40 1.91e+40
347.48 1.83e+40 1.81e+40
352.47 1.74e+40 1.73e+40
357.54 1.65e+40 1.63e+40
362.68 1.56e+40 1.55e+40
367.89 1.48e+40 1.47e+40
373.18 1.41e+40 1.40e+40
378.54 1.33e+40 1.32e+40
383.98 1.26e+40 1.25e+40
389.50 1.20e+40 1.18e+40
395.10 1.13e+40 1.12e+40
400.78 1.07e+40 1.06e+40
