#NTIMES: 398
#time[d] Lbol[erg/s] Edep[erg/s]
1.30000e+00 -1.24700e+39 7.89800e+42
1.30000e+00 -6.94000e+38 7.89800e+42
1.30000e+00 3.41700e+38 7.89800e+42
1.30000e+00 1.70000e+39 7.89800e+42
1.30000e+00 3.11500e+39 7.89800e+42
1.30100e+00 4.39900e+39 7.89700e+42
1.30100e+00 5.39300e+39 7.89700e+42
1.30300e+00 5.91400e+39 7.89600e+42
1.30400e+00 6.08400e+39 7.89500e+42
1.30500e+00 6.06600e+39 7.89400e+42
1.30700e+00 5.94100e+39 7.89300e+42
1.30800e+00 5.75300e+39 7.89200e+42
1.31000e+00 5.52700e+39 7.89100e+42
1.31200e+00 5.28200e+39 7.88900e+42
1.31400e+00 5.02700e+39 7.88800e+42
1.31700e+00 4.76900e+39 7.88600e+42
1.31900e+00 4.51400e+39 7.88400e+42
1.32200e+00 4.26400e+39 7.88200e+42
1.32400e+00 4.02300e+39 7.88100e+42
1.32700e+00 3.79000e+39 7.87800e+42
1.33000e+00 3.56700e+39 7.87700e+42
1.33300e+00 3.35500e+39 7.87400e+42
1.33600e+00 3.15300e+39 7.87200e+42
1.33900e+00 2.96200e+39 7.87000e+42
1.34300e+00 2.78200e+39 7.86700e+42
1.34600e+00 2.61200e+39 7.86500e+42
1.35000e+00 2.45200e+39 7.86200e+42
1.35400e+00 2.30200e+39 7.85900e+42
1.35800e+00 2.16100e+39 7.85600e+42
1.36200e+00 2.02900e+39 7.85300e+42
1.36600e+00 1.90500e+39 7.85000e+42
1.37100e+00 1.78900e+39 7.84700e+42
1.37500e+00 1.68100e+39 7.84400e+42
1.38000e+00 1.58000e+39 7.84000e+42
1.38500e+00 1.48600e+39 7.83600e+42
1.39100e+00 1.39700e+39 7.83300e+42
1.39600e+00 1.31400e+39 7.82900e+42
1.40200e+00 1.23700e+39 7.82400e+42
1.40900e+00 1.16600e+39 7.82000e+42
1.41500e+00 1.10100e+39 7.81500e+42
1.42200e+00 1.03900e+39 7.81000e+42
1.43000e+00 9.82700e+38 7.80400e+42
1.43800e+00 9.30300e+38 7.79800e+42
1.44700e+00 8.95500e+38 7.79200e+42
1.45700e+00 8.45800e+38 7.78500e+42
1.46800e+00 8.06000e+38 7.77800e+42
1.47900e+00 7.70100e+38 7.76900e+42
1.49300e+00 7.38300e+38 7.76000e+42
