#NTIMES: 108
#time[d] Lbol[erg/s] Edep[erg/s] 
2.037028e+00 5.728153e+39 1.154436e+44 
2.112455e+00 4.687449e+39 7.438221e+42 
2.190675e+00 4.051888e+39 7.379387e+42 
2.271792e+00 3.767425e+39 7.328626e+42 
2.355913e+00 4.434801e+39 7.276086e+42 
2.443148e+00 5.283183e+39 7.216089e+42 
2.533613e+00 7.277977e+39 7.156782e+42 
2.627428e+00 8.444771e+39 7.084705e+42 
2.724717e+00 1.007377e+40 7.031482e+42 
2.825608e+00 1.212359e+40 6.962460e+42 
2.930235e+00 1.500209e+40 6.913666e+42 
3.038736e+00 1.742458e+40 6.838758e+42 
3.151255e+00 2.151393e+40 6.770359e+42 
3.267940e+00 2.783052e+40 6.690912e+42 
3.388946e+00 3.261234e+40 6.632519e+42 
3.514432e+00 4.109497e+40 6.563031e+42 
3.644565e+00 5.086547e+40 6.484595e+42 
3.779516e+00 6.135233e+40 6.391821e+42 
3.919465e+00 7.403027e+40 6.320388e+42 
4.064595e+00 8.653232e+40 6.245689e+42 
4.215100e+00 9.912888e+40 6.159633e+42 
4.371177e+00 1.139130e+41 6.072744e+42 
4.533034e+00 1.285959e+41 5.989209e+42 
4.700883e+00 1.438070e+41 5.910124e+42 
4.874948e+00 1.620298e+41 5.821203e+42 
5.055458e+00 1.793782e+41 5.729871e+42 
5.242653e+00 1.998784e+41 5.643193e+42 
5.436778e+00 2.220955e+41 5.540129e+42 
5.638092e+00 2.429736e+41 5.457447e+42 
5.846861e+00 2.651635e+41 5.356406e+42 
6.063359e+00 2.944410e+41 5.262534e+42 
6.287873e+00 3.226383e+41 5.168089e+42 
6.520702e+00 3.500644e+41 5.065310e+42 
6.762152e+00 3.786344e+41 4.969067e+42 
7.012541e+00 4.147376e+41 4.869317e+42 
7.272203e+00 4.506272e+41 4.772793e+42 
7.541479e+00 4.873085e+41 4.667939e+42 
7.820726e+00 5.327618e+41 4.563271e+42 
8.110313e+00 5.812650e+41 4.460214e+42 
8.410623e+00 6.364029e+41 4.357259e+42 
8.722052e+00 6.972253e+41 4.251576e+42 
9.045013e+00 7.566251e+41 4.154300e+42 
9.379933e+00 8.286905e+41 4.044566e+42 
9.727255e+00 9.069350e+41 3.945018e+42 
1.008744e+01 9.922159e+41 3.841918e+42 
1.046096e+01 1.085382e+42 3.734028e+42 
1.084831e+01 1.183218e+42 3.631179e+42 
1.125000e+01 1.290155e+42 3.533013e+42 
1.166656e+01 1.401200e+42 3.425580e+42 
1.209856e+01 1.515557e+42 3.329122e+42 
1.254655e+01 1.643108e+42 3.227700e+42 
1.301112e+01 1.765439e+42 3.134566e+42 
1.349289e+01 1.890118e+42 3.032451e+42 
1.399251e+01 2.022087e+42 2.943158e+42 
1.451063e+01 2.145029e+42 2.842576e+42 
1.504793e+01 2.274251e+42 2.750667e+42 
1.560513e+01 2.383952e+42 2.659956e+42 
1.618296e+01 2.490486e+42 2.572238e+42 
1.678218e+01 2.582166e+42 2.483529e+42 
1.740360e+01 2.660009e+42 2.400169e+42 
1.804802e+01 2.722009e+42 2.317477e+42 
1.871630e+01 2.767462e+42 2.237559e+42 
1.940933e+01 2.794690e+42 2.158187e+42 
2.012802e+01 2.795843e+42 2.080812e+42 
2.087333e+01 2.781462e+42 2.007918e+42 
2.164623e+01 2.734716e+42 1.936375e+42 
2.244774e+01 2.687501e+42 1.868767e+42 
2.327894e+01 2.610352e+42 1.800500e+42 
2.414092e+01 2.517153e+42 1.733582e+42 
2.503481e+01 2.418130e+42 1.672704e+42 
2.596181e+01 2.303112e+42 1.610317e+42 
2.692312e+01 2.191927e+42 1.554004e+42 
2.792004e+01 2.069119e+42 1.495526e+42 
2.895387e+01 1.942111e+42 1.438978e+42 
3.002597e+01 1.818587e+42 1.386509e+42 
3.113778e+01 1.699858e+42 1.333834e+42 
3.229075e+01 1.580425e+42 1.284893e+42 
3.348642e+01 1.465547e+42 1.235562e+42 
3.472636e+01 1.366290e+42 1.186656e+42 
3.601222e+01 1.280065e+42 1.140377e+42 
3.734568e+01 1.206895e+42 1.095090e+42 
3.872852e+01 1.140500e+42 1.048964e+42 
4.016256e+01 1.082803e+42 1.004273e+42 
4.164970e+01 1.028166e+42 9.611797e+41 
4.319192e+01 9.758915e+41 9.196843e+41 
4.479123e+01 9.197818e+41 8.780234e+41 
4.644977e+01 8.674477e+41 8.382390e+41 
4.816972e+01 8.170594e+41 7.973004e+41 
4.995336e+01 7.662707e+41 7.593534e+41 
5.180304e+01 7.254936e+41 7.209376e+41 
5.372120e+01 6.837059e+41 6.840428e+41 
5.571040e+01 6.457793e+41 6.464845e+41 
5.777325e+01 6.093972e+41 6.115187e+41 
5.991249e+01 5.755462e+41 5.768628e+41 
6.213094e+01 5.417008e+41 5.429089e+41 
6.443153e+01 5.090295e+41 5.106856e+41 
6.681731e+01 4.796745e+41 4.783179e+41 
6.929144e+01 4.494808e+41 4.474353e+41 
7.185717e+01 4.212296e+41 4.179970e+41 
7.451791e+01 3.948727e+41 3.897407e+41 
7.727716e+01 3.684719e+41 3.625306e+41 
8.013859e+01 3.442321e+41 3.368610e+41 
8.310597e+01 3.214603e+41 3.121436e+41 
8.618323e+01 2.985150e+41 2.883823e+41 
8.937444e+01 2.780275e+41 2.668240e+41 
9.268381e+01 2.579059e+41 2.456291e+41 
9.611572e+01 2.384297e+41 2.260817e+41 
9.967470e+01 2.197941e+41 2.076529e+41 
