#NTIMES:  59
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
1.30000e+00  -3.001  -5.151  -7.941  -9.907 -10.287 -11.745 -11.879 -12.307
1.43000e+00  -3.088  -5.596  -8.345 -10.254 -10.598 -12.003 -12.097 -12.508
1.57300e+00  -3.325  -6.158  -8.810 -10.648 -10.946 -12.291 -12.348 -12.736
1.73000e+00  -3.698  -6.823  -9.329 -11.093 -11.328 -12.602 -12.631 -12.992
1.90000e+00  -4.271  -7.572  -9.875 -11.570 -11.728 -12.918 -12.938 -13.255
2.09000e+00  -5.056  -8.364 -10.482 -12.088 -12.159 -13.238 -13.261 -13.514
2.30000e+00  -5.829  -9.096 -11.165 -12.610 -12.615 -13.547 -13.585 -13.771
2.53000e+00  -6.572  -9.735 -11.786 -13.062 -13.040 -13.837 -13.901 -14.035
2.78300e+00  -7.404 -10.340 -12.320 -13.458 -13.428 -14.118 -14.207 -14.308
3.06100e+00  -8.342 -10.933 -12.802 -13.818 -13.786 -14.398 -14.502 -14.583
3.36700e+00  -9.272 -11.511 -13.251 -14.154 -14.122 -14.675 -14.785 -14.855
3.70400e+00 -10.080 -12.035 -13.662 -14.472 -14.437 -14.945 -15.055 -15.120
4.07400e+00 -10.753 -12.501 -14.034 -14.772 -14.731 -15.204 -15.310 -15.371
4.48100e+00 -11.324 -12.916 -14.377 -15.056 -15.009 -15.452 -15.553 -15.610
4.92900e+00 -11.804 -13.283 -14.693 -15.324 -15.269 -15.689 -15.783 -15.836
5.42200e+00 -12.219 -13.615 -14.992 -15.575 -15.517 -15.916 -16.001 -16.051
5.96400e+00 -12.576 -13.911 -15.269 -15.809 -15.752 -16.132 -16.208 -16.253
6.56000e+00 -12.885 -14.175 -15.525 -16.028 -15.978 -16.339 -16.406 -16.446
7.21600e+00 -13.153 -14.411 -15.760 -16.237 -16.197 -16.539 -16.595 -16.633
7.93800e+00 -13.389 -14.629 -15.984 -16.444 -16.412 -16.734 -16.781 -16.817
8.73200e+00 -13.618 -14.847 -16.206 -16.655 -16.629 -16.929 -16.964 -16.997
9.60000e+00 -13.857 -15.077 -16.426 -16.858 -16.843 -17.094 -17.110 -17.136
1.05600e+01 -14.121 -15.331 -16.664 -17.083 -17.069 -17.287 -17.288 -17.302
1.16200e+01 -14.398 -15.592 -16.899 -17.304 -17.286 -17.471 -17.467 -17.466
1.27800e+01 -14.679 -15.851 -17.125 -17.511 -17.493 -17.634 -17.619 -17.591
1.40600e+01 -14.963 -16.091 -17.336 -17.709 -17.686 -17.804 -17.789 -17.734
1.54700e+01 -15.198 -16.294 -17.514 -17.867 -17.847 -17.910 -17.900 -17.801
1.70200e+01 -15.270 -16.377 -17.633 -17.987 -17.991 -17.976 -17.974 -17.825
1.87200e+01 -15.298 -16.432 -17.723 -18.056 -18.079 -17.998 -18.036 -17.890
2.05900e+01 -15.289 -16.437 -17.758 -18.092 -18.153 -17.980 -18.078 -17.902
2.26500e+01 -15.217 -16.370 -17.741 -18.088 -18.202 -17.918 -18.104 -17.911
2.49100e+01 -15.096 -16.245 -17.674 -18.038 -18.216 -17.777 -18.100 -17.906
2.74000e+01 -14.937 -16.066 -17.549 -17.929 -18.188 -17.548 -18.052 -17.873
3.01400e+01 -14.769 -15.835 -17.345 -17.768 -18.131 -17.420 -18.009 -17.858
3.31500e+01 -14.588 -15.560 -17.075 -17.561 -17.999 -17.476 -17.970 -17.877
3.64600e+01 -14.421 -15.299 -16.777 -17.296 -17.794 -17.432 -17.801 -17.733
4.01100e+01 -14.303 -15.089 -16.503 -17.037 -17.593 -17.248 -17.609 -17.516
4.41200e+01 -14.313 -14.928 -16.291 -16.820 -17.407 -16.886 -17.377 -17.169
4.85300e+01 -14.310 -14.822 -16.124 -16.627 -17.213 -16.473 -17.117 -16.801
5.33800e+01 -14.277 -14.751 -15.986 -16.456 -17.014 -16.099 -16.876 -16.506
5.87200e+01 -14.236 -14.694 -15.859 -16.293 -16.812 -15.725 -16.646 -16.243
6.45900e+01 -14.179 -14.637 -15.728 -16.128 -16.606 -15.344 -16.415 -15.987
7.10500e+01 -14.086 -14.568 -15.582 -15.952 -16.396 -14.958 -16.166 -15.720
7.81600e+01 -13.962 -14.483 -15.416 -15.759 -16.180 -14.570 -15.890 -15.431
8.60000e+01 -13.790 -14.374 -15.225 -15.540 -15.958 -14.197 -15.576 -15.106
9.46000e+01 -13.585 -14.244 -15.000 -15.309 -15.729 -13.873 -15.224 -14.748
1.04100e+02 -13.344 -14.083 -14.764 -15.024 -15.495 -13.620 -14.835 -14.350
1.14500e+02 -13.059 -13.888 -14.481 -14.727 -15.246 -13.445 -14.433 -13.932
1.26000e+02 -12.817 -13.706 -14.201 -14.385 -14.989 -13.324 -14.097 -13.541
1.38600e+02 -12.474 -13.452 -13.880 -14.024 -14.717 -13.222 -13.789 -13.150
1.52500e+02 -12.084 -13.150 -13.524 -13.655 -14.456 -13.096 -13.546 -12.787
1.67800e+02 -11.656 -12.814 -13.147 -13.302 -14.202 -12.928 -13.350 -12.458
1.84600e+02 -11.185 -12.430 -12.739 -12.973 -13.951 -12.723 -13.181 -12.140
2.03100e+02 -10.692 -12.016 -12.314 -12.653 -13.688 -12.489 -13.021 -11.827
2.23400e+02 -10.189 -11.568 -11.864 -12.331 -13.408 -12.247 -12.859 -11.497
2.45800e+02  -9.699 -11.085 -11.397 -12.001 -13.136 -12.044 -12.691 -11.149
2.70400e+02  -9.206 -10.559 -10.895 -11.647 -12.804 -11.827 -12.508 -10.716
2.97400e+02  -8.726  -9.988 -10.338 -11.244 -12.403 -11.593 -12.302 -10.235
3.20000e+02  -8.335  -9.469  -9.825 -10.872 -12.030 -11.386 -12.106  -9.758
