#NTIMES: 128
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
2.03703e+00  -7.387  -7.438  -9.023 -10.630 -11.133 -12.146 -12.823 -13.174
2.11246e+00  99.999  -6.817  -9.832 -10.945 -11.688 -12.611 -12.195 -12.489
2.19068e+00  99.999  -6.714  -9.798 -10.171 -10.569 -11.756 -12.759 -12.896
2.27179e+00  99.999  -7.282  -9.345 -10.769 -11.357 -11.937 -12.342 -13.119
2.35591e+00  99.999  -7.664 -10.064 -10.882 -11.223 -12.545 -12.381 -13.320
2.44315e+00  99.999  -6.548 -10.119 -11.169 -11.996 -12.636 -13.259 -13.470
2.53361e+00  99.999  -7.607 -10.396 -11.369 -11.948 -12.858 -13.285 -13.796
2.62743e+00  99.999  -8.446 -10.730 -11.727 -11.985 -12.996 -13.218 -13.591
2.72472e+00  99.999  -7.646 -10.753 -11.649 -12.165 -12.800 -13.312 -13.353
2.82561e+00  99.999  -8.379 -11.310 -11.963 -12.564 -12.933 -13.736 -14.050
2.93024e+00  99.999  -7.991 -11.052 -12.181 -12.623 -13.591 -13.791 -14.070
3.03874e+00  99.999  -8.600 -11.573 -12.562 -12.793 -13.733 -13.960 -14.536
3.15125e+00  99.999  -9.438 -11.874 -12.769 -13.139 -14.043 -14.195 -14.310
3.26794e+00  99.999  -9.670 -12.062 -12.899 -13.320 -14.286 -14.412 -14.545
3.38895e+00  99.999 -10.007 -12.325 -13.193 -13.474 -14.211 -14.665 -14.594
3.51443e+00  99.999 -10.434 -12.671 -13.492 -13.778 -14.400 -14.973 -15.050
3.64457e+00  -3.940 -11.094 -12.939 -13.848 -14.082 -14.586 -15.000 -15.114
3.77952e+00  -3.630 -11.307 -13.263 -14.001 -14.313 -14.822 -15.161 -15.484
3.91947e+00  -7.746 -11.773 -13.430 -14.246 -14.492 -15.016 -15.212 -15.451
4.06459e+00  -9.557 -12.139 -13.724 -14.324 -14.648 -15.038 -15.293 -15.657
4.21510e+00  -9.585 -12.433 -13.866 -14.531 -14.684 -15.092 -15.374 -15.501
4.37118e+00  -9.908 -12.664 -14.062 -14.672 -14.923 -15.234 -15.590 -15.801
4.53303e+00 -10.862 -12.925 -14.246 -14.787 -15.055 -15.390 -15.581 -15.876
4.70088e+00 -11.276 -13.190 -14.396 -14.925 -15.155 -15.483 -15.724 -16.012
4.87495e+00 -11.446 -13.331 -14.511 -15.002 -15.222 -15.594 -15.871 -16.000
5.05546e+00 -11.613 -13.522 -14.661 -15.158 -15.347 -15.642 -15.886 -16.106
5.24265e+00 -11.974 -13.684 -14.802 -15.278 -15.495 -15.692 -15.963 -16.136
5.43678e+00 -12.206 -13.843 -14.893 -15.353 -15.540 -15.768 -16.030 -16.132
5.63809e+00 -12.523 -13.981 -15.010 -15.482 -15.705 -15.872 -16.081 -16.290
5.84686e+00 -12.646 -14.082 -15.138 -15.588 -15.792 -15.961 -16.185 -16.326
6.06336e+00 -12.917 -14.180 -15.234 -15.676 -15.873 -16.046 -16.280 -16.424
6.28787e+00 -13.069 -14.296 -15.322 -15.759 -15.965 -16.107 -16.341 -16.470
6.52070e+00 -13.280 -14.402 -15.411 -15.848 -16.076 -16.181 -16.361 -16.660
6.76215e+00 -13.474 -14.499 -15.510 -15.941 -16.137 -16.295 -16.496 -16.654
7.01254e+00 -13.631 -14.585 -15.590 -16.032 -16.240 -16.419 -16.523 -16.692
7.27220e+00 -13.705 -14.705 -15.682 -16.124 -16.322 -16.491 -16.591 -16.743
7.54148e+00 -13.857 -14.778 -15.743 -16.208 -16.413 -16.557 -16.702 -16.862
7.82073e+00 -14.084 -14.882 -15.846 -16.289 -16.520 -16.655 -16.798 -16.875
8.11031e+00 -14.176 -14.963 -15.934 -16.389 -16.620 -16.756 -16.897 -16.983
8.41062e+00 -14.362 -15.070 -16.029 -16.476 -16.685 -16.859 -16.979 -17.112
8.72205e+00 -14.543 -15.162 -16.110 -16.574 -16.810 -16.905 -17.040 -17.145
9.04501e+00 -14.699 -15.268 -16.186 -16.654 -16.894 -17.038 -17.117 -17.229
9.37993e+00 -14.868 -15.366 -16.287 -16.756 -16.982 -17.125 -17.254 -17.327
9.72725e+00 -15.060 -15.471 -16.379 -16.843 -17.082 -17.205 -17.323 -17.385
1.00874e+01 -15.249 -15.575 -16.478 -16.941 -17.168 -17.315 -17.419 -17.515
1.04610e+01 -15.430 -15.683 -16.563 -17.029 -17.265 -17.382 -17.508 -17.603
1.08483e+01 -15.593 -15.780 -16.658 -17.119 -17.342 -17.450 -17.598 -17.660
1.12500e+01 -15.741 -15.891 -16.748 -17.210 -17.431 -17.533 -17.662 -17.727
1.16666e+01 -15.875 -15.986 -16.825 -17.285 -17.506 -17.621 -17.738 -17.839
1.20986e+01 -16.017 -16.074 -16.915 -17.364 -17.589 -17.683 -17.821 -17.893
1.25465e+01 -16.151 -16.169 -16.999 -17.450 -17.656 -17.759 -17.891 -17.987
1.30111e+01 -16.258 -16.250 -17.068 -17.519 -17.728 -17.827 -17.964 -18.071
1.34929e+01 -16.374 -16.336 -17.151 -17.596 -17.796 -17.882 -18.030 -18.118
1.39925e+01 -16.469 -16.411 -17.228 -17.657 -17.854 -17.960 -18.101 -18.187
