#NTIMES: 145 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2] 
440.10 1e-99 1e-99 1e-99 2.22e+13 1e-99 
999.11 1e-99 1e-99 1e-99 3.46e+13 1e-99 
1267.34 1e-99 1e-99 1e-99 5.26e+13 1e-99 
1514.05 1e-99 1e-99 1e-99 7.39e+13 1e-99 
1808.80 1e-99 1e-99 1e-99 9.70e+13 1e-99 
1919.29 1e-99 1e-99 1e-99 1.21e+14 1e-99 
2160.92 1e-99 1e-99 1e-99 1.51e+14 1e-99 
2292.92 1e-99 1e-99 1e-99 1.72e+14 1e-99 
2432.98 1e-99 1e-99 1e-99 1.89e+14 1e-99 
2581.60 1e-99 1e-99 1e-99 1.99e+14 1e-99 
2739.29 1e-99 1e-99 1e-99 2.08e+14 1e-99 
2906.62 1e-99 1e-99 1e-99 2.14e+14 1e-99 
3084.17 1e-99 1e-99 1e-99 2.12e+14 1e-99 
3272.56 1e-99 1e-99 1e-99 2.09e+14 1e-99 
3472.46 1e-99 1e-99 1e-99 1.99e+14 1e-99 
3684.57 1e-99 1e-99 1e-99 1.86e+14 1e-99 
3909.64 1e-99 1e-99 1e-99 1.70e+14 1e-99 
4148.46 1e-99 1e-99 1e-99 1.58e+14 1e-99 
4401.86 1e-99 1e-99 1e-99 1.49e+14 1e-99 
4670.75 1e-99 1e-99 1e-99 1.40e+14 1e-99 
4956.05 1e-99 1e-99 1e-99 1.33e+14 1e-99 
