#NTIMES: 145 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
440.10 3.35e+04 5.32e-11 1.93e+12 5.43e+11 
999.11 4.11e+04 5.32e-11 2.11e+12 5.43e+11 
1267.34 4.32e+04 5.37e-11 2.30e+12 5.48e+11 
1514.05 4.62e+04 5.66e-11 2.55e+12 5.75e+11 
1808.80 4.96e+04 5.49e-11 2.60e+12 5.52e+11 
1919.29 5.28e+04 5.45e-11 2.68e+12 5.46e+11 
2160.92 4.62e+04 5.27e-11 2.64e+12 5.24e+11 
2292.92 5.52e+04 4.98e-11 2.52e+12 4.94e+11 
2432.98 5.09e+04 4.68e-11 2.40e+12 4.63e+11 
2581.60 4.62e+04 4.48e-11 2.31e+12 4.42e+11 
2739.29 4.56e+04 4.32e-11 2.24e+12 4.26e+11 
2906.62 4.40e+04 4.11e-11 2.14e+12 4.05e+11 
3084.17 4.16e+04 3.75e-11 1.96e+12 3.71e+11 
3272.56 4.21e+04 3.30e-11 1.73e+12 3.30e+11 
3472.46 4.14e+04 2.84e-11 1.51e+12 2.93e+11 
3684.57 4.06e+04 2.36e-11 1.29e+12 2.56e+11 
3909.64 4.01e+04 1.83e-11 1.04e+12 2.14e+11 
4148.46 3.91e+04 1.55e-11 9.16e+11 1.95e+11 
4401.86 3.98e+04 1.52e-11 9.15e+11 1.99e+11 
4670.75 3.99e+04 1.49e-11 8.93e+11 1.95e+11 
4956.05 3.78e+04 1.36e-11 7.94e+11 1.70e+11 
5258.79 3.75e+04 1.23e-11 6.99e+11 1.46e+11 
5580.02 3.87e+04 1.16e-11 6.43e+11 1.33e+11 
5920.87 3.69e+04 1.09e-11 5.91e+11 1.21e+11 
6282.54 3.76e+04 1.00e-11 5.37e+11 1.11e+11 
6666.30 3.62e+04 9.38e-12 4.98e+11 1.03e+11 
7073.50 3.76e+04 8.67e-12 4.57e+11 9.63e+10 
7505.58 3.57e+04 7.58e-12 4.00e+11 8.56e+10 
7964.05 3.50e+04 6.63e-12 3.49e+11 7.67e+10 
8450.53 3.46e+04 5.97e-12 3.15e+11 7.17e+10 
8966.72 3.33e+04 5.24e-12 2.79e+11 6.61e+10 
9514.44 3.24e+04 4.44e-12 2.43e+11 5.97e+10 
10095.62 2.93e+04 3.78e-12 2.18e+11 5.45e+10 
10712.30 2.78e+04 3.09e-12 1.88e+11 4.80e+10 
11366.65 2.53e+04 2.37e-12 1.49e+11 3.91e+10 
12061.10 2.19e+04 1.69e-12 1.02e+11 2.93e+10 
12793.43 1.89e+04 1.25e-12 6.58e+10 2.22e+10 
13528.61 1.63e+04 9.42e-13 4.51e+10 1.72e+10 
14194.74 1.41e+04 7.04e-13 2.73e+10 1.32e+10 
14757.77 1.26e+04 5.39e-13 1.94e+10 1.05e+10 
15240.48 1.16e+04 5.20e-13 1.79e+10 1.09e+10 
15646.99 1.07e+04 6.21e-13 2.08e+10 1.43e+10 
15960.30 1.00e+04 8.65e-13 2.94e+10 2.18e+10 
16187.41 9.65e+03 9.48e-13 3.28e+10 2.53e+10 
16354.17 9.07e+03 9.30e-13 3.23e+10 2.56e+10 
16484.18 8.80e+03 8.18e-13 2.84e+10 2.29e+10 
16593.12 8.60e+03 6.80e-13 2.36e+10 1.93e+10 
16691.99 8.27e+03 5.85e-13 2.01e+10 1.67e+10 
16788.59 8.12e+03 5.23e-13 1.79e+10 1.50e+10 
16888.37 8.07e+03 4.73e-13 1.60e+10 1.37e+10 
16998.79 7.65e+03 4.26e-13 1.42e+10 1.24e+10 
17146.37 7.56e+03 3.78e-13 1.22e+10 1.11e+10 
17415.23 7.20e+03 3.10e-13 9.66e+09 9.18e+09 
17888.12 6.48e+03 2.22e-13 6.38e+09 6.63e+09 
18532.37 6.04e+03 1.68e-13 3.93e+09 5.04e+09 
19260.76 5.36e+03 1.24e-13 2.08e+09 3.73e+09 
20034.10 5.37e+03 8.65e-14 8.61e+08 2.61e+09 
20838.00 4.76e+03 6.14e-14 4.81e+08 1.86e+09 
21647.97 5.18e+03 4.67e-14 3.29e+08 1.42e+09 
22447.94 4.78e+03 3.36e-14 2.24e+08 1.02e+09 
23245.88 4.77e+03 2.37e-14 1.54e+08 7.24e+08 
24052.47 3.60e+03 1.74e-14 1.06e+08 5.34e+08 
24867.72 4.14e+03 1.33e-14 7.83e+07 4.15e+08 
25698.86 3.50e+03 1.04e-14 5.71e+07 3.28e+08 
26587.16 3.50e+03 7.82e-15 3.37e+07 2.55e+08 
27637.54 3.50e+03 5.60e-15 1.87e+07 1.90e+08 
28986.97 3.50e+03 3.77e-15 8.36e+06 1.36e+08 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
440.10 3.97e+04 5.00e-11 1.84e+12 5.11e+11 
999.11 4.11e+04 5.00e-11 2.01e+12 5.11e+11 
1267.34 4.19e+04 5.05e-11 2.18e+12 5.15e+11 
1514.05 4.45e+04 5.33e-11 2.42e+12 5.41e+11 
1808.80 4.88e+04 5.17e-11 2.45e+12 5.19e+11 
1919.29 4.94e+04 5.12e-11 2.51e+12 5.13e+11 
2160.92 4.99e+04 4.95e-11 2.47e+12 4.93e+11 
2292.92 5.26e+04 4.68e-11 2.38e+12 4.65e+11 
2432.98 4.99e+04 4.41e-11 2.26e+12 4.36e+11 
2581.60 4.86e+04 4.21e-11 2.16e+12 4.16e+11 
2739.29 4.46e+04 4.06e-11 2.09e+12 4.01e+11 
2906.62 4.41e+04 3.86e-11 1.99e+12 3.81e+11 
3084.17 4.54e+04 3.52e-11 1.82e+12 3.49e+11 
3272.56 4.30e+04 3.10e-11 1.61e+12 3.10e+11 
3472.46 4.25e+04 2.67e-11 1.41e+12 2.76e+11 
3684.57 4.14e+04 2.22e-11 1.20e+12 2.41e+11 
3909.64 4.06e+04 1.72e-11 9.73e+11 2.01e+11 
4148.46 4.15e+04 1.46e-11 8.56e+11 1.83e+11 
4401.86 4.08e+04 1.43e-11 8.57e+11 1.87e+11 
4670.75 3.98e+04 1.40e-11 8.36e+11 1.83e+11 
4956.05 4.02e+04 1.27e-11 7.43e+11 1.60e+11 
5258.79 3.93e+04 1.16e-11 6.54e+11 1.38e+11 
5580.02 3.85e+04 1.09e-11 6.02e+11 1.25e+11 
5920.87 3.95e+04 1.02e-11 5.52e+11 1.14e+11 
6282.54 3.78e+04 9.43e-12 5.03e+11 1.04e+11 
6666.30 3.78e+04 8.82e-12 4.66e+11 9.73e+10 
7073.50 3.73e+04 8.15e-12 4.27e+11 9.06e+10 
7505.58 3.62e+04 7.13e-12 3.74e+11 8.05e+10 
7964.05 3.49e+04 6.23e-12 3.26e+11 7.21e+10 
8450.53 3.37e+04 5.62e-12 2.94e+11 6.74e+10 
8966.72 3.35e+04 4.93e-12 2.61e+11 6.22e+10 
9514.44 3.16e+04 4.18e-12 2.28e+11 5.61e+10 
10095.62 2.93e+04 3.55e-12 2.05e+11 5.13e+10 
10712.30 2.76e+04 2.91e-12 1.77e+11 4.52e+10 
11366.65 2.50e+04 2.23e-12 1.40e+11 3.68e+10 
12061.10 2.15e+04 1.59e-12 9.45e+10 2.75e+10 
12793.43 1.88e+04 1.17e-12 6.15e+10 2.09e+10 
13528.61 1.62e+04 8.86e-13 4.21e+10 1.62e+10 
14194.74 1.39e+04 6.62e-13 2.54e+10 1.24e+10 
14757.77 1.23e+04 5.06e-13 1.82e+10 9.90e+09 
15240.48 1.14e+04 4.89e-13 1.68e+10 1.03e+10 
15646.99 1.06e+04 5.84e-13 1.95e+10 1.35e+10 
15960.30 9.95e+03 8.13e-13 2.76e+10 2.05e+10 
16187.41 9.54e+03 8.92e-13 3.08e+10 2.38e+10 
16354.17 9.15e+03 8.75e-13 3.04e+10 2.41e+10 
16484.18 8.84e+03 7.69e-13 2.68e+10 2.16e+10 
16593.12 8.88e+03 6.40e-13 2.22e+10 1.81e+10 
16691.99 8.62e+03 5.50e-13 1.90e+10 1.57e+10 
16788.59 8.31e+03 4.92e-13 1.67e+10 1.41e+10 
16888.37 7.71e+03 4.45e-13 1.51e+10 1.29e+10 
