#NTIMES: 50
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
425.78 7.3857e+03 5.6537e-16 6.8118e+06 4.3942e+06
857.79 5.0984e+03 5.6537e-16 6.3557e+06 4.3942e+06
878.44 3.8423e+03 5.6537e-16 6.3824e+06 4.3937e+06
917.72 3.8498e+03 5.6537e-16 6.3440e+06 4.3947e+06
973.04 7.5651e+03 5.6537e-16 7.3854e+06 4.3947e+06
1034.98 4.9783e+03 5.6521e-16 6.3270e+06 4.3929e+06
1099.97 3.8641e+03 5.6431e-16 6.3930e+06 4.3864e+06
1169.04 3.8730e+03 5.6396e-16 6.4633e+06 4.3893e+06
1242.44 3.8476e+03 5.6890e-16 6.5304e+06 4.4664e+06
1320.45 3.8595e+03 5.9232e-16 6.9219e+06 4.7810e+06
1403.37 4.7716e+03 6.2525e-16 7.5172e+06 5.2878e+06
1491.49 4.7822e+03 6.4962e-16 8.0708e+06 5.7490e+06
1585.14 5.1898e+03 6.6100e-16 8.4484e+06 6.0526e+06
1684.67 4.8142e+03 6.6599e-16 8.8394e+06 6.2956e+06
1790.45 4.8513e+03 6.6274e-16 9.1035e+06 6.4774e+06
1902.87 5.2119e+03 6.4625e-16 9.1404e+06 6.5051e+06
2022.36 8.3920e+03 6.3452e-16 1.0283e+07 6.5492e+06
2149.34 3.9734e+03 6.2086e-16 9.6198e+06 6.5588e+06
2284.30 4.0786e+03 6.0798e-16 9.8294e+06 6.5766e+06
2427.74 4.1704e+03 5.8915e-16 9.9859e+06 6.5486e+06
2580.18 4.3106e+03 5.6226e-16 9.9962e+06 6.4707e+06
2742.19 4.4446e+03 5.2286e-16 9.8091e+06 6.3172e+06
2914.37 4.5651e+03 4.6869e-16 9.2819e+06 6.0913e+06
3097.37 4.6740e+03 3.9725e-16 8.4183e+06 5.7507e+06
3291.85 4.8201e+03 3.0023e-16 6.9512e+06 5.0033e+06
3498.55 4.8624e+03 2.4235e-16 5.9632e+06 4.6628e+06
3718.23 4.5994e+03 2.4901e-16 5.9842e+06 5.3189e+06
3951.70 4.2768e+03 2.4431e-16 5.5244e+06 5.4433e+06
4199.83 4.3760e+03 1.5029e-16 3.5246e+06 3.3029e+06
4463.54 4.2939e+03 1.1391e-16 2.5772e+06 2.4001e+06
4743.81 4.1282e+03 1.0765e-16 2.2171e+06 2.1743e+06
5041.68 3.9969e+03 1.0470e-16 2.0260e+06 2.0533e+06
5358.25 3.8988e+03 1.0025e-16 1.8621e+06 1.9327e+06
5694.70 3.8264e+03 9.4337e-17 1.7047e+06 1.8026e+06
6052.28 3.7553e+03 8.9286e-17 1.5771e+06 1.6999e+06
6432.31 3.6998e+03 8.2678e-17 1.4406e+06 1.5737e+06
6836.20 3.6772e+03 7.5201e-17 1.2840e+06 1.4343e+06
7265.45 3.6571e+03 6.9381e-17 1.1576e+06 1.3277e+06
7721.65 3.6051e+03 6.4118e-17 1.0409e+06 1.2321e+06
8206.56 3.5514e+03 5.8215e-17 9.1667e+05 1.1260e+06
8717.73 3.4760e+03 5.0347e-17 7.7927e+05 9.8640e+05
9214.74 3.3939e+03 4.4950e-17 6.7508e+05 9.0371e+05
9629.11 3.3026e+03 4.0453e-17 6.1912e+05 8.4029e+05
9954.11 3.2588e+03 3.5170e-17 5.3989e+05 7.5648e+05
10245.64 3.3202e+03 2.9362e-17 4.9437e+05 6.6204e+05
10541.49 3.3522e+03 2.4960e-17 4.5690e+05 6.0040e+05
10839.94 3.4358e+03 2.4026e-17 4.6749e+05 6.2199e+05
11119.11 3.5477e+03 2.4395e-17 5.0031e+05 6.7541e+05
11355.83 3.6746e+03 2.7673e-17 5.5741e+05 8.0572e+05
11539.81 3.6620e+03 3.5882e-17 6.8826e+05 1.0803e+06
11677.16 3.7087e+03 4.3567e-17 7.6655e+05 1.3381e+06
11784.05 3.6699e+03 4.6662e-17 7.9937e+05 1.4505e+06
11875.85 3.7050e+03 4.6645e-17 8.0395e+05 1.4600e+06
11963.37 3.7629e+03 4.1077e-17 7.5515e+05 1.2910e+06
12055.39 3.9118e+03 3.0929e-17 6.2356e+05 9.7467e+05
