#NTIMES:     67
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[/cm^3]
    8.484663E+02    1.1756E+05    2.6845E-08    1.7882E+15    2.9428E+14
    8.542546E+02    1.1756E+05    2.6845E-08    1.7882E+15    2.9428E+14
    8.718573E+02    1.1756E+05    2.6845E-08    1.7882E+15    2.9428E+14
    9.081584E+02    1.1756E+05    2.6845E-08    1.7882E+15    2.9428E+14
    9.674554E+02    1.1756E+05    2.6845E-08    1.7882E+15    2.9428E+14
    1.028597E+03    1.1756E+05    2.6845E-08    1.7882E+15    2.9428E+14
    1.093605E+03    1.1752E+05    2.6811E-08    1.7859E+15    2.9390E+14
    1.162722E+03    1.1746E+05    2.6736E-08    1.7809E+15    2.9308E+14
    1.236207E+03    1.1765E+05    2.6826E-08    1.7870E+15    2.9407E+14
    1.314336E+03    1.1988E+05    2.8129E-08    1.8776E+15    3.0840E+14
    1.397402E+03    1.3229E+05    2.9512E-08    2.0319E+15    3.2445E+14
    1.485719E+03    1.4493E+05    3.0991E-08    2.1953E+15    3.4159E+14
    1.579618E+03    1.4591E+05    3.1209E-08    2.2142E+15    3.4407E+14
    1.679450E+03    1.5356E+05    3.1688E-08    2.2797E+15    3.5002E+14
    1.785593E+03    1.6432E+05    3.1964E-08    2.3424E+15    3.5422E+14
    1.898443E+03    1.7065E+05    3.0231E-08    2.2384E+15    3.3616E+14
    2.018426E+03    1.8165E+05    3.0487E-08    2.2793E+15    3.4089E+14
    2.145992E+03    1.9078E+05    2.9261E-08    2.2058E+15    3.2962E+14
    2.281620E+03    2.0301E+05    2.9021E-08    2.2045E+15    3.3052E+14
    2.425820E+03    2.1357E+05    2.7889E-08    2.1350E+15    3.2282E+14
    2.579133E+03    2.2113E+05    2.6679E-08    2.0606E+15    3.1636E+14
    2.742135E+03    2.2376E+05    2.4803E-08    1.9388E+15    3.0507E+14
    2.915440E+03    2.1986E+05    2.2149E-08    1.7639E+15    2.8871E+14
    3.099698E+03    2.0859E+05    1.8689E-08    1.5343E+15    2.6682E+14
    3.295601E+03    1.9081E+05    1.5393E-08    1.3327E+15    2.5468E+14
    3.503885E+03    1.6151E+05    1.0633E-08    9.9234E+14    2.1244E+14
    3.725332E+03    1.4757E+05    1.1199E-08    1.1063E+15    2.5499E+14
    3.960775E+03    1.4803E+05    1.5477E-08    1.5370E+15    3.6555E+14
    4.211099E+03    1.0403E+05    6.0663E-09    5.6780E+14    1.3700E+14
    4.477243E+03    9.7000E+04    5.3803E-09    4.6639E+14    1.1352E+14
    4.760207E+03    9.5597E+04    5.1097E-09    4.2210E+14    1.0309E+14
    5.061055E+03    9.7215E+04    4.9609E-09    4.0057E+14    9.7840E+13
    5.380917E+03    9.8563E+04    4.7680E-09    3.8034E+14    9.2819E+13
    5.720994E+03    9.8085E+04    4.4167E-09    3.5027E+14    8.5430E+13
    6.082565E+03    9.7399E+04    4.2302E-09    3.3467E+14    8.1629E+13
    6.466986E+03    9.4473E+04    3.9100E-09    3.0926E+14    7.5510E+13
    6.875704E+03    9.0463E+04    3.5053E-09    2.7743E+14    6.7869E+13
    7.310253E+03    8.6973E+04    3.2857E-09    2.6029E+14    6.3828E+13
    7.772265E+03    8.2579E+04    2.9768E-09    2.3592E+14    5.8036E+13
    8.263477E+03    7.7769E+04    2.7813E-09    2.2042E+14    5.4462E+13
    8.785734E+03    6.7914E+04    2.2953E-09    1.8216E+14    4.5317E+13
    9.340997E+03    5.2409E+04    2.0737E-09    1.6586E+14    4.1810E+13
    9.929841E+03    3.5578E+04    1.7423E-09    1.3787E+14    3.6992E+13
    1.041447E+04    2.5402E+04    1.2882E-09    8.0806E+13    2.9817E+13
    1.083674E+04    1.9084E+04    1.1127E-09    5.0793E+13    2.8463E+13
    1.136786E+04    1.2320E+04    1.1245E-09    4.1205E+13    3.3833E+13
    1.167027E+04    1.1400E+04    1.8964E-09    6.5917E+13    5.9332E+13
    1.185735E+04    1.0990E+04    2.4364E-09    8.1397E+13    7.7427E+13
    1.198132E+04    9.9057E+03    1.8285E-09    5.3101E+13    5.8291E+13
    1.207995E+04    9.0302E+03    1.3339E-09    3.0481E+13    4.2629E+13
    1.216774E+04    8.5632E+03    1.0954E-09    2.0526E+13    3.5079E+13
    1.225420E+04    8.1386E+03    9.4913E-10    1.4091E+13    3.0451E+13
    1.234075E+04    7.7565E+03    8.4196E-10    9.9547E+12    2.7062E+13
    1.244043E+04    7.4610E+03    7.4665E-10    7.5214E+12    2.4049E+13
    1.256653E+04    7.2918E+03    6.4667E-10    6.0684E+12    2.0881E+13
    1.291944E+04    7.2833E+03    4.6562E-10    4.5827E+12    1.5094E+13
    1.356464E+04    7.5995E+03    2.8988E-10    3.8705E+12    9.4572E+12
    1.414194E+04    7.6870E+03    2.0049E-10    3.0722E+12    6.5796E+12
    1.463678E+04    7.4773E+03    1.4988E-10    2.0741E+12    4.9474E+12
    1.515385E+04    7.3124E+03    1.2860E-10    1.6294E+12    4.3069E+12
    1.570238E+04    7.0415E+03    1.1312E-10    1.2230E+12    3.8581E+12
    1.628316E+04    6.5371E+03    7.8012E-11    7.3248E+11    2.7623E+12
    1.695591E+04    6.2038E+03    7.4539E-11    6.5870E+11    2.7915E+12
    1.773545E+04    5.8948E+03    6.4441E-11    4.8250E+11    2.5781E+12
    1.852426E+04    5.6349E+03    4.2342E-11    2.7272E+11    1.7751E+12
    1.933673E+04    5.4907E+03    3.6581E-11    2.0351E+11    1.5754E+12
    2.006825E+04    5.3928E+03    1.8883E-11    1.1762E+11    8.1873E+11
    2.082304E+04    5.3232E+03    1.0024E-11    7.1840E+10    4.3602E+11
    2.162788E+04    5.2575E+03    8.1800E-12    5.6587E+10    3.5643E+11
    2.248295E+04    5.2007E+03    3.9439E-12    3.3352E+10    1.7195E+11
    2.340334E+04    5.1311E+03    3.2983E-12    2.7013E+10    1.4384E+11
    2.427003E+04    5.0719E+03    1.7732E-12    1.7390E+10    7.7337E+10
    2.528269E+04    5.0141E+03    1.1969E-12    1.2754E+10    5.2206E+10
    2.627013E+04    4.9483E+03    1.0533E-12    1.1043E+10    4.5939E+10
    2.723040E+04    4.9503E+03    5.5451E-13    7.1620E+09    2.4186E+10
    2.827004E+04    4.9440E+03    3.8010E-13    5.4081E+09    1.6578E+10
    2.934273E+04    4.9668E+03    2.2984E-13    3.7298E+09    1.0025E+10
    3.052012E+04    4.9938E+03    1.4445E-13    2.5984E+09    6.3002E+09
    3.176086E+04    5.0063E+03    9.8646E-14    1.8968E+09    4.3025E+09
    3.295538E+04    4.9966E+03    7.6701E-14    1.5181E+09    3.3454E+09
    3.403161E+04    4.9895E+03    5.8323E-14    1.1912E+09    2.5438E+09
    3.500379E+04    4.9910E+03    4.1155E-14    8.7602E+08    1.7950E+09
    3.593430E+04    4.9911E+03    2.7790E-14    6.1491E+08    1.2121E+09
    3.686142E+04    4.9858E+03    1.8393E-14    4.1955E+08    8.0225E+08
    3.781660E+04    4.9748E+03    1.2129E-14    2.8259E+08    5.2900E+08
    3.881204E+04    4.9572E+03    8.1415E-15    1.9209E+08    3.5510E+08
    3.984228E+04    4.9314E+03    5.4967E-15    1.3062E+08    2.3974E+08
    4.090108E+04    4.8934E+03    3.7089E-15    8.8474E+07    1.6177E+08
    4.198933E+04    4.8393E+03    2.5014E-15    5.9759E+07    1.0910E+08
    4.310952E+04    4.7728E+03    1.6853E-15    4.0264E+07    7.3506E+07
    4.426353E+04    4.7074E+03    1.1339E-15    2.7075E+07    4.9457E+07
