#NTIMES:           33
#TIMES[d]:    1.00000E-01   5.00000E-01   1.00000E+00   2.00000E+00   3.00000E+00   4.00000E+00   5.00000E+00   6.00000E+00   7.00000E+00   8.00000E+00   9.00000E+00   1.00000E+01   1.20000E+01   1.40000E+01   1.60000E+01   1.80000E+01   2.00000E+01   2.20000E+01   2.40000E+01   2.60000E+01   2.80000E+01   3.00000E+01   3.50000E+01   4.00000E+01   5.00000E+01   6.00000E+01   7.00000E+01   8.00000E+01   9.00000E+01   1.00000E+02   1.10000E+02   1.20000E+02   1.30000E+02
#
#TIME:    1.00000E-01
#NVEL:          209
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1.02780E+03 1.43880E+05 3.15500E-06 1.00000E-99 1.00000E-99
1.32090E+03 1.38676E+05 3.31131E-06 1.00000E-99 1.00000E-99
1.50810E+03 1.87932E+05 3.47536E-06 1.00000E-99 1.00000E-99
1.65670E+03 1.99526E+05 3.56451E-06 1.00000E-99 1.00000E-99
1.77880E+03 2.31206E+05 3.50752E-06 1.00000E-99 1.00000E-99
1.88680E+03 2.47742E+05 3.53183E-06 1.00000E-99 1.00000E-99
1.98990E+03 2.68534E+05 3.39625E-06 1.00000E-99 1.00000E-99
2.07740E+03 2.85759E+05 3.43558E-06 1.00000E-99 1.00000E-99
2.16450E+03 3.06902E+05 3.30370E-06 1.00000E-99 1.00000E-99
2.24300E+03 3.25837E+05 3.27341E-06 1.00000E-99 1.00000E-99
2.32080E+03 3.41979E+05 3.21366E-06 1.00000E-99 1.00000E-99
2.39500E+03 3.53997E+05 3.14775E-06 1.00000E-99 1.00000E-99
2.46700E+03 3.64754E+05 3.04789E-06 1.00000E-99 1.00000E-99
2.53560E+03 3.74111E+05 2.99916E-06 1.00000E-99 1.00000E-99
2.60500E+03 3.82825E+05 2.87740E-06 1.00000E-99 1.00000E-99
2.66890E+03 3.85478E+05 2.81190E-06 1.00000E-99 1.00000E-99
2.73210E+03 3.89045E+05 2.69153E-06 1.00000E-99 1.00000E-99
2.79680E+03 3.90841E+05 2.57632E-06 1.00000E-99 1.00000E-99
2.86140E+03 3.89942E+05 2.47742E-06 1.00000E-99 1.00000E-99
2.92590E+03 3.87258E+05 2.36048E-06 1.00000E-99 1.00000E-99
2.99060E+03 3.83707E+05 2.25424E-06 1.00000E-99 1.00000E-99
3.05510E+03 3.78443E+05 2.16272E-06 1.00000E-99 1.00000E-99
3.12110E+03 3.71535E+05 2.08930E-06 1.00000E-99 1.00000E-99
3.18990E+03 3.63078E+05 2.00909E-06 1.00000E-99 1.00000E-99
3.26300E+03 3.48337E+05 1.93642E-06 1.00000E-99 1.00000E-99
3.34610E+03 3.31131E+05 1.76198E-06 1.00000E-99 1.00000E-99
3.42080E+03 3.17687E+05 1.80302E-06 1.00000E-99 1.00000E-99
3.45680E+03 3.29610E+05 2.97167E-06 1.00000E-99 1.00000E-99
3.48340E+03 3.21366E+05 3.14051E-06 1.00000E-99 1.00000E-99
3.51100E+03 3.10456E+05 3.05492E-06 1.00000E-99 1.00000E-99
3.64260E+03 2.55859E+05 1.24451E-06 1.00000E-99 1.00000E-99
3.76360E+03 2.40991E+05 1.38995E-06 1.00000E-99 1.00000E-99
3.78930E+03 2.48886E+05 2.77332E-06 1.00000E-99 1.00000E-99
3.81350E+03 2.44343E+05 3.10456E-06 1.00000E-99 1.00000E-99
3.83720E+03 2.30144E+05 2.68534E-06 1.00000E-99 1.00000E-99
3.94910E+03 1.98609E+05 9.52796E-07 1.00000E-99 1.00000E-99
4.05850E+03 1.84502E+05 9.33254E-07 1.00000E-99 1.00000E-99
4.16940E+03 1.69434E+05 7.96159E-07 1.00000E-99 1.00000E-99
4.28120E+03 1.57761E+05 7.04693E-07 1.00000E-99 1.00000E-99
4.39800E+03 1.47571E+05 6.32412E-07 1.00000E-99 1.00000E-99
4.51730E+03 1.39316E+05 5.92925E-07 1.00000E-99 1.00000E-99
4.63470E+03 1.35207E+05 5.75440E-07 1.00000E-99 1.00000E-99
4.74720E+03 1.32739E+05 5.64937E-07 1.00000E-99 1.00000E-99
4.85500E+03 1.31522E+05 5.58470E-07 1.00000E-99 1.00000E-99
4.96100E+03 1.31522E+05 5.45758E-07 1.00000E-99 1.00000E-99
5.06600E+03 1.31522E+05 5.35797E-07 1.00000E-99 1.00000E-99
5.16730E+03 1.32130E+05 5.30884E-07 1.00000E-99 1.00000E-99
5.26550E+03 1.32434E+05 5.26017E-07 1.00000E-99 1.00000E-99
5.36290E+03 1.33045E+05 5.15229E-07 1.00000E-99 1.00000E-99
5.45640E+03 1.33045E+05 5.14044E-07 1.00000E-99 1.00000E-99
5.54840E+03 1.33352E+05 5.04661E-07 1.00000E-99 1.00000E-99
5.63980E+03 1.33660E+05 4.94311E-07 1.00000E-99 1.00000E-99
5.72890E+03 1.33660E+05 4.88652E-07 1.00000E-99 1.00000E-99
5.81700E+03 1.33968E+05 4.77529E-07 1.00000E-99 1.00000E-99
5.90620E+03 1.33968E+05 4.63447E-07 1.00000E-99 1.00000E-99
5.99430E+03 1.33660E+05 4.57088E-07 1.00000E-99 1.00000E-99
6.07950E+03 1.33352E+05 4.54988E-07 1.00000E-99 1.00000E-99
6.16240E+03 1.32434E+05 4.52898E-07 1.00000E-99 1.00000E-99
6.24230E+03 1.31826E+05 4.52898E-07 1.00000E-99 1.00000E-99
6.31920E+03 1.30918E+05 4.53942E-07 1.00000E-99 1.00000E-99
6.39440E+03 1.30317E+05 4.48745E-07 1.00000E-99 1.00000E-99
