#Magnitudes for spectra_ddc25_artis calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#
#NTIMES: 145
#NBANDS: 8
#time[d] U B V R I J H K
4.140000e+00 -14.372294 -15.441354 -16.394228 -16.651359 -16.510562 -16.762221 -16.775529 -16.840702
4.220000e+00 -14.344895 -15.477096 -16.444962 -16.712256 -16.627506 -16.848201 -16.719379 -16.678934
4.310000e+00 -14.472052 -15.581974 -16.482841 -16.781573 -16.593178 -16.858330 -16.937085 -16.879854
4.400000e+00 -14.499318 -15.607188 -16.520665 -16.828368 -16.629068 -16.857702 -16.840858 -16.854532
4.490000e+00 -14.739934 -15.677043 -16.565807 -16.878023 -16.653579 -17.021272 -16.837364 -16.787792
4.580000e+00 -14.797084 -15.730630 -16.705399 -16.934777 -16.834874 -17.010420 -17.019185 -16.938159
4.680000e+00 -14.765688 -15.803882 -16.728134 -17.004906 -16.800231 -17.008770 -16.956432 -17.055957
4.770000e+00 -14.762051 -15.862412 -16.699176 -17.034135 -16.859207 -17.227487 -17.059050 -16.964177
4.870000e+00 -14.891197 -15.909150 -16.807425 -17.075453 -16.987569 -17.136267 -17.091880 -16.943898
4.970000e+00 -14.866642 -15.996244 -16.870247 -17.146550 -17.018733 -17.240509 -17.069802 -17.335319
5.080000e+00 -15.102624 -16.093965 -16.961487 -17.213852 -17.036866 -17.279505 -17.243744 -17.102302
5.180000e+00 -15.190185 -16.125553 -16.952238 -17.262711 -17.137640 -17.268387 -17.126265 -17.264787
5.290000e+00 -15.211023 -16.183927 -17.056780 -17.343143 -17.184215 -17.314274 -17.298532 -17.219196
5.400000e+00 -15.264113 -16.233956 -17.117340 -17.382866 -17.164533 -17.378244 -17.335030 -17.311081
5.510000e+00 -15.446720 -16.326479 -17.132237 -17.450517 -17.311343 -17.400751 -17.305292 -17.223270
5.620000e+00 -15.478612 -16.360753 -17.165938 -17.482395 -17.380330 -17.501307 -17.414960 -17.156692
5.740000e+00 -15.566373 -16.468927 -17.234535 -17.530096 -17.396259 -17.540456 -17.308060 -17.568944
5.860000e+00 -15.716653 -16.589644 -17.313057 -17.618132 -17.447045 -17.582781 -17.454637 -17.498330
5.980000e+00 -15.666021 -16.594457 -17.357593 -17.660322 -17.519708 -17.584595 -17.643266 -17.462277
6.100000e+00 -15.825329 -16.673046 -17.393795 -17.721737 -17.521411 -17.657790 -17.480969 -17.611495
6.230000e+00 -15.857042 -16.742946 -17.455087 -17.780764 -17.628672 -17.691021 -17.584451 -17.479644
6.360000e+00 -15.931880 -16.776725 -17.539032 -17.811489 -17.678178 -17.679928 -17.710731 -17.708022
6.490000e+00 -16.027424 -16.865716 -17.552942 -17.872735 -17.730467 -17.763516 -17.732367 -17.573557
6.620000e+00 -16.158518 -16.909090 -17.610821 -17.908555 -17.789243 -17.825660 -17.745701 -17.689685
6.760000e+00 -16.173819 -16.989525 -17.672042 -17.994183 -17.846427 -17.777586 -17.739666 -17.570811
6.900000e+00 -16.273990 -17.066666 -17.707965 -18.042635 -17.927724 -17.902311 -17.760505 -17.685294
