#Magnitudes for spectra_ddc25_artisnebular calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-03-04 17:08:03 UTC
#and had md5 hash: e310661605e20fdf518ef176ce65e7b7
#
#NTIMES: 50
#NBANDS: 8
#time[d] U B V R I J H K
1.991600e+02 -9.409724 -11.731539 -12.575289 -12.778040 -13.433480 -13.312874 -13.017501 -12.113441
2.020300e+02 -9.324819 -11.655298 -12.498348 -12.733726 -13.401266 -13.295651 -13.022469 -12.052864
2.049300e+02 -9.257518 -11.582216 -12.425289 -12.676954 -13.351362 -13.269375 -13.000917 -12.004099
2.078700e+02 -9.188919 -11.523108 -12.358522 -12.628694 -13.295884 -13.228067 -12.963412 -11.953971
2.108600e+02 -9.100434 -11.439247 -12.285567 -12.578308 -13.259433 -13.209585 -12.961065 -11.876153
2.138900e+02 -9.018242 -11.364062 -12.201115 -12.520340 -13.200020 -13.163850 -12.952411 -11.836406
2.169700e+02 -8.934798 -11.305091 -12.134228 -12.463600 -13.146613 -13.121633 -12.908312 -11.809930
2.200900e+02 -8.856036 -11.228116 -12.061859 -12.415287 -13.109793 -13.087299 -12.885853 -11.696675
2.232500e+02 -8.808297 -11.153273 -11.988430 -12.352286 -13.057615 -13.051236 -12.894107 -11.662406
2.264600e+02 -8.705930 -11.067651 -11.906890 -12.289099 -13.000634 -13.011625 -12.875724 -11.597986
2.297100e+02 -8.621167 -11.005196 -11.835983 -12.239860 -12.954904 -12.949647 -12.841895 -11.594246
2.330100e+02 -8.582546 -10.936086 -11.766324 -12.189175 -12.907539 -12.901730 -12.808309 -11.575516
2.363600e+02 -8.474989 -10.876010 -11.702807 -12.147840 -12.853633 -12.855187 -12.748401 -11.563734
2.397600e+02 -8.390722 -10.779704 -11.620853 -12.093022 -12.811321 -12.831097 -12.748564 -11.412732
2.432100e+02 -8.277802 -10.700910 -11.540508 -12.038092 -12.754479 -12.792458 -12.722061 -11.419916
2.467000e+02 -8.250117 -10.608087 -11.458338 -11.980615 -12.702025 -12.760819 -12.719881 -11.289647
2.502500e+02 -8.152658 -10.526758 -11.374962 -11.910860 -12.638976 -12.717398 -12.704838 -11.224835
