#Magnitudes for spectra_ddc25_cmfgen calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-03-04 17:15:44 UTC
#and had md5 hash: a61e73575a04d2d9db325cf8746f30e3
#
#NTIMES: 59
#NBANDS: 8
#time[d] U B V R I J H K
1.300000e+00 -3.017578 -5.172432 -7.963945 -9.938026 -10.312820 -11.764486 -11.901441 -12.329686
1.430000e+00 -3.104795 -5.617576 -8.368317 -10.284660 -10.624389 -12.022536 -12.119206 -12.531338
1.573000e+00 -3.342260 -6.179445 -8.832974 -10.679079 -10.971951 -12.310901 -12.370162 -12.759300
1.730000e+00 -3.714538 -6.844559 -9.352300 -11.123630 -11.354043 -12.621266 -12.652602 -13.015260
1.900000e+00 -4.287721 -7.593896 -9.897713 -11.601084 -11.753809 -12.937736 -12.959944 -13.278014
2.090000e+00 -5.073159 -8.386139 -10.504961 -12.118686 -12.185345 -13.257638 -13.282694 -13.536450
2.300000e+00 -5.846372 -9.117678 -11.187715 -12.641214 -12.641649 -13.566985 -13.606926 -13.793646
2.530000e+00 -6.589249 -9.757078 -11.808717 -13.092650 -13.066592 -13.856459 -13.923218 -14.057980
2.783000e+00 -7.421334 -10.361185 -12.342731 -13.489300 -13.454186 -14.137556 -14.229164 -14.330790
3.061000e+00 -8.359121 -10.955091 -12.825065 -13.848652 -13.811929 -14.417815 -14.523675 -14.605997
3.367000e+00 -9.288668 -11.532279 -13.274330 -14.184907 -14.148260 -14.694280 -14.806862 -14.878128
3.704000e+00 -10.096437 -12.056527 -13.684907 -14.502609 -14.463537 -14.964264 -15.076946 -15.142582
4.074000e+00 -10.770196 -12.522186 -14.057333 -14.802440 -14.757694 -15.223273 -15.332399 -15.393656
4.481000e+00 -11.341365 -12.937630 -14.400110 -15.087195 -15.035169 -15.471542 -15.575177 -15.633292
4.929000e+00 -11.820791 -13.304807 -14.716485 -15.354427 -15.295436 -15.708485 -15.804759 -15.859261
5.422000e+00 -12.236071 -13.636601 -15.015435 -15.605991 -15.543051 -15.935368 -16.023096 -16.073650
5.964000e+00 -12.592700 -13.932289 -15.292396 -15.839963 -15.778628 -16.151595 -16.230258 -16.276001
6.560000e+00 -12.902242 -14.196354 -15.547636 -16.059071 -16.004229 -16.358860 -16.427743 -16.469273
7.216000e+00 -13.169768 -14.432540 -15.783051 -16.268280 -16.222859 -16.558406 -16.617426 -16.656156
7.938000e+00 -13.406326 -14.651006 -16.006727 -16.475284 -16.438655 -16.754085 -16.802699 -16.839752
8.732000e+00 -13.634831 -14.868368 -16.228748 -16.685328 -16.655511 -16.948782 -16.985699 -17.019689
9.600000e+00 -13.874105 -15.098581 -16.449054 -16.888928 -16.869081 -17.113846 -17.131887 -17.158844
1.056000e+01 -14.137591 -15.352591 -16.687207 -17.113982 -17.094779 -17.307242 -17.309569 -17.324803
1.162000e+01 -14.415232 -15.613849 -16.922074 -17.334739 -17.312354 -17.491244 -17.488916 -17.488477
1.278000e+01 -14.695833 -15.872330 -17.147748 -17.542318 -17.519231 -17.654220 -17.641243 -17.614006
1.406000e+01 -14.980080 -16.112234 -17.358750 -17.740133 -17.711897 -17.823358 -17.811445 -17.756438
1.547000e+01 -15.215274 -16.316090 -17.536916 -17.897964 -17.873513 -17.929328 -17.922246 -17.824067
1.702000e+01 -15.286726 -16.398409 -17.655920 -18.017515 -18.017642 -17.995488 -17.996501 -17.847744
1.872000e+01 -15.314747 -16.453934 -17.745727 -18.086739 -18.105047 -18.017894 -18.057594 -17.913106
2.059000e+01 -15.306290 -16.458495 -17.780663 -18.122334 -18.179607 -17.999649 -18.099940 -17.925286
2.265000e+01 -15.234271 -16.392114 -17.763856 -18.118685 -18.227880 -17.938070 -18.125660 -17.933833
